"ycjM",-3.8,-1.2,1.1,2.6,-1.4,-1.1,-2.6,-2
"ynbB",-3.6,-2.3,-3.1,1.2,-1.5,-1.1,-5.4,-2.6
"ydeT",-2.7,-1.4,-2.1,1.5,-1.1,-1,-2.3,-2.1
"lolB",1.4,1.7,1.2,2,1.1,1.5,-1.3,-1.1
"pspB",1.6,1.9,1.5,2.2,1.5,1.8,1.1,1.8
"ydeR",-1.8,-1.5,-2,-1.1,-1.4,-1.2,-3.5,-2.1
"ychH",-1.4,1.7,-1.1,-1.2,-1.5,1.4,-1.4,-1.3
"puuB",-3.2,-3.2,-3.4,-1.1,-1.4,-1.3,-4.5,-2.2
"paaY",-2,-11.6,-1.8,1.1,-1.3,-1.1,-1.1,-1.7
"ydeO",-2.9,-1.9,-4.5,-2.8,-2.4,-1.4,-3.6,-2.2
"dhaR",-2.1,-1.2,-2.8,-1.4,-1.4,-1.1,-2.5,-1.8
"puuA",-3.2,-1.8,-2.9,-1.8,-2.6,-1.5,-4.4,-2.2
"paaI",-3.7,NA,-3.2,-4.5,-2.3,-1.4,-5.7,-2.6
"yddB",-4.8,-2,-2.9,-6.3,-2.2,-1.4,-5.9,-2.6
"treA",1.6,1.7,2.4,3.5,1,1.2,-1.6,1.3
"sapB",-2.3,-1.3,-1.5,1.2,-1.6,-1.2,-3.7,-2
"paaE",-1.4,-1.2,2,2.5,1.2,1.4,-2.1,-1.4
"digH",-4.1,-2,-2.9,-1.7,-2.2,-1.1,-4.6,-2.3
"ydgA",1.3,1.5,2,2.1,1,1.2,-1.1,1.2
"yoaB",-1.2,1,-1.5,1.3,-1.2,1.1,-4,-1.7
"pgsA",1,1.3,-1.2,1.2,-1.1,1.1,-1.8,-1.4
"tus",-1.5,-1.1,-2.2,-2,-1.7,-1,-2.9,-1.7
"nlpC",-1.2,1,-1.3,-1,-1.5,-1,-2.1,-1.3
"fadD",-2.7,-2,-2.1,-1,-1.5,-1.2,-3,-2.3
"ftnA",1.6,1.6,2,2.4,1.5,2,1.2,1.4
"folM",-1.3,1.1,-1.4,-1,-1.2,1.2,-2.3,-1.2
"aroH",-1.6,-1.1,-1.5,1,-1.3,1.1,-1.7,-1.3
"yeaV",-3.1,-2.2,-2.1,-1.8,-1.7,-1.6,-3.5,-2.2
"araF",7,-2,2.8,3,1.3,1.5,1,1.4
"pntB",-1.1,1.4,1.5,-1.8,-1.1,1.4,1,1.2
"ydiT",-2.2,-1.3,-1.9,-3.8,-2,-1.4,-4.4,-1.8
"yeaR",-2.5,-1.3,-1.5,1.1,-2,-1.4,-4.2,-1.9
"otsB",1.2,1.4,1.3,1.6,-1.1,1.1,-1.9,-1.1
"ydgD",-1.9,-1.1,-1.2,1.1,-1.5,1.2,-2,-1.2
"ydiP",-3.4,-1.6,-1.2,1,-1.4,-1.1,-3.5,-1.7
"nimT",-2.1,-1.1,1.2,1.2,-1.4,1.1,-2.3,-1.5
"flhC",-4.1,-1.6,-4.3,-2.7,-2.1,-1.2,-4.4,-2.3
"mlc",-1.9,-1.2,-2.4,-1.7,-1.6,1,-2.7,-1.4
"ydiB",-1.8,-1.3,1,1.6,-1,1.2,-2.5,-1.3
"dgcJ",-4,-2.2,-4.5,-4.1,-2.6,-1.6,-4.2,-2.1
"cheW",-1.9,-1.3,1.2,2,1,1,-2.3,-1.9
"hisD",1.1,1.5,2,2.5,1.2,2.4,1.4,1.2
"yehI",-1.7,-1.6,-1.5,1.1,-1.9,-1.3,-2.3,-1.6
"rcsB",1.1,1.4,1.4,1.5,-1.1,1.2,-1.8,1.1
"ubiX",-1.1,1.3,1.1,1.1,-1,1.2,-1.5,-1.2
"yeeY",-1.9,-1.5,-1.2,1.4,1.1,1,-1.7,-1.4
"mrp",1.4,1.9,2.1,2.6,1.4,1.2,1.1,-1.2
"ada",-5.4,-1.5,-3.1,-10,-2,-1.4,-5.2,-2.5
"hisM",-1,1.7,1,-1.8,1.2,1.3,-1.3,-1.1
"sbcB",-1.6,1.2,1.1,-5.3,-1.3,-1.2,-2.4,-1.5
"yehB",-4.7,-2.7,-5.3,-3,-3,-1.5,-5.5,-2.8
"eco",-1.6,-1.1,1.1,1.4,-1.4,-1.1,-3,-1.5
"folX",-1.1,1.9,2.2,2.4,1.2,1.9,-1.1,1.4
"tmaR",-1.4,1.6,1.5,2,-1.3,1,-1.8,-1.2
"rcnR",1.3,1.6,1.9,2.5,1.1,1.7,-1.3,1.4
"napG",-3,-2,-1.1,1,-1.6,1,-2.4,-2
"yfcD",-2.6,-1.7,-2.4,-1.8,-2,-1.2,-3.6,-1.9
"yeeS",-3.5,-2.7,-4.1,-2.5,-2.1,-1.4,-4,-2.5
"thiD",-4.2,-2.9,-1.8,-1.5,-1.5,-1.3,-3.8,-2.1
"ccmA",-2.5,-2.2,-2,-1.6,-2.1,-1.4,-3.6,-2.4
"yfbV",-1.4,-1.1,1.4,1.7,1.1,1.5,-2.4,-1.1
"yegU",-2.6,-1.8,-1.1,1.1,-1.2,-1.2,-3.1,-1.8
"ccmE",-3.9,-2.2,-2.2,-1.7,-1.7,-1.2,-3.3,-2.1
"yfbR",-2.2,-1.5,-1.3,-1.1,-1.2,-1,-2.1,-1.6
"ptsI",1.7,1.9,2.1,1.3,1.1,1.4,1.4,1.3
"argK",-1.4,1.7,-1.4,-2.8,-1.1,1,-1.6,1
"grpE",-1.4,1,-1.4,-4,-1.7,-1.1,-2.8,-1.3
"hycH",-2.1,-1.2,1,1.4,-1.5,-1.1,-3.6,-1.9
"zipA",-1.4,1.4,1.1,1.4,-1.3,1.1,-1.5,-1.1
"yfgI",-5.4,-3,-4.9,-2.7,-3,-1.2,-5,-2.6
"ffh",1.1,1.5,2.5,2.9,1.3,1.8,1,1.5
"ascG",-2.4,-1.6,-2,-1.6,-1.9,1.1,-2.3,-1.8
"yfeN",-2,-1.5,1.1,1.3,-1.1,1.3,-2,-1.6
"ppx",1.1,1.4,1.9,2.4,1.1,1.4,-1.4,-1.1
"rplS",1.7,1.7,2.5,2.2,1.4,1.8,1.3,1.5
"norV",-3.5,-2.6,-2,-1.7,-1.9,-1.4,-3.8,-2.1
"gltX",1.1,1.5,2,2.3,1.3,2.3,1.2,-1.1
"upp",-1.4,-1,1.1,1.2,-1.1,1.1,-2.8,-1.6
"yfiL",-2.4,-1.6,-1.5,-1.4,-1.5,-1,-2.3,-1.5
"gutM",-2.8,-1.5,-1.8,-1.6,-1.6,-1.4,-2.9,-1.9
"nupC",-1.5,1.4,1.1,1.3,-1,1.1,-1.1,-1.2
"bepA",1.7,1.5,1.4,2,1.2,1.5,1,-1
"raiA",3,1.9,2.8,3.2,1.8,2.5,1.7,1.7
"srlA",-2,-1.2,-2.3,-7,-2.2,-1.4,-4.5,-2.1
"glk",-1.1,1.4,-1.2,-1.9,-1.2,-1.1,-2,-1.2
"hyfJ",-1.7,1.1,1.9,2.1,-1,1.1,-2.5,-1.5
"yfiH",-1.7,1.1,-1,1.5,-1.4,1.1,-2,-1.4
"recX",-2.5,1,-1.7,1,-1.3,1.1,-2.1,-1.2
"amiC",-2.7,-1.2,-1.8,1.2,-1.5,1.1,-2.5,-1.8
"scpB",-3.2,-2,-3.9,-2.5,-2.5,-1.3,-3,-2.4
"plsC",-1.1,1.3,1.1,1.2,-1.3,1.1,-2.2,-1.1
"tdcB",-2.4,-1.8,-1.8,-2.5,-1.8,-1.4,-4.1,-2.2
"csdA",-2.5,-1.9,-2.7,-2.5,-2,-1.2,-3.5,-2.1
"yqfE",-2.1,-1.2,-1.5,1,-1.3,1.1,-2.1,-2.2
"yqhH",-3.7,-4,-2.5,-1.7,-1.8,-1.4,-2.3,-2
"tdcF",-4.4,-4.1,-1.9,-1.5,-1.6,-1.3,-2.3,-2.4
"rlmM",-2.3,-1.8,-1.1,1.3,-1.2,-1.2,-2.3,-1.9
"zapA",1.4,1.7,1.7,1.5,1.3,1.3,1.2,1.2
"yqhC",-2.4,-1.6,-1.1,-1,-1,-1.3,-2.4,-1.9
"fucI",-2.3,-1.4,1.3,-2.5,1,-1.1,-3.7,-1.7
"ubiI",-2.2,-1.1,-2.5,-5.4,-1.3,-1,-3,-1.7
"exbB",1.4,1.7,2,1.1,1.1,1.4,-1.1,-1.2
"yhaI",-3.6,-2,-3.4,-1.9,-2,-1.1,-4.1,-2.2
"ygdG",-2.9,-1.7,-3.5,-2.3,-2.4,-1.3,-4.4,-2.1
"ygfF",-1.5,1.8,2.6,3.1,1.3,1.7,-1.1,1.3
"yqhA",-1.5,1.5,1.5,2.2,1.2,2,1.2,1.2
"yqjK",-1.9,-1.1,-1.1,1.2,-1.4,1,-2.1,-1.5
"queF",-2.8,-1.3,-1.5,-1.3,-1.4,1.1,-2.6,-1.8
"ygfZ",1.2,1.3,1.6,1.7,-1.1,1.4,-1.5,-1.2
"yghW",-2.8,-1.9,-2.3,-1.8,-1.6,-1.4,-3.4,-2.1
"mzrA",1.3,1.3,1.3,1.9,1.5,1.5,-1.1,1.1
"yhcD",-2.5,-2.5,-2.6,-2,-1.9,-1.5,-3,-2.4
"rplC",1.5,2.5,2.6,2.9,1.4,1.6,1,1.1
"malQ",-1.5,-1,-1,1.1,-1.1,1.2,-1.5,1
"gadX",1.5,1.5,1.7,1.8,1,1,-1.1,1.1
"gltB",1.7,1.6,1.7,1.7,-1.1,1.5,-1.2,-1.1
"rpsS",2.1,2,2.4,4.2,1.9,2.2,1.9,1.6
"rpnA",-2.2,-1,-1.7,-4.1,-1.2,1.1,-2.3,-1.3
"gadE",-2.6,-1.3,-3.6,-7.6,-2,-1.4,-4.8,-2.5
"mtgA",-2.8,-1.5,-3.6,-7.5,-2.1,-1.4,-3.9,-1.3
"rpmC",1.2,1.5,1.5,2.7,1.1,1.8,-1,-1.1
"yhgF",1.5,1.4,2.3,2.6,1.3,1.6,1.1,1
"yhiD",-1.4,1.5,2.1,2.4,1,1.6,-1.5,-1.1
"ptsN",-1.2,1.7,2.1,2.4,1,1.4,-1.2,1.2
"rplE",2,1.8,3.4,3.2,1.6,3,1.4,1.5
"pck",-1.3,1.3,1.2,1.7,-1.2,1.7,-1.4,-1
"arsC",-2.1,-1.3,1.3,1.5,-3,-1,-2.2,-1.6
"lptA",1.1,1.3,1.6,2.1,1,1.4,-1.4,1
"rplR",1.9,2.1,2.9,3.4,1.8,2.1,1.5,1.5
"yrfG",1.5,1.5,1.6,1.8,1,2.5,-1.6,1.7
"rlmJ",-1.3,-1.2,1.6,1.5,1.1,1.2,-1.6,-1.4
"yrbG",1.3,1.5,1.8,2.1,1.1,1.5,-1.2,-1.1
"secY",2.3,1.8,2.6,3,1.5,1.9,1.4,-1.1
"hofM",-1.7,-1.4,1,1.1,-1,1.1,-2,-1.6
"uspA",3,1.8,2.9,3.2,1.5,2.2,1.8,1.9
"tdh",1.3,1.1,1.7,-1.1,1.2,1.3,-1.8,-1.4
"yieE",1.9,1.3,1,-1.5,1.7,1.8,1.1,1.5
"yigI",-1.3,1.3,-1.4,-3,-1.3,1,-2,-1.2
"fpr",-2.3,-1.5,-1.6,1.1,-1.5,-1,-2.9,-1.9
"gpmM",-3.6,-2.3,-2.8,-1.7,-1.9,-1.2,-4.2,-2.2
"tnaA",-1.6,1.5,1.1,1.9,-1.1,1.2,-1.9,-1.1
"corA",-2.8,-1.2,-1,1.7,-1.1,1.3,-2.2,-1.6
"tpiA",1.4,2,2.5,2.5,1.3,1.7,-1.2,1.5
"gpsA",-1.4,1.2,-1.2,1,-1.3,1,-2,-1.5
"rpmH",1.8,1.8,3.1,3.2,1.5,1.6,1.6,1.6
"yigB",-1.2,1.2,1,1.4,-1.2,-1.1,-1.6,-1.1
"fieF",1.3,1.8,2.1,2.6,1.2,1.7,-1.2,-1.1
"lldR",-1.9,-1.4,-1.7,-1.4,-1.4,-1.1,-2.2,-1.4
"dnaN",1.2,1.4,1.7,1.4,1,1.5,-1.5,1.1
"yzcX",-3.3,-2.2,-2,-3,-1.5,-1.2,-2.7,-2.1
"cpxA",-1.4,-1.3,-1,1.1,-1.2,1.1,-2,-1.6
"mtlD",-1.6,-1.3,-1.4,-2.4,-1.2,-1.1,-2.3,-1.5
"yidA",-1.6,-1.6,1.3,1.4,1.6,-1.2,-1.8,-1.7
"hemD",1.7,1.8,1.8,-1.1,1.3,2,1.1,1.4
"rhaT",-2.3,-1.4,-1.8,-4.5,-1.2,-1,-2.7,-1.5
"yibG",-3.6,-1.8,-4,-8.4,-1.9,-1.6,-4.1,-2.2
"dgoK",-2.7,-2,1.3,1.6,-1.2,-1.1,-2.9,-2
"aslB",-3.8,-2.3,-3.6,-2.4,-2.5,-1.3,-4.3,-2.2
"rhaA",-3.6,-1.4,-1.1,1.1,-1.1,-1.1,-3,-1.8
"malG",-2.7,-1.3,1.1,1.5,1,1.2,-1.7,-1.3
"dtpC",-4.5,-2.3,-2.8,-1.9,-1.6,-1.4,-4.3,-2.1
"yjfF",-1.2,-1.1,1.5,1.9,-1.1,1,-1.9,-1.3
"yjiK",1.1,1,2,2.5,1.1,1.1,-1.3,-1.2
"yjbG",-4.8,-3,-3.5,-2.5,-1.4,-1.4,-2.9,-2
"yjdI",-1.1,-1,1.3,1.8,1,-1.1,-1.9,-1.4
"ytfQ",1.7,-1.3,1.3,1.7,-1,1.1,-1.6,1.2
"yjiG",-1.4,-1.2,-1.3,-2,-1.2,1.2,-1.5,-1.2
"lysC",1.2,1.3,1.4,1.3,-1,1.4,1,1.3
"fumB",-1.8,-1.9,-1,-1,1,-1.2,-2.1,-1.8
"yjiC",-4.4,-3.6,-3.9,-3.2,-1.5,-1.7,-2.3,-2.3
"yjbB",-2.2,-1.2,-2.7,-10.7,-1.6,-1.2,-2.8,-1.4
"melR",-2.1,-1,-2.1,-6.3,-1.5,-1.2,-3.4,-1.6
"msrA",-2.5,-1.6,-2.4,-7.5,-1.8,-1.3,-3.9,-2
"gntP",-1.1,-1.3,1.1,1.5,-1.1,1.1,-2.7,-1.6
"aceK",1.5,1.7,1.7,2.2,-1.1,1.2,-1.4,1
"eptA",-2.6,-1.4,-1.1,1.4,-1.1,-1,-2.7,-1.9
"ytfI",-3.6,-2.4,-2.7,-1.9,-1.5,-1.4,-1.8,-2.4
