"","0","216000","540000","972000","0 | 1","216000 | 1","540000 | 1","972000 | 1","0 | 2","216000 | 2","540000 | 2","972000 | 2"
"mutT",546.1,433.3,340.8,442.2,357.3,387.6,156.2,248.3,143.1,80.8,110.7,114.6
"yacG",667.9,460,387.5,426.1,1020.3,594.3,545.1,596.1,180.8,136.5,182.4,155.4
"zapD",1150.5,588.4,584.1,438.3,1229.8,463.9,579.6,864.5,147.4,163.3,200.8,136.4
"coaE",615.1,393.6,481.2,444.5,671.5,347.5,484.6,772.8,178.5,167.8,272.2,217.7
"guaC",1225.5,1120.9,956.7,606.5,862.6,1165.9,1743.2,1072.3,119.5,293.4,422.3,100.7
"hofC",203.9,222.6,144.5,292.8,150.1,357.1,215.1,338.9,75.8,40.2,89.1,79.1
"hofB",55.7,63.3,31.4,29.1,36.7,43,65.1,14.2,3.5,10.2,2.6,3.9
"ppdD",56.4,135.5,104.1,67.1,183.5,186.1,151,234.6,33.1,9.4,36.7,2.8
"nadC",411.7,609.9,523.5,353,393.3,543.6,397,345.5,106.2,143.2,131.8,110.4
"ampD",197.3,445.9,1625,441.8,192.3,294.4,855.8,344.3,82,57.8,290.1,102.7
"ampE",334,623.4,1253,638.2,373.7,696.4,735.8,680,70.2,92.6,258,141.1
"aroP",237.1,247.8,363.8,548.4,206.5,329.5,201.9,220.8,60.9,40.9,174.7,97
"pdhR",1859.8,284.8,394.5,294.1,1501.1,271.3,198.1,351.9,323.8,249.3,120.4,69.6
"aceE",9756.9,3024.8,4422.4,2543.4,6871.4,1285.6,2295,3516.7,3690.5,1295.1,1316.4,406.7
"aceF",7215,2665,2810.4,1814.3,6899.9,1298.9,1066,2000.3,3186.8,1057.9,992.5,407.4
"lpd",5116.3,7421.3,5207.8,4782.7,5926.1,10621.7,7044.8,3780,2413.2,2111.1,2468.8,832.1
"yacH",144.2,221.5,250,416.4,82.2,283.9,121.4,158.2,40.7,29.2,72.5,66.4
"acnB",722.5,2775.2,3665.3,1936.7,570.8,2693.3,1957,1309.8,488.2,762,1513.1,549.4
"yacL",639.6,1127.6,2142.1,1481.6,1155.9,1270.1,1810.6,1738.8,320.7,253.4,883.7,569.2
"speD",4083.4,2917.7,1497.7,767.7,2372.3,873.5,1170.7,908.2,2179.8,830.8,776,462.5
"speE",4208.7,2116.3,1152.3,537.8,3199.3,894,1207.6,1289,2140.6,933,605.5,301.3
"yacC",1265.5,1292.9,453,611.6,1386.5,991.3,688.4,742.4,670.6,403,419.3,773.9
"cueO",324.9,833.5,1469.1,519.4,490.2,1379.7,1043.8,788.1,118.8,137.2,298.2,168.5
"gcd",213.1,254.4,441.7,1225.6,50,353.5,794.9,1104.8,53.9,19.5,316.5,161.9
"hpt",2553.2,2242.1,1140.8,1128.5,3104.7,1671.7,1150,1321.8,869.8,569.3,548.5,435.3
"can",7098.2,6726.5,2629.2,3835.1,10118.4,10652.9,5708.1,7657.2,2018.9,917.4,2053.5,2371.9
"yadG",617.3,546.8,713.7,1009.7,484.5,331.6,477.9,739.6,209.3,115.4,250.7,170.9
"yadH",423.6,418.1,861.5,655.1,300.5,356.4,355.9,671.7,125.9,83.8,169.2,125.7
"yadI",155.8,553.3,877.1,618.1,218,468.3,631.6,434,22.2,119,152.6,123.1
"yadE",229.9,181.9,162.6,227.3,164.8,205.5,27.2,61.7,68.8,41.3,62.4,59.2
"panD",1804.8,1686,1394,1592.7,1744.7,1345.1,1536,1500.9,437.9,440,756.6,458.8
"rpnC",238.2,335.8,420.8,336.6,156.8,256.6,163.3,222.2,54.3,61.4,138.7,78.5
"panC",719.5,862.1,1384.8,644.7,772.5,668,939.5,870.8,134.2,157,304.8,120.4
"panB",1208.7,1255.7,1736.5,1076.9,1508.9,1302.2,1171.9,1414.4,367.1,390.9,378.2,178.8
"yadC",28.8,83.9,57.9,45.2,69.4,93.4,27.6,80.2,14.3,14.4,36.3,14.7
"yadK",39.5,121.9,90.9,106.5,6.5,64.9,11.4,43.8,14.7,8.4,62.5,30.7
"yadL",68,123.5,245.9,152.4,57.8,127.6,160.9,146.8,21.3,23.1,132.9,65.9
"yadM",66.3,116.7,308.5,106.6,10.3,221.2,201.9,209.4,21.3,17.1,78.5,46.7
"htrE",56.7,46.8,77.4,118,61.2,116.2,12.5,18.3,3.8,17.1,19.7,2.7
"yadV",85.9,69,82.4,64.1,31.4,125.7,24.4,20.3,25.5,20.8,12,4.7
"yadN",59.7,34.4,60.7,43.3,10.3,90.2,5.3,9.3,7.4,2,6.2,1.6
"folK",697.6,606.4,205.4,251.3,668.7,295.4,211.6,383.1,140,163.3,206.8,91.7
"pcnB",2899.3,2121.9,1205,878.8,3206.5,1024.5,1203.8,1558.5,781.3,978.8,706.3,285.6
"gluQ",191.8,187.2,181.9,307.3,161.5,95.4,226.9,371.2,59.8,79.9,123,57
"dksA",2482.2,3300.6,5474.3,4213.8,4286.1,2506.3,2832.2,4356.3,642.6,1176.5,1866.2,1008.9
"sfsA",868.8,1595.3,5347.6,6126.3,644.3,1233.1,3382.1,6458.8,212.1,317,2455.5,1786.9
"thpR",451.4,480.6,311,324.8,715.4,778.4,701.9,890.3,141.8,165.4,200.4,119.7
"hrpB",887.3,979.8,662,598.7,774,865.7,968.6,818.5,244.4,195.2,293.9,134.8
"mrcB",642.5,630.2,505.2,833.5,734.8,677,515.6,690,138.8,170.4,180.8,117.6
"fhuA",529.4,460.7,440.9,1287.3,579.9,384.2,367.1,1650.1,145,110.2,219.7,396.9
"fhuC",585.7,610.6,602.5,685.3,425.9,357.2,291.6,934.5,188.2,126.4,211.6,246.3
"fhuD",244,180,159.7,477.3,321.7,318.2,133.4,423.8,44.9,57.7,59,115.9
"fhuB",449.4,303.1,269,642.1,246.1,416.9,180.1,438.9,141.3,72.7,95.4,152.6
"hemL",1092.9,767.7,921.1,257.8,1509.1,885.4,1020.2,777.5,270.5,217,268.6,49.8
"clcA",340.8,286.2,439.9,238.8,372.8,675.5,779,737.7,88.3,106.9,227.1,84.9
"erpA",1856,1615.2,445.2,2876.5,2368,1575.6,1228,4287.2,543.5,184.1,655.4,1338.4
"yadS",310.9,174,30.5,122.8,252.9,39,23.3,30.9,126,16.6,36.8,42.4
"btuF",510.8,360.1,228.2,260.5,220,207.2,125.5,200.4,253.4,153.4,141.4,88.4
"mtn",737.5,813.9,918.4,791.1,1302.7,1207.9,858.6,681.2,540.6,270.1,508.9,264.8
"dgt",6.2,97.7,303.1,73.7,14.5,72.7,149.1,50.2,14.8,8.2,116.2,37.8
"degP",192.9,578.8,764.9,641.8,582.1,1195.3,915.7,1327.4,146.6,210.1,693.4,346.7
"cdaR",158.7,542.8,362.2,402.8,91.3,562,95.4,183,87.7,77.4,168.2,96.9
"yaeH",428.8,1568.3,4621.8,1659,310.6,771.4,2194.2,940.6,105.2,261.5,869.2,455
"yaeI",203.8,425.1,445.1,213.9,133.3,311.9,105.9,100.3,88.8,71.8,45.6,13.7
"dapD",2295.1,1958.6,5056,3190.9,1889,3115,3652.1,1858.5,722.9,872.7,1281,1005.2
"glnD",472.3,333.8,386.2,589.7,425.2,559.2,455.7,634.6,165,141.4,205.6,113.2
"map",2385.1,1754.7,1017.9,1075.4,3064.9,1530.2,785.9,1189.1,593.2,474.2,440.1,394
"rpsB",14498.2,10065.7,2177.4,2970.2,24351.9,6340.4,6299.8,5588.7,2855.6,4171.5,1340.6,581.8
"tsf",9910.5,6233.6,1416.8,1621.2,8336.3,1316.3,1843.8,2385.4,1443,1991.8,857.6,623.9
"pyrH",4733.8,2307.4,1440.4,933.3,3120.2,1114.1,965.9,1082.8,607.5,677.7,618.4,266.3
"frr",5037.8,2521.1,3330.3,3705.4,3958.6,2859.5,2572.9,2307.2,713.9,918,1020,520.4
"dxr",642.7,382.5,489.4,848.4,697,651.7,545.6,694.3,136.7,153.1,284.6,184.7
"ispU",1531.3,724.2,690.6,1063,1159.6,872.9,605.8,749.1,326.6,283.5,351.2,159.1
"cdsA",1399.9,825,954.7,1099,909.3,656.6,698.1,631.1,277.7,268.2,198.4,163.5
"rseP",2055.2,2901.1,1656.5,1766.8,2214.2,1791.7,2373.9,2161,587.9,700,750,303.5
"bamA",2024.5,1880,2196.3,1759.2,852.6,504.2,1312.8,1394.3,430.7,351,852.9,330.6
"skp",13246.9,16429.9,12601,7158.6,7408.4,6498.5,10034.5,6561.9,2039.7,2813.3,3277.4,1146.7
"lpxD",7452,3834.5,2121.2,3549.1,8227.7,3161.3,3032.5,4110.8,1673.1,1286.8,988.7,742.2
"fabZ",8801,6526.9,3463.4,3191.1,7213.6,2862.8,2433.6,3652.5,1405.9,1771.9,998.7,779.4
"lpxA",2315,1538.9,777.3,995.3,3218.8,3117.8,1432.8,1837.7,310.7,529.7,336,240.8
"lpxB",1176.9,782.4,564.7,807,1012.9,828.8,650.5,1037.3,493.8,202.6,395.8,173.5
"rnhB",1423,928.5,529.6,1076.9,1650.1,1180.1,761,1053.3,430.4,369.1,314.4,207.6
"dnaE",5165.8,2663.2,1522,1592.8,4140.8,1942.5,1581.2,1693.1,1443,807.1,898.5,503.3
"accA",3111.6,1802.5,1552.2,821.6,2546.1,1696,1066.3,886.7,686.3,598.9,431.3,207.8
"ldcC",215.1,319.3,1828.3,698.2,229.9,408,1123.1,1092,59.7,38.9,626,189.6
"yaeR",301.4,514.6,1104,596.6,250.7,414.7,839.7,756,150.9,87.5,527.2,184.1
"tilS",733.8,1046.2,1018.7,1394.5,509.4,883,664.2,837.6,203.2,219.8,446.2,278.6
"rof",681.7,1151.8,2428.2,1786.4,1074.7,1859.9,2142.7,1320.2,154.1,216.4,744.2,390.9
"yaeQ",1047,1118,956.3,873,957.8,980.8,727.2,972.8,613.8,400.9,648.8,251.3
