"","0","216000","540000","972000","0 | 1","216000 | 1","540000 | 1","972000 | 1","0 | 2","216000 | 2","540000 | 2","972000 | 2"
"ybeT",60.2,75.7,65.9,97.7,61.1,112.7,20.6,103,22,4.6,42.2,30.2
"ybeU",116.6,151.2,140,301.8,129.1,294.8,146.7,181.5,42.8,29.9,81.4,50.9
"djlC",18.2,14.1,11.7,7.1,19,48.1,14.3,22.4,5.2,2.9,10,1.2
"hscC",10.6,43.7,37.4,295.1,107.9,93.1,49.3,38.5,16,6.6,31.8,30.8
"rihA",20.8,17.9,16.4,33.5,11.5,79.2,30.8,35.8,8.8,9,14.5,6.9
"gltL",109.7,144,122.6,309,118.2,135.1,250.7,112.6,84.5,75.7,144.4,64.7
"gltK",66,98,37.6,121.4,19.6,112.6,24.7,33.2,26.8,40.6,34.1,16.1
"gltJ",151.1,200.3,335.1,473.4,255.7,386.9,321.1,203.3,44.7,32.2,125.9,77.3
"gltI",127.9,156.4,157.7,273.8,68.1,184.5,99.6,188.7,38.9,41,26.8,41.8
"lnt",722,376.7,366.5,570.7,883.8,779.8,605.3,586.3,296.7,173.8,339.3,211.2
"ybeX",1316.2,844.8,978,1808.9,920.1,1056.4,1137.5,2523.9,678.5,438.3,1258.6,717.2
"ybeY",772.7,911.8,1628.1,1306.4,714,794,1679.3,3092.6,740.7,345.3,1382.8,588.8
"ybeZ",983.7,1019.2,1800,1650.1,871.3,1178.1,1561.8,2423.1,928.4,337.2,1668.7,795.4
"miaB",1982.1,1750.8,929.6,487.2,2576.2,863.6,1017.8,578.3,1247.5,488.5,447.2,247.4
"ubiF",515.9,679.4,1099.2,953.2,442,452.1,476.5,658.6,163.9,162.8,412.9,245.9
"glnX",9726.6,6804.3,6694.9,9083.6,20101.2,19852.3,10535.3,3182.6,1307.4,2221.6,3030.1,4404.9
"glnV",10096.7,7006.7,6594.6,8411.7,20594.5,20090.2,9901.9,3598.7,1583.8,2328.1,3216.5,4898.1
"metU",12581.5,4864.7,1634.4,2143.6,9198.4,1569.4,647.7,687.4,1033.7,885.1,683.6,1031.7
"glnW",15986.5,7349.4,2786.6,2633.4,33594,15582.9,8100.9,3613.2,1403.3,2183.2,1225.7,1842.5
"leuW",13980.7,7289.8,3311.8,2829.1,23507.3,8206.2,3883.1,1095.7,1901.1,1875.1,1443,1429.9
"metT",10014.9,4169.1,1512.7,1673.6,8916.1,1794.5,674.7,746.1,1238,1315,673.8,983
"asnB",178.6,248.5,957.5,298.7,78.6,232.8,64.1,214.6,65.7,68.9,187,64
"umpH",961.6,874.1,829.4,903.8,1012.9,930.3,388.8,587.4,415.6,338.6,398.4,233.4
"nagC",970.5,1104.7,992.5,1365,1266.7,1552.5,1129.3,1515,270.9,377.5,425.7,242.9
"nagA",754.9,1298.8,1554.7,805,711.1,909.8,1017.7,1205.9,239.6,246.8,611.7,190.8
"nagB",381.8,1211.2,1582,1204.7,346.3,849.1,1204.1,1395.6,184,191,621.4,142.6
"nagE",396,962.2,1377.4,898.6,644.6,2003.7,1862.9,684.2,170.4,194.3,429.4,116.1
"glnS",2012.7,1536.9,1253.5,943.6,2933.1,1163.6,716.2,830.4,638.6,549.3,296.8,152.4
"chiP",299.5,222.7,196.9,283.6,205.6,238.7,23.1,24.2,74.7,43.2,135,52.3
"chiQ",159.8,191,181.4,340.5,203.6,255.3,59.7,200,57.8,48.6,102,77.4
"fur",3403.9,3191,1612.7,3601.2,3556.7,2818.1,2687.1,3094.9,807,583.5,1469.8,944.8
"fldA",3050.1,2017.5,2198.9,1445.8,4186.8,2665.5,3545.2,3466.2,1042.1,630.3,1233.8,689.3
"ybfE",828,371,53.2,65.4,980.4,78.7,43.8,92.5,317.8,127,17.5,34
"ybfF",345.9,241,217.9,220.6,104.3,148.4,229.8,298,98.6,50.7,117.2,45.7
"seqA",987.1,952.1,1340.9,908.5,782.1,498.3,1524.1,2015.5,396.9,379.3,856.4,263.6
"pgm",379.4,368,898.7,449.9,456.2,435.3,688.6,660.8,96.7,160.6,242.4,76.5
"ybfP",98,107.7,18.6,93.5,131.5,212.3,11.4,29.3,24.3,3.7,10.4,14.1
"ybfG",182.5,194.6,108.2,25.7,30,264.3,33.1,32.1,24.5,4,49.7,6.1
"potE",19.6,76.1,104.2,71.5,19.4,25.3,31.1,110.2,2.8,4.2,6,18.7
"speF",180.9,163.6,153.3,202.3,28,97,65.2,109.7,42,40.5,79.8,63.6
"kdpE",466.5,764.4,549.5,490.6,398.2,360.6,338.5,512,102,133.9,319.3,181.3
"kdpD",241.2,447.3,710.6,931.4,252.2,718.4,639.8,1154.7,207,87.8,362.3,231
"kdpC",573.9,836.4,1197.5,674.2,869.8,700.7,568.3,363.5,183.7,129.9,277.3,171.5
"kdpB",110.4,122.6,87.6,140.5,185.8,176.4,29.2,128.3,50.9,4.6,17.1,25.4
"kdpA",266.9,219.2,184.2,235.9,216.2,242.4,22.8,173.2,103.8,55,42.2,65
"ybfA",973.1,249.2,2217,568.5,2949.8,515.5,451.7,496.3,454.6,755.2,460.2,292.5
"rhsC",36.2,37.4,37.7,24.1,11.2,26.5,16.6,47.8,13.3,28.4,6.4,9
"ybfB",26.2,44,14.5,79.1,50.8,57.9,85.3,29.9,6.6,3.4,13.8,8.3
"ybfO",NA,NA,NA,NA,NA,NA,NA,NA,3.3,3.7,7.2,12.1
"ybfC",43.3,89.5,136.8,112.5,74.9,21.6,171.2,76.4,32.3,23.8,123.7,92.3
"ybfL",NA,NA,NA,NA,NA,NA,NA,NA,37.1,4.1,47.2,15.9
"ybfD",NA,NA,NA,NA,NA,NA,NA,NA,39.4,7.5,63.9,24.6
"ybgA",75.2,201.6,749.2,819.9,12.8,365.8,877.3,1321.5,68.6,77.2,1028.7,426.5
"phr",304.5,513.2,714.4,1566.6,504.4,1180.6,2359.1,1890.8,224.4,147.5,577.3,345.1
"dtpD",129.7,151.8,203.7,254,183.1,252.5,180,169.3,41.3,15.2,16,23.6
"ybgI",644.3,874.6,3590.8,1690.8,485.2,852.8,1388.4,1780.5,205.4,258.7,1024.5,395.3
"pxpB",264.2,456,1185.5,752,194.9,534.9,694.8,670.6,51.6,138.4,304.3,125
"pxpC",104.3,189.6,915.4,235.3,288.9,503.6,731.6,846.4,27.8,77.2,362.6,82.2
"pxpA",381.9,336.6,740.9,618,381.4,536.2,600.3,560.7,129.8,149.5,350.7,171.5
"nei",291,267,347.8,291.7,201.5,342.9,91,204.6,96.8,97.8,133.1,51.5
"abrB",250.7,232,372.4,346.2,262.5,367.3,238,180.4,82.9,77,126.8,41.3
"ybgO",51.2,53.9,46.3,63.2,95.3,16.4,2.4,4.1,17,1.1,1.7,10.1
"ybgP",114,106.1,72.3,134,136.7,190.1,19.4,138.7,16,18.7,7,1.8
"ybgQ",141.1,153.7,17.5,373,86.5,261.1,104.8,70.9,66,41.3,86.9,36.3
"ybgD",47.6,124.3,67.5,97.7,80.9,117.2,110.6,17.6,11.6,2.8,28.5,18
"gltA",373.2,4772.8,9461.7,7623.3,370.6,5962.9,13847.7,8707.6,259.9,980.6,4513.6,1503.5
"sdhC",201.1,7461.7,2483.8,2674.5,230.1,3622.4,5231.9,5936.7,1037.5,1105.6,2111,541.8
"sdhD",312.1,9255.8,3435.3,3419.5,149.6,3568.4,4861.5,4110.9,1319.5,1584.7,3435.5,604.9
"sdhA",464.9,9451.8,4488,4281.8,477.1,8515.4,9737.1,5748.7,997.5,1940.4,3602.7,723
"sdhB",173.6,3075.7,1977.5,1921.9,162.9,2741.5,2726.3,1135.8,397.3,644.3,1228.4,243.6
"sucA",314.9,1854.3,2348.7,2982.9,153.5,1355.6,2616.7,2751.1,487.7,608.9,2508.7,310.8
"sucB",408.7,2339.1,4059.7,3569.5,251.4,2212.2,6652.2,4294,406.6,1054.6,3247.8,471.1
"sucC",1001.8,3026.2,8300.3,9420.6,416.1,4028.3,15392.2,8303.4,1042.1,2168.9,6799.9,1635.1
"sucD",198,821.2,2463.3,2292.7,86,1427.4,3532.3,2044.7,209.4,394.3,1448.6,352.9
"mngR",404.7,269.8,225.6,352.8,223,401.4,305.1,210.1,87.2,95.5,127,113.3
"mngA",169,191.2,282.6,247.2,38.5,273.8,25,38.3,36.6,30.5,33.8,26.2
"mngB",19.3,49,153.4,10.7,92.9,38.1,36.6,137.2,4.5,13.3,30.9,25.7
"cydA",2939.4,1242.1,13668.6,971.4,2016.4,425.1,1506.3,1505.6,620.7,642.4,1025.3,175.6
"cydB",5333.6,2983.4,15633.8,1574.7,3406,672.4,1428.4,1625.6,1265.6,1072.2,1450.6,429.6
"ybgE",2067.3,807,2793.7,669.6,965.7,267.8,398.3,674.3,337.8,269.7,252.8,339.1
"ybgC",2055.5,1427.2,651.7,873.4,3108.1,1341,1049.5,1102.8,530.4,368.4,394.7,356.9
"tolQ",1458.8,1533.2,613.1,750.1,1025,1452.5,631.7,834.5,456.5,332.5,340.6,196.8
"tolR",1159.4,1051,533.2,548.3,1174.8,1152.2,385.7,575.4,352.5,331.6,300.8,259.8
"tolA",903.8,799.7,665.9,533,677.2,841,732,878.7,387.8,220.5,382.4,265.3
"tolB",1973.1,2161.8,2066.1,1888,1472.2,1375.9,2087.4,2685.5,942.7,690.7,1323.4,1035.9
"pal",3815.8,3835.5,3648.1,2706.8,2691.7,1489.9,2995.1,3279.1,1391.5,982.3,1874.1,1356.8
"cpoB",2005.6,1966.7,1563.5,2039.8,2130.7,1518.1,2548.5,3855.3,1110.2,781.4,1476.8,848.8
"lysT",17304.1,11089.8,3846,4930.3,27317.7,8368.3,4535.1,3413,4253.4,4624,3297.5,2979.1
"valT",18135,11401,5063.5,9084.9,49046.1,28804.7,27763.4,12398.5,4749.8,6951.8,4087.7,4156
"lysW",17190,11960,4196.5,5587.8,29591.1,9446.5,5156.5,3701.1,4004.8,3903.4,2628,2401.7
"valZ",17500.6,11846.7,5802.1,9383.3,50913.7,32030,25677.3,12247.8,4446,6285.9,3382.6,3304.3
"lysY",17218.5,11446.3,3844.3,4945.6,28608.5,9468.3,5469.2,3919.4,4255.3,4679.8,3341.5,2816.5
"lysZ",17690.1,12756.1,4220.8,5480.6,29962.5,9762.3,5027.6,3563.7,4349.4,4506.9,3059.2,2639.6
"lysQ",17726.4,12197.5,3723.9,4734,29231.8,10363,5616.5,3443.8,4506.3,4402.3,3278.7,2686.6
"nadA",110.3,174.9,176.2,318.2,226.9,246.7,282.8,250,69.5,73.9,141.9,65.5
"pnuC",103.2,189.9,672.3,473.8,118.7,280.5,597.1,528.5,40,42.7,256.9,204.7
"zitB",42.2,148,439.8,318.4,165,143.1,192.7,247.9,10.9,38,181.1,84.4
"ybgS",NA,NA,NA,NA,NA,NA,NA,NA,73.1,98.7,1240.6,1429.7
"aroG",688.6,574.9,1247.8,2099.7,716.8,844.9,1502.6,2010.8,176.2,220.6,502.7,406.7
"gpmA",2103.8,2393.7,4793.2,4714.6,2610.9,2770.9,5025.5,5195.9,679.4,1119.5,1708.9,1081.2
"galM",911.7,1728.4,3959.4,1963.7,976.3,2768.6,4054.5,2281.1,219.4,788.7,1337.2,276
"galK",724.2,2235,2075.8,3279,400.6,2384.5,2170,2310.7,362.6,729.1,1197.4,432.1
"galT",323.7,7500.8,10899,11665.4,303.2,4833.5,10125.5,15559.2,854.4,1924.2,6012.9,1926.8
"galE",642.2,7045,12431.8,11455.5,343.9,5478.2,13761,17864.6,940.8,2479.2,5383.7,1878.7
"modF",151.9,272.4,419.5,387.1,136,400,299.4,232.2,35.9,71,130.7,53.7
"modE",377.6,351.4,383.8,192.8,218,173.1,274.2,346.5,139.4,112,171,85.9
"acrZ",NA,NA,NA,NA,NA,NA,NA,NA,354.1,193,374.7,421.5
"modA",323.5,772.8,1674.7,435.6,277.3,365.4,760.7,399.8,90.8,377.6,269.6,81.2
"modB",298.8,791.1,1040.9,416.3,350,555.3,891.1,369.1,102.9,433.3,287.5,86.1
"modC",287,458.3,711.6,274.5,45.8,242.7,470.4,421.3,52.9,159.9,131.9,53.6
"ybhA",1183.1,842,707.5,307.3,1462.6,984.9,747.2,578.9,450,306,230.2,106.6
"pgl",172.4,409.6,3880.4,2034.7,160.3,672.5,3248.8,2783.5,27.6,112.3,1416.6,514.2
"ybhD",113.9,100.7,111.4,115.7,83.2,145.1,141.4,177.6,9.6,21.3,68.1,41
"ybhH",60.2,107.6,47.7,107.5,123.3,129,116,82,18,8.2,12,6
"ybhI",24.1,77.7,47,87.9,21.5,21.4,20.3,19.2,5.2,5.7,8.3,3.4
"ybhJ",298,254,265.3,439.2,186.8,286.8,113,223.6,58.5,61,49,44.9
"ybhC",1653.5,846.7,575.5,420.3,1745.1,667.9,477.6,626.2,431.9,274.8,268.4,169.8
"ybhB",884.7,1320.5,3680.5,1626.2,1470.5,2984,4771.9,2313.2,256.8,299.3,1691.4,639.7
"bioA",713,422.6,387,590.8,986.5,55,41.2,54.4,274,52.9,145.4,56.8
"bioB",627.9,147,32.6,218,2885.9,2336.4,1747.8,2096.2,896.5,418.2,1010.7,594.1
"bioF",392,80.5,65.6,23.1,497.9,217.5,88.4,15.2,183.4,22.6,14.7,4.1
"bioC",301.7,237.4,128.2,150.5,7740.4,9293,9165.7,8707.8,592.3,424.4,1223.3,1018.9
"bioD",506.7,179.6,232.9,24.6,12755.2,13834.4,13620.1,12287.4,1339,1197.9,3208,3012.2
"uvrB",690.5,805.2,1096.8,1271.2,711.6,1012.6,1863.9,2455.1,252.7,182.4,675,434.6
"ybhK",453.3,535.4,496.8,562.2,827.8,1232.4,1024.9,910.3,192.7,177,318.4,229.8
"moaA",644.2,925.7,731.4,320.7,314.4,217,821.6,716.2,182.6,160.3,317.7,211.4
"moaB",604.4,762,2335.4,294.6,264.2,243.9,1138.1,657.1,225.2,240.4,762.4,260.3
"moaC",1085.6,1056.5,2578.9,1266.7,827.9,1356.6,1792.4,1482.6,365.4,377.4,928,493.6
"moaD",516.2,638,1311.9,580.1,589.5,839.7,1762.6,1153.7,238.7,280.7,388.5,283.4
"moaE",332.4,419.9,773.7,391.3,371.4,579.7,876.6,744.2,153,151.3,323.4,172.2
"ybhL",672.7,1736.2,3579.5,2290.4,778,1458.9,3157.8,2646.4,499.9,345.3,2744.5,2517.4
"ybhM",7.4,88.2,20.9,34.7,41.5,26.6,11,20.7,20.9,12.5,30.2,15.3
"ybhN",63.4,106.2,188,256.5,59.3,135.7,58.4,110.4,35,19.8,109.2,68.2
"clsB",66.3,131.5,438.9,374.3,170.2,147,344.2,471.2,8.1,28.7,244.9,80.9
"ybhP",169.5,194.8,628.6,633.1,263,405.5,792.6,1244,36,74.6,398.5,163.3
"ybhQ",484.5,1538.8,2936.1,4247.9,478.1,1629.8,2512.1,2455.4,185.2,311.5,1156.2,778.2
"ybhR",239.2,327.8,456.1,640.2,331.7,396.2,350.1,303,191.7,80.7,259.3,191.3
"ybhS",238.2,388.6,428.2,348.4,285.8,505.2,509.4,449.7,62.6,94.8,108.4,53.1
"ybhF",201.4,433.6,533.1,355.4,216.5,401.1,305,300.5,63.7,72.9,166.4,49.6
"ybhG",NA,NA,NA,NA,NA,NA,NA,NA,118.7,57.3,317.4,67
"cecR",124.6,437.1,438.7,127.5,257,585.3,272.8,184.8,76.5,42.1,198.5,37.7
"rhlE",867.2,318.5,293.9,503.1,1174.4,445.3,456.1,492.3,166.8,79.7,100.2,47.4
"ybiA",157,276.2,518.7,215.7,96,345.6,243.7,57,29.8,65.2,131.2,27.2
"dinG",312.6,312.9,344,316.7,386.6,341.3,410.1,451.2,169.8,94.5,122.7,55.3
"ybiB",406.2,662.4,2469.5,813.4,602.1,658,1016.5,775.4,136.7,146.3,589.6,152.6
"hcxB",499.4,732.3,1672.7,951.1,598.1,1198.1,882.1,792.8,248,115.7,587.1,209.8
"ybiJ",791.3,474.8,410.7,729.3,914.4,570.8,485.1,990.8,129.4,86.1,111.3,125.5
"ybiI",198.3,292.8,910.4,713.4,145,360.7,644.5,708.8,23.1,6.4,371.2,178.7
"ybiX",197,211,301.2,361,33.6,209,98.4,408.2,49.7,45.3,86.8,112.7
"fiu",NA,NA,NA,NA,NA,NA,NA,NA,10.6,26.5,13.5,77.6
"mcbA",115.4,254.7,1471.3,719.4,99.1,204.3,1052.2,1440.1,59.3,33.1,894.5,495.9
"rlmF",942,421.7,533.2,504,841.8,535.1,524.9,732.3,279.8,143.6,217.2,89.8
"ybiO",164.8,237.5,296.4,372.6,198,279.4,430.8,319.6,45.9,36,145.3,91.4
"glnQ",770,2032.9,1621.9,2245.7,1166.2,3155.3,7431.5,3129.9,426.1,707.7,2125.5,416.5
"glnP",675.1,1837.7,1604.8,2319.5,799.2,2509.1,5807.8,2865.2,429,482.9,2777.6,522.8
"glnH",1523.4,6852.5,11656,7380.4,1412.6,6962.4,22143,5802.8,1095.1,1242.9,7482,1808.2
"dps",1148.7,3645.3,21159.7,29851.5,1188,9094.6,36587.2,47388.6,447.2,425.1,9394.5,8176.6
"rhtA",399.1,284.1,252.3,245.5,474.2,332.9,143.4,305.3,109.6,72.6,88.4,74.5
"ompX",9574.8,2572.5,3145.7,3617.2,21601.3,2126.3,3953.9,7716.3,2145.8,1346.6,1253.8,2276.2
"opgE",262.3,97.7,136.1,86.8,243.7,238.2,53.1,146.7,76.8,41.9,103.5,76
"mntR",NA,NA,NA,NA,NA,NA,NA,NA,252.5,159.2,192,265.6
"ybiR",311.8,368.7,172.6,350.8,344,476.5,49.6,53.7,153.8,89.3,101.6,75.5
"ldtB",2728.4,742.8,628.8,1278.8,2027.6,607.2,728.3,908.2,685.5,232.8,458.8,547.2
"ybiT",1631,469.3,536.7,616.8,878.5,429.3,510.6,766.3,212,257.6,163.9,124.1
"ybiU",201.8,252.3,218.1,253.7,143.7,195.9,199.4,261,70.5,57.8,134.2,112.6
"ybiV",NA,NA,NA,NA,NA,NA,NA,NA,259.3,104,211.4,261.7
"ybiW",260.5,397.6,271.2,820.6,532.8,896.6,517.2,556.8,144,163.5,169.4,163.5
"ybiY",64.1,99.8,93.9,18.7,13,131.1,14.2,24.2,5.9,4.4,7.4,4.6
"fsaA",118.3,261.1,422.7,397.8,56.2,396.3,334.6,112.6,41,49.6,74.9,37.1
"moeB",268.1,463.6,476.4,405.7,252.7,219.6,86.7,203.1,58,88.8,57.6,10.8
"moeA",679.1,816.5,750.9,585.2,394.7,565.7,254,488.1,212.6,226.6,243.7,101
"iaaA",19.2,71.2,549.5,132.4,21.3,70.4,498.5,251.6,4.4,39.8,341,98.9
"gsiA",NA,NA,NA,NA,NA,NA,NA,NA,32,178.6,374.8,91.2
"gsiB",NA,NA,NA,NA,NA,NA,NA,NA,45,89.2,287.6,110.8
"gsiC",NA,NA,NA,NA,NA,NA,NA,NA,25,102.4,262.4,75.2
"gsiD",NA,NA,NA,NA,NA,NA,NA,NA,69.5,128.8,125.8,69.2
"pdeI",NA,NA,NA,NA,NA,NA,NA,NA,60.8,56.3,74.3,31.4
"dgcI",NA,NA,NA,NA,NA,NA,NA,NA,60.1,88.3,158.7,94.5
"rimO",1256.4,417.1,207.2,232.5,2268.5,397.2,219.8,301.2,319.8,136.5,51,34.6
"bssR",NA,NA,NA,NA,NA,NA,NA,NA,28.5,88.7,2525.4,2676.5
"yliI",375.1,536.6,1382.3,1355.3,173.9,656.7,905.5,1206.9,101.8,85.8,502.3,214.5
"gstB",734.4,765.7,2141.2,1287.3,621.4,1150.7,1734,1689.3,221.7,179.9,584.1,307.1
"dacC",460.7,712.3,2483,796.2,540.5,760.6,2355.2,1638,143.6,147.8,1002.7,290.1
"deoR",836.5,752.6,592.3,607.9,432,317.5,299.2,316.4,221.7,141.2,209.6,78.8
"ybjG",2144.7,1364.4,729.6,1127.4,1739.8,1059.8,910.7,852.3,353.3,488.8,267.8,155.5
"mdfA",650.2,357,273.7,412.8,504.4,152.1,250,250.9,178.1,95.4,108.4,60.3
"ybjH",393.5,223.3,296.1,438.8,488.3,292.5,194.4,175.9,126.2,75.8,194.4,111.4
"ybjI",NA,NA,NA,NA,NA,NA,NA,NA,63.3,86.7,119.6,42.2
"ybjJ",NA,NA,NA,NA,NA,NA,NA,NA,25.4,89.2,136.8,19.1
"rcdA",NA,NA,NA,NA,NA,NA,NA,NA,84.3,65.7,141,83.9
"ybjL",NA,NA,NA,NA,NA,NA,NA,NA,108.9,87.4,143.3,122.8
"ybjM",83.6,77.6,153.2,148.2,122.5,144,138.1,178.4,17.4,35.1,70.1,40.7
"grxA",698.6,450.3,726,445.3,954.6,496.9,410.4,394.3,117.1,110.9,289.2,205.1
"ybjC",631.7,724.1,818.5,342.4,600.6,706.3,1065.4,915.9,386.7,329.2,526.8,193.5
"nfsA",659.1,723,923.4,538,727.5,709.8,1139.9,869.4,274,364.3,534.7,234.1
"rimK",366.2,259.1,135.2,127.9,458.8,189.6,275.5,187.3,114.7,103,70,32
"ybjN",759,1110.5,517.3,502.7,735.3,966.4,650.3,495.4,319.6,309.6,398.7,320.7
"potF",181.6,278.3,278.1,975.8,209.2,281.1,252.6,785,129.2,62.3,457.8,239.5
"potG",12.2,16.8,12.5,151.7,19.7,43,51.5,130.6,7.9,4.4,64.4,56.7
"potH",221.3,234.7,170.6,390.5,117.5,267.9,241.1,336.3,38.2,55.5,164.7,114.1
"potI",209.5,203.1,140.2,472.3,162.1,371.2,297.2,439.8,54.9,37.8,159.6,159.7
"ybjO",342,345.2,229.4,150.8,160.8,191.2,176.2,348.6,99.2,63.1,108.6,90.5
"rlmC",512.1,304.9,145.8,249.3,681.5,343.9,203.5,155,177.5,75.2,160.5,78.5
"artJ",134.4,132.9,196.1,27.6,26.6,39.6,56.4,34.6,48.7,50.3,161.5,40.6
"artM",652.7,562.2,1133.3,1593.3,811.8,999.5,1727.8,1736.9,177.7,260.3,673.2,456.2
"artQ",509.5,521.5,1132,2016.1,424.2,611.9,1852.2,2635.2,127.9,230.4,770.3,388.5
"artI",645.5,1124.3,3928.8,3227.9,704.2,1298.5,6396.1,7077.1,164.2,421.9,1864.2,810.3
"artP",877.6,959.6,2272.6,2362.8,482.1,879.3,4339.6,7221.2,348.3,504.2,1880.6,983.7
"ybjP",154.5,528.4,9074.3,2068.3,167.9,849.9,5085.5,3287.3,63,122,2468.3,498.9
"ybjQ",NA,NA,NA,NA,NA,NA,NA,NA,79,239.5,1070.1,403.4
"amiD",NA,NA,NA,NA,NA,NA,NA,NA,56.7,69.8,354.5,165.2
"ybjS",NA,NA,NA,NA,NA,NA,NA,NA,140.7,106.7,146.5,60.5
"ybjT",329.4,327.6,596.8,834.4,331.1,704.8,614.5,885.2,122.6,152.8,290.1,136.1
"ltaE",612.5,932.3,1938.7,1146,609,823.9,779.6,795.9,226.6,221.1,505.4,269
"poxB",189.3,454.7,3046,2059,290.7,885.7,3380.1,8293.7,90.3,107,1454.7,637.3
"hcr",NA,NA,NA,NA,NA,NA,NA,NA,81,33.1,46.1,33.5
"hcp",30.6,72.6,581.9,59.8,31.5,290.1,183.8,51.1,6.2,25.6,18.1,5.7
"lysO",283,140.6,107,226.1,48.4,155.8,17.4,16.6,45.2,42.6,50.2,26.9
"aqpZ",206,217.3,188.6,356.4,195.6,338.1,155.6,485.7,8.6,38.6,12.1,38
"ybjD",402.7,303.4,522.2,264.6,343.9,490,632.8,714.9,68,82.1,196,129.3
"ybjX",2365.2,1324.2,665,1096.7,2474.5,527.7,732.5,3430.1,708.2,969.5,502.7,864.2
"macA",NA,NA,NA,NA,NA,NA,NA,NA,113.6,75.7,244,130.8
"macB",401.5,530.7,1101,986.2,572.3,984,796.2,847.7,185.6,119.6,244.5,275.4
"cspD",1006.7,10021.8,22456.9,38645,1728.1,20418.8,47569.7,36443.4,418.4,921.3,9035.3,6445
"clpS",1099.2,1870.7,4105.7,3751.8,1086,4009.4,5809.5,5745.2,348.8,650,2099.1,1379.3
"clpA",926.7,1289.7,8246.1,4237.8,964.7,2825.3,6739.9,4004.2,267.5,226,2458.4,1068.2
"serW",3749.6,3560.2,2679.2,9799.1,25272.5,18304,9490.3,4739.7,773,1332.5,2110.7,2740.8
"infA",16971.4,7996.3,894.1,2818.7,36805.9,8965.4,3768.6,2178.7,4536,3813.7,1162.6,1622.7
"aat",371.1,374.2,422.8,400.6,369,137,596.5,668.9,126.5,101.9,198,159.8
"cydC",595.3,422.7,608.2,681.9,608.2,664,973.2,870.3,317.2,183.6,373.9,182.6
"cydD",377.3,269.1,296.1,288,250.9,278.9,274.4,330.3,104,129.7,136.5,76.8
"trxB",968.2,999.1,902.8,925.3,1265.2,1643.6,724.7,1107,524.6,436.6,672.1,379.4
"lrp",1482.6,915.1,2143.6,1617.2,1411.8,2312.6,2920.7,2030,297.9,394,1414.1,820.5
"ftsK",1139.4,1216.7,946.8,1607.1,1245.5,1357.1,1571.2,1968.5,599.7,427,775.7,439.6
"lolA",1157.6,1190.9,1407.6,1056.6,1031.6,1150.4,1520,1338.5,473.1,428.4,743.1,368.5
"rarA",551.5,406,291.9,362.9,335.7,260.2,327.8,427.8,269.8,172.6,270.9,169
"serS",1247,1632.2,1609.1,1158.4,996.4,1520.6,1302.9,1320,437.6,398.2,592.1,312.2
"dmsA",21,126.6,1195,238.6,29.9,198,151.8,108.3,34.1,36.4,88.6,29.2
"dmsB",58.4,185.4,1701.1,93.4,169,253.8,271.5,279.7,15.5,29.5,80.4,40.5
"dmsC",35.4,153.3,642.2,183.4,248.3,382,428.1,264.6,65.5,32,125.7,73.4
"ycaC",76.9,661,6699.9,8475.9,60.5,689.3,6480.1,8491.4,54.4,260.6,4095.9,2770.1
"ycaD",474,325.6,511.9,775.6,190,97.4,154.3,479.6,142.5,59.8,267.2,326.2
"ycaM",NA,NA,NA,NA,NA,NA,NA,NA,1.5,18.6,12.1,12.9
"ycaN",180.1,224.2,203.8,381,226.1,371,236.7,202.1,46.7,39.7,114.3,29.8
"ycaK",118.8,197.8,98.7,87.7,191.4,32,9.3,103.1,47.8,41.7,15.2,6.3
"pflA",1177.2,1417.8,1798.8,1293,1721.7,993.9,1068.3,921,484.7,433.2,830.1,314.7
"pflB",1227.8,1750.4,10433.2,3098.4,1528,1309.4,2804.7,5274,736.7,473.4,1407.2,1040.7
"focA",1464.3,1421.1,5330.3,2373.7,1764.5,1076.1,3596.1,5759.2,759.9,937.3,1514.8,911.8
"ycaO",1511.4,445.3,166.2,167.5,1643.6,455.8,100.9,140.6,375.5,136.4,63.5,30.9
"ycaP",310.7,405,1821.8,1206.3,315.9,725.5,1563.2,1495.5,110.5,112.9,1017.4,482.6
"serC",371.7,288.5,934.5,676.1,620.4,621.5,894.9,1582.5,137.1,177.1,356.1,261.8
"aroA",698.2,446,578.8,778.2,629.4,567.4,417.1,952.3,219.6,196.6,344.4,218.1
"ycaL",128.2,163.2,218.3,392.9,95.1,249.5,218.4,193.9,38.4,33.7,79.7,52.2
"cmk",4558.1,2810.7,1420.7,1010,3747.9,1514.1,1950.7,2074.1,1738.7,772.8,924,335.5
"rpsA",18102.5,11911.3,6446.5,7960.4,31087.9,11794.9,9282.1,10508,4739.4,5591.9,2682.1,1531.3
"ihfB",3242.3,1840.2,6124.4,7471.7,2330.1,2127.8,7910,5147.4,673.2,813.4,4448.5,1950.2
"ycaI",138.4,124.2,144.4,25.1,33.9,106.7,106.1,87.5,14.6,4.3,55,32.8
"msbA",1160.8,673.5,602.3,753.9,753.3,321.1,515.7,1222,508.9,294.9,281.5,192.7
"lpxK",963.1,663.2,612.2,973.5,890.1,534.9,466,1089.9,381.1,166.6,191.3,128.5
"ycaQ",170.8,144.9,92.3,217,85.7,86,33.4,87.5,56.3,44.9,67.4,33.1
"ycaR",2728.8,2507.4,2679.6,2397.4,3167.1,2185.4,2565.2,2563.1,1224.5,723.4,1134,685.6
