"","0","0 | 1","420","420 | 1","600","600 | 1","600 | 2","1800","1800 | 1","0 | 2","0 | 3","420 | 2","420 | 3","600 | 3","600 | 4","1800 | 2","1800 | 3"
"ppdD",0.689919049156073,0.577180802285314,0.735969558890006,2.08077382328249,1.04185218016129,0.342031932689005,0.69833064871101,1.06927511985266,0.778001990267824,0.454899577562528,1.00653832609644,0.560729936414701,1.02389039175307,0.843562577393714,0.857780940845702,0.118873578958455,0.41050886765589
"yafE",0.72332604237936,1.53840335492527,0.878258780406734,1.25273730252852,0.822319530994212,0.724990142284361,0.814242332879009,0.469032565695829,0.650990180438995,1.34770804662256,0.880717691154731,0.958656782286056,0.750739254279436,0.961046671701067,0.57963803594341,1.33972416904362,0.464010699315892
"betB",1.30901352174684,0.964479247800236,1.17384994633245,0.772496483062282,1.58524958592007,1.34128398503352,0.413770172979354,0.491897626871116,0.570799948199214,0.591004081965032,0.981374227177859,1.15383825402085,0.618661390081887,1.11926914839503,0.60408982507256,0.924376187061792,0.339157472850951
"nhaR",1.21466796459051,0.853350177528146,0.776637352133562,1.5172608369267,1.08368465264438,1.1594417682869,0.650132316537058,0.718974745013416,0.453620686113607,1.13701319755754,0.612396451775176,1.32596895690229,0.680358960571308,0.920396881164496,0.534738585076042,0.870858361727997,0.479131588945527
"coaE",0.705604662944519,1.26505190252666,0.744797946331559,1.38889624846364,1.32939699692552,0.592138257473671,0.679666518440068,1.30034189805012,0.490952015871277,0.79547362391724,0.828629679394827,0.770550277991504,0.74701116233915,0.650456282030551,0.478083701409953,1.03217636430855,0.34039292280209
"gmhB",0.754037929157143,0.874145853907437,0.920838462648239,1.50028632408534,1.43760566596978,0.726968482498199,0.774544432974867,0.850254121885667,0.618147776913434,0.69337801561747,0.95025148713081,1.10814679016975,0.92186446152254,0.906415225418932,0.671441284042135,0.916039681354696,0.769229835217499
"insL1",1.06876546803893,1.02118330224682,0.800532011953213,1.65798335930806,0.832756145081771,1.30559882496369,1.0771010051816,1.48729620666526,0.569449454830757,0.886079469388229,0.793022589910579,0.979228260579928,0.733056246537312,0.594748238971342,0.855022555549331,0.753338935245455,0.911297752158181
"secM",0.84238812254959,1.13278652332295,0.805306565191136,1.59776105887213,0.988801200550118,1.042674849406,0.738796182103976,0.737318570996177,0.625984679137142,0.710312608788371,0.846213077735666,0.810571300159073,0.643541729949708,0.638080344998188,0.484613296110367,0.766131529242753,0.514157999737559
"rcsF",1.07642141630363,1.25346816088069,0.697706896897594,1.44271177104107,1.36044817545549,0.4446239341551,0.640982452785245,0.976867366724585,0.648587343273261,0.871714129909131,0.683213571330719,1.02972492833243,0.595256340143373,0.726989786028041,0.408725728439656,0.90028457087669,0.462137685343903
"ykgE",1.57625287286551,0.609232845548303,0.960756075799445,0.98153477754948,1.07339717775361,0.562131660463584,0.630648717337735,0.732512863639311,0.612678033480426,0.884907768492335,0.798912352502871,1.71249764012986,0.421955596374371,1.18627706268353,0.358582956638278,0.791927903740387,0.314312289016138
"mbiA",3.27703254340095,0.570306016992055,0.837383269992459,1.49296975163908,1.38045130672743,0.512266295471949,0.929690101289455,0.499712426650222,0.721751828234871,0.947508900151719,0.506951965436184,0.842279524345185,0.565812619854927,1.38544169726243,0.343614923149608,0.458263726510126,1.02977766374278
"ftsQ",1.29046230476848,0.79380693750941,0.617243652317114,1.17702299420538,1.06761745639696,1.17571307667413,0.860290649910217,1.00136770979961,0.889091235381606,1.00323065686062,0.628927964600781,1.50881612546053,0.715320476854443,0.885492504472902,0.536678391657452,0.687701310527492,0.656974616322032
"nlpE",0.88009001849955,0.567805207659629,1.07881538415854,1.02997891294524,1.26950581209817,0.617565523327626,0.77946822348065,0.651146918047112,0.662825361425638,1.07320672496141,0.592920657268908,1.07604245484461,0.461468711597425,1.09245586779416,0.530132918730955,0.902059811288725,1.68886787457377
