"","0","300","300 | 1","300 | 2","3300","3300 | 1","3300 | 2","2100","0 | 1","0 | 2","0 | 3","300 | 3","300 | 4","300 | 5","3300 | 3","3300 | 4","3300 | 5","2100 | 1"
"nrfB",5.792435021,6.065959555,6.19375473,6.124361367,6.187169999,6.063772966,5.483545344,6.312326876,5.98707251,6.024104424,5.970133077,5.798390457,5.61682391,6.179682223,6.099622279,6.245601249,5.817013926,6.048041175
"sapC",7.968140366,7.333685694,8.041829341,7.268979363,7.563505282,7.374939483,7.760632093,7.670720901,7.700240375,7.807894389,8.096600584,7.416332963,7.750713574,7.715810321,7.889396169,7.872687605,7.794951077,6.948487166
"modC",7.156213845,7.426253031,7.403003836,7.323080503,7.281608829,7.432861274,7.535838161,7.535483928,7.259957915,7.402530198,7.438238572,6.98906351,7.446337404,7.350840472,7.372672759,7.406639424,7.654418952,7.305546366
"rssB",8.723581534,8.913518697,8.724996824,8.71952705,8.646162472,8.761981582,8.915461596,8.527380842,8.906370286,8.779643986,8.84695454,8.73011818,8.665796187,8.828487077,8.622595827,8.626600787,8.758568822,8.469883394
"yabP",9.028747586,8.510652107,9.018303577,9.224636367,8.705341076,9.373042756,9.120388922,8.860652948,8.851080022,9.071525837,9.478543913,9.595440965,9.83078076,9.697882943,8.359867331,8.846922635,8.418446991,9.019623764
"ygbN",6.036889487,6.158307528,6.234493751,5.996398507,6.195091597,6.136307225,5.949188498,6.167135969,6.04320558,6.376780246,6.235564838,6.149961606,6.120616915,6.383417961,6.045845893,5.787801708,6.143968835,5.936510542
"sgcR",5.702577451,5.087323339,5.393975596,5.696405587,5.299677825,5.681693212,5.844909216,5.291171417,5.587834096,5.814150733,5.707773183,5.294537641,5.817019414,5.760238967,5.786889467,5.370565214,5.716456268,5.942706496
"cas3",5.344668653,5.549246405,5.583316465,5.579315819,5.596392541,5.452364802,5.202529253,5.700107872,5.098916524,5.14584803,5.365098011,5.597627239,5.3852307,5.515486093,5.47055876,5.470213644,5.668664023,5.090054806
"hofO",5.385937431,5.744612637,5.510539699,5.79767394,5.852274844,5.64289058,5.537168519,6.009680001,6.018105521,5.619130843,5.456578073,5.575474589,5.160195542,5.69306223,6.147281846,5.843228074,5.589188603,5.156639359
"fabZ",12.89653734,13.05635798,12.8699647,12.98438714,12.89617224,12.85075881,12.57513692,12.52733422,12.86255078,12.90110202,12.96591207,13.10604584,12.97563379,12.92956829,12.68121142,12.62410547,12.54936274,12.48110542
"nagC",10.10589437,9.705411114,9.652224257,9.971953728,9.974203341,9.829873495,10.27527384,9.972305241,10.33719563,10.2747193,10.06238968,9.559699304,9.548017267,10.00178215,9.823478735,10.23378926,10.13346211,9.582326638
"lgoD",6.399357581,6.373513191,6.309354896,6.447362932,6.334110779,6.164455692,6.542456877,6.934989993,6.784329119,6.568177258,6.150456946,5.910546098,6.444604385,6.740330291,6.247956996,6.357915036,6.652240605,6.429773723
"yqiH",5.113820343,4.536892644,5.231975647,4.694836007,5.117762366,4.92445297,4.862396332,4.874198187,4.524040876,5.220803089,4.683469132,4.666250068,5.343107865,5.085739103,4.846907937,4.475357662,4.588756668,3.640560148
"betB",8.430229167,7.755843073,7.716923994,8.133216982,6.895142874,7.145834232,8.075006424,7.398938784,8.775376382,8.804869477,8.239662017,7.456474341,7.580199516,8.123864751,7.238002837,7.527891017,7.403285101,7.172617558
"rsmD",10.36701135,10.19349694,10.09857918,10.20032904,10.12415642,10.12644471,10.08941227,9.870063503,10.26694545,10.21532939,10.38888328,10.35286277,10.12508054,10.19667301,9.749282885,9.943210447,10.01663389,9.871313713
"yggL",11.78444421,11.8226997,12.04414017,11.91511548,11.86366253,12.01383834,11.57703265,11.49012338,11.61799475,11.60705119,11.7792187,12.04044065,12.06764878,11.84053567,11.63830906,11.4783297,11.69720663,11.67156867
"narL",10.48727404,9.799675256,10.45218109,10.59885288,10.43592965,10.96346971,10.91433185,10.70660429,10.51511909,10.41693991,10.5808061,10.01090382,10.44848819,10.74925174,10.65433857,10.88587252,10.93469748,10.65892228
"cas1",6.564263521,6.089483583,6.42490798,6.477644055,6.465174794,6.431105634,6.56299907,6.713582789,6.216600982,6.296956684,6.681284351,6.280714291,6.456031547,6.562655633,6.566888928,6.366854533,6.40992389,6.409952152
"dnaK",13.06661419,12.99286684,12.95367726,13.44728196,12.90267806,12.47469789,12.539122,11.36329773,12.7621111,13.05765683,13.08230738,12.76414494,12.9395572,13.39708695,12.92228173,12.90192842,12.44229063,12.21478258
"ydbD",5.398668291,5.228027648,5.428569399,5.407797799,5.54519976,5.473763696,5.418116769,5.342758389,5.090242141,5.33751051,5.654743316,5.237537232,5.275818623,5.576305954,5.543079612,5.487758031,5.377823412,5.405438813
