"","0","300","600","900","0 | 1","300 | 1","600 | 1","900 | 1","0 | 2","300 | 2","600 | 2","900 | 2","0 | 3","300 | 3","600 | 3","900 | 3"
"skp",-1.45,-0.94,-1.05,-1.6,-0.33,-0.64,-1.28,-0.45,-0.48,-0.96,-1.1,-0.94,-0.53,-0.69,-0.06,-0.57
"lpxD",-1.25,-1.21,-0.68,-1.33,-0.75,-0.79,-0.7,-0.44,0,-0.09,0.02,-0.16,-0.38,-0.3,-0.18,-0.3
"fabZ",-0.02,-0.35,0.34,-0.21,0.01,-0.1,0.03,0.37,0.21,-0.04,-0.08,0.03,-0.1,0.15,0.41,0.12
"lpxA",0.37,0.02,0.23,-0.66,-0.19,0.03,0.09,-0.24,-0.13,0.02,-0.04,0.22,-0.31,-0.1,0.54,0.09
"lpxB",0.06,-0.47,-0.07,-0.57,-0.51,0.04,-0.33,-0.63,0.1,-0.05,0.04,-0.01,0.15,0.29,0.21,0.04
"rnhB",0.04,-0.19,-0.03,-0.66,-0.36,-0.27,-0.36,0.03,0.33,0.12,0.3,0.07,-0.05,-0.01,0.13,0.15
"dnaE",-0.5,-1.03,-0.83,-0.67,-0.94,-0.9,-1.13,-0.87,-0.16,-0.06,-0.35,-0.39,-0.03,0.21,0.17,0.13
"accA",-0.46,-0.45,-0.37,-0.55,-0.46,-0.74,-0.48,-0.21,-0.31,-0.31,0.01,-0.37,-0.06,0.14,0.05,-0.09
"ldcC",-0.18,-0.74,-0.56,-0.1,-0.24,-0.24,-0.67,-0.62,0.04,-0.14,-0.27,-0.5,-0.09,-0.19,-0.12,-0.09
"yaeR",-0.47,-0.49,-0.55,-0.25,-0.12,-0.23,-0.5,0.11,-0.74,-0.51,-0.41,-0.35,-0.01,0.26,-0.27,-0.19
"tilS",-0.44,-0.81,-0.29,-0.1,-0.59,-0.7,-1.15,-0.2,-0.38,-0.37,-0.52,-0.31,-0.43,-0.09,-0.04,-0.01
"rof",0,0.25,-0.66,-0.31,0.09,0.21,0.14,0.25,-0.61,-0.56,-0.37,-0.5,-0.21,-0.34,-0.24,-0.56
"yaeQ",-0.04,0.29,0.07,0.01,-0.16,-0.02,-0.33,0.05,-0.07,0.12,0.16,0.43,-0.05,0.01,-0.31,-0.26
"arfB",-0.01,-0.25,-0.55,-0.02,-0.04,0.21,-0.48,-0.17,-0.05,0.08,-0.06,0.09,-0.15,0.03,0.22,0.03
"nlpE",0.07,-0.29,-0.58,-0.42,-0.4,0.3,-0.41,-0.14,0.02,-0.04,0.05,0.02,-0.13,-0.26,-0.02,-0.12
"yaeF",-0.02,-0.24,0,0.19,-0.1,0.27,-0.46,-0.05,0.01,0.04,0.04,0.03,0.36,0.15,-0.26,0.04
"proS",0.64,0.12,0.28,-0.18,0.2,0.44,0.06,-0.17,0.11,0.02,0.09,0.15,-0.12,-0.03,0.35,-0.01
"trmO",0.42,0.41,0.29,-0.16,-0.15,0.16,0.02,-0.15,-0.07,-0.02,0.13,0.1,-0.03,0,-0.12,0.22
"rcsF",-0.06,0.3,-0.38,-0.29,0.07,-0.28,-0.23,-0.02,-0.55,-0.46,-0.37,-0.34,-0.49,-0.78,-0.88,-0.38
"metQ",-0.35,0.52,0.18,0.42,0.67,-0.02,1.14,0.67,-0.34,-0.63,-0.32,0.57,-0.61,-0.07,-0.16,-0.2
"metI",0.01,0.36,0.71,0.04,0.11,0.01,1.26,-0.16,-0.12,-0.14,0.13,-0.19,-0.06,0.06,-0.22,-0.32
"metN",0.01,-0.05,-0.06,-0.19,-0.34,-0.48,1.24,0.24,-0.55,-0.51,0.37,0.83,0.22,0.09,-0.32,0
"gmhB",0.4,0.65,0.54,0.61,-0.31,0.37,0.22,-0.02,-0.59,-0.5,-0.22,0.18,0.03,-0.08,0.14,0.1
"dkgB",-0.24,-0.61,-0.68,0.06,0.15,-0.32,-0.4,0.83,-0.22,-0.36,-0.15,-0.16,0.19,0.15,0.34,0.43
"yafC",-0.22,-0.65,-0.77,-0.06,-0.1,-0.23,-0.29,0.2,-0.42,-0.46,-0.44,-0.28,-0.3,-0.18,0.01,0.15
"yafD",-1.01,-1.77,-0.91,-0.42,-1.01,-0.6,-1.76,-0.69,-0.21,-0.43,-0.53,-0.37,-0.49,-0.41,-0.35,-0.23
"yafE",-0.47,-0.4,-0.64,-0.03,-0.02,-0.08,-1,0.3,0.03,-0.08,0.08,0.05,0.06,-0.25,0.15,-0.01
"mltD",-0.42,-0.48,-0.69,-0.9,-1.02,-0.59,-0.4,-1.11,0.29,0.93,1.61,1.39,-0.37,0.33,0.02,-0.07
"gloB",-0.55,-0.73,-1.1,-0.28,0.08,-0.38,-0.25,-0.72,-0.11,0.02,-0.19,0.04,-0.22,-0.19,-0.11,0.13
"yafS",-0.37,-0.98,-0.3,-0.08,-0.62,-0.46,-0.76,-0.19,-0.07,-0.25,-0.02,0.08,-0.04,0.03,0.07,0.14
"rnhA",-0.42,-0.4,-0.13,-0.15,-0.33,-0.15,-0.78,0.15,0.05,-0.13,-0.1,-0.24,-0.15,0.07,0.83,-0.24
"dnaQ",-0.51,-0.41,-0.58,-0.07,-0.28,-0.57,-0.38,-0.45,-0.73,-0.52,-0.22,-0.35,-0.32,-0.02,0.15,-0.3
"yafT",0.12,0.29,0.59,0.1,0.06,0.5,0.47,0.52,0.19,0.11,0.24,0.36,0.13,0.25,-0.02,0.22
"yafU",0.17,0.29,0.06,-0.05,0.37,0.07,0.26,0.49,-0.08,0.16,0.02,0.05,0.18,0.05,0.33,0.08
"yafV",0.05,-0.37,-0.07,-0.15,-0.02,-0.02,-0.1,0.25,-0.11,-0.14,-0.1,-0.18,0.27,0.17,-0.1,-0.19
"ivy",-0.75,-1.54,-1.44,-0.52,0.33,0.66,0.48,-0.41,-0.21,-0.39,-0.76,-0.95,-0.28,-0.75,-1.36,-0.72
"fadE",-0.17,-0.75,-0.2,-0.57,-0.11,-0.71,-0.95,-0.44,-0.15,-0.29,-0.31,-0.28,-0.06,0.02,0.09,-0.25
