"","0","300","600","900","0 | 1","300 | 1","600 | 1","900 | 1","0 | 2","300 | 2","600 | 2","900 | 2","0 | 3","300 | 3","600 | 3","900 | 3"
"ybeR",0.1,-0.19,0.09,-0.05,0.03,0.08,0.09,-0.27,-0.05,0.11,0.01,0.27,0.13,0.22,-0.07,0.15
"djlB",-0.09,0.24,0.08,0.12,-0.04,-0.11,-0.26,-0.11,-0.08,-0.17,-0.21,-0.12,0.05,0.3,0.15,-0.18
"ybeT",0.13,0.48,0.08,0.34,0.08,0.36,-0.2,0.54,-0.08,-0.16,-0.11,-0.11,0.24,0.17,-0.12,-0.12
"ybeU",-0.15,0.21,0.28,0.09,0.22,0.27,0.15,0.43,0.31,0.02,-0.02,0.12,0.01,0.39,0.22,0.01
"djlC",-0.25,0.02,0.21,-0.21,0,-0.23,-0.3,0.12,0.01,-0.02,0.02,0.01,0.26,0.62,0.08,0.01
"rihA",-0.71,-0.78,-0.54,-0.42,-0.38,-0.37,-1.51,-0.51,0.03,-0.27,0.03,0.13,0.34,0.15,0.08,0.08
"gltL",1.15,0.94,0.88,0.08,0.06,0.37,0.6,-0.15,-0.15,-0.18,-0.23,-0.09,0.17,0.19,0.23,0.11
"gltK",0.99,1,0.68,0.34,0.87,0.28,0.9,0.09,0.37,0.23,0.45,0.37,0,0.27,0.11,0.24
"gltJ",0.83,0.65,0.58,0.21,0.02,0.09,0.67,0,-0.03,-0.01,0.28,0.42,0.12,0.59,-0.11,0.16
"gltI",1.41,1.5,1.3,1.2,1.29,1.58,1.72,0.51,0.28,0.25,0.77,0.59,0.18,0.4,0.31,0.46
"insH3",-0.21,0.16,0.25,0.08,0.12,0.5,0.41,-0.36,0.41,0.57,0.61,0.61,0.21,0.38,0.12,0.9
"ybeX",0.09,-0.29,-0.31,-0.61,0.71,0.91,0.33,-0.11,0.15,0.3,-0.03,-0.56,-0.3,0.1,0.41,0.08
"ybeY",0.6,0.15,-0.15,-0.14,0.79,0.95,0.99,0.51,0.64,0.79,0.5,0.17,0.17,0.15,0.55,0.23
"ybeZ",0.79,0.06,0.13,-0.06,1.56,1.51,0.96,-0.77,1.08,0.95,0.58,0.12,-0.1,0.14,0.31,0.28
"miaB",1.38,1.1,0.81,0.61,0.54,0.91,1.01,-0.92,0.31,0.42,0.48,1.08,-0.09,0.03,-0.01,-0.03
"ubiF",1.1,0.66,0.93,0.43,0.29,0.96,1.01,0.17,0.4,0.54,0.22,0.14,0.17,0.2,0.15,0.02
"asnB",-0.58,-0.07,0.34,-0.16,-0.44,-0.49,-0.4,-0.74,-0.36,-0.21,0.12,0.41,-0.38,-0.28,-0.23,-0.45
"umpH",0.51,0.1,0.55,0.42,0.13,0.37,0.46,-0.48,0.1,0.08,0,0.05,0,0.28,0,-0.02
"nagC",0.3,0.18,0.65,0.43,0.16,0.27,0.49,0.41,0.71,0.82,0.5,0.69,0.12,0.29,0.53,0.45
"nagA",0.48,0.57,0.81,0.23,0.28,0.49,0.88,-0.09,0.42,0.58,0.62,0.4,0.11,0.1,0.25,0.34
"nagB",0.91,0.61,0.91,0.23,0.57,1.69,1.38,0.35,0.87,1.07,1.17,0.87,0.04,0.33,0.3,0.4
"nagE",0.35,0.42,0.35,-0.12,0.1,0.26,0.47,-0.36,-0.08,-0.26,-0.49,-0.39,0.17,0,0.32,-0.07
"glnS",0.29,0.56,0.32,0.43,0.32,0.1,0.66,0.22,0.3,0.39,0.7,0.48,0.13,-0.03,0.05,0.05
"chiP",0.04,0.03,0.21,0.21,0.09,0.2,0.06,0.33,-0.19,0.06,-0.01,-0.31,0.2,0.21,-0.05,-0.09
"chiQ",0.63,0.19,0.33,0.41,-0.04,0.11,0.42,0.66,0.09,0.19,0.28,0.03,0.05,0.26,0.64,0.29
"fur",1.27,1.13,0.74,0.58,0.53,1.44,1.38,-0.14,0.62,0.9,0.96,1.11,-0.08,0.22,0.11,0.54
"fldA",1.55,1.42,1.23,1.14,0.89,1.61,2.09,0.68,0.7,0.92,0.92,0.73,0.05,0.09,0.53,0.29
"ybfE",1.09,0.82,0.76,0.47,0.41,1.01,1.13,0.26,0.09,0.41,0.39,0.38,0.08,-0.05,0.04,0.09
"ybfF",0.74,1.01,0.64,0.26,0.2,0.59,1.01,0.17,-0.07,0.28,0.03,0.08,0.12,0.04,0.48,0.33
"seqA",0.23,0.4,0.32,0.02,0.02,0.12,0.34,-0.04,-0.29,-0.29,-0.31,0.06,-0.35,-0.04,-0.02,-0.01
"pgm",0.61,0.06,0.47,-0.01,0.15,0.64,0.7,-0.29,0.02,-0.23,-0.26,-0.41,-0.09,0.03,-0.23,-0.05
"ybfP",0.28,-0.38,0,-0.07,-0.05,1.07,0.3,-0.16,0.17,0.02,0.16,0.26,-0.06,0.21,0.05,0.2
"ybfG",0.62,0.06,-0.11,0.1,0.07,-0.22,0.07,0.57,-0.04,-0.03,-0.03,0.05,0.12,0.14,0.14,0.2
"potE",0.19,0.16,0.25,0.08,-0.09,0.14,0.23,-0.19,0.13,0.13,0.13,0.02,-0.01,-0.24,-0.17,0.02
"speF",-0.31,0.23,0.08,-0.04,-0.05,-0.04,-0.02,0.2,0.07,0.26,-0.13,0.02,0.01,0.14,-0.02,-0.09
"kdpE",0.29,0.57,-0.06,0.3,0.19,0.4,0.93,0.53,0.04,0.26,0.23,0.24,-0.14,-0.19,-0.16,-0.52
"kdpD",0.11,-0.24,0.09,0.07,0.06,0.65,0.64,-0.34,0,0.08,0.01,-0.12,-0.2,0.62,0.12,0.05
"kdpC",0.26,-0.1,0.07,-0.03,-0.07,0.24,0.65,-0.01,0.01,0.01,0.14,-0.09,0.07,0.09,0.37,-0.01
"kdpB",-0.21,0.42,0.29,0.23,-0.1,0.18,0.21,0.37,0.04,0.01,0.17,-0.19,0.01,0,-0.04,-0.06
"kdpA",-0.17,-0.27,-0.09,0.2,-0.27,-0.12,-0.28,0.01,0.07,-0.78,-0.01,0.07,0.11,0.14,-0.07,0.22
"ybfA",1.03,0.63,0.66,0.16,-0.1,-0.1,0.06,0.17,0.29,0.45,0.43,0,-0.17,0.01,-0.04,0.01
"rhsC",-0.03,0.14,0.07,-0.24,-0.15,0.03,-0.25,-0.42,-0.03,0.17,-0.11,0.19,-0.05,-0.16,-0.2,0.1
"ybfB",-0.61,1.11,-0.24,-0.42,0.16,-0.28,-0.31,0.55,-0.13,0.26,0,0.34,0.01,0.07,-0.03,-0.16
"ybfO",0.45,0.4,-0.19,0.15,-0.13,0.04,-0.07,0.54,0.14,0.15,-0.13,0.24,-0.18,-0.03,-0.14,-0.21
"ybfC",-0.01,-0.06,0.19,-0.01,0.42,-0.05,-0.06,0.08,0.11,0.13,0.12,0.25,0.07,0.24,0.04,-0.08
"ybfL",0.36,0.17,0.28,0.08,0.31,-0.02,0.08,0.4,-0.26,0.13,0.07,0.12,0.09,0.15,-0.25,-0.1
"ybfD",0.09,-0.14,0.37,0.41,-0.04,-0.01,-0.03,0.3,0,0.17,0.2,0.03,0.07,0.04,0.28,-0.21
"ybgA",0.41,-0.19,-0.83,0.11,0.47,0.84,0.62,-0.14,0.29,0.11,0.04,-0.02,-0.01,0.01,0.21,-0.32
"phr",0.31,-0.63,-0.36,-0.23,0.33,0.78,0.2,-0.31,0.08,0.26,0.09,-0.18,0.29,0.38,0.25,0.11
"dtpD",-0.33,-0.1,-0.02,-0.08,-0.19,0.01,-0.47,1.04,0.15,0.18,0.11,0.05,-0.33,-0.19,-0.22,-0.06
"ybgI",-1.16,-0.69,-0.02,-0.03,-0.41,-0.23,-0.02,-0.13,0.06,0.02,0.01,-0.42,0.06,-0.21,-0.09,-0.01
"pxpB",-0.61,-0.41,-0.24,-0.37,-0.24,-0.52,-0.62,-0.26,-0.28,-0.6,-0.75,-0.17,-0.25,-0.19,-0.18,-0.25
"pxpC",-0.99,-0.69,-0.46,-0.7,-0.18,-0.8,-0.3,0.11,-0.06,0.07,-0.43,-0.29,-0.54,-0.57,-0.58,-0.28
"pxpA",-0.65,-0.61,0.1,-0.38,-0.29,0.18,-0.61,-0.01,-0.13,-0.06,-0.19,-0.28,-0.24,-0.01,-0.12,-0.02
"nei",0.01,-0.32,0.04,0.34,-0.17,-0.32,-0.37,0.38,0.16,0.01,0.03,0.02,-0.18,0.05,0.01,-0.17
"abrB",0.06,-0.4,-0.08,-0.07,0.11,0.37,-0.21,-0.11,-0.14,-0.02,-0.31,-0.25,0.13,0.07,0.14,-0.09
"ybgO",0.2,-0.01,0.2,0.22,-0.3,0.08,-0.34,-0.25,-0.02,0.35,0.2,-0.21,0.51,0.22,-0.05,-0.03
"ybgP",-0.06,-0.07,-0.01,0.22,0.28,0.18,-0.15,0.43,0.07,0.1,0.04,-0.01,0.11,0.21,0.07,-0.02
"ybgQ",-0.33,0.2,0.2,0.04,0.14,0.29,0.14,0.25,-0.06,-0.11,-0.11,-0.21,-0.43,-0.22,-0.22,-0.2
"ybgD",-0.03,0,0.43,0.03,-0.38,0.3,0.24,0.57,0.2,-0.12,0.17,-0.09,-0.15,-0.02,0.01,-0.39
"gltA",-0.42,0.01,0.27,0.7,0.2,0.47,-0.16,-0.78,-0.02,0.17,-0.04,0.03,0.16,0.03,0.2,0.14
"sdhC",-0.09,0.13,0.57,0.01,-0.32,0.14,-0.12,-1.39,0.09,0.12,0.25,0.14,-0.17,0.04,-0.25,-0.14
"sdhD",-0.01,0.23,-0.1,0.41,0.08,0.04,0.24,0.08,0.27,0.17,0.24,0.14,-0.4,-0.24,-0.18,-0.28
"sdhA",0.02,0.05,0.36,0.2,-0.02,0.46,-0.07,-1.37,0.09,0.21,0.27,0.68,-0.38,0.43,-0.1,-0.27
"sdhB",-0.14,0.19,0.28,0.28,-0.05,0.17,0.11,-0.22,0.3,0.33,0.25,0.15,-0.01,-0.17,0.39,-0.05
"sucA",0.25,0.15,0.8,0.6,0.02,0.22,-0.37,-1.56,0.55,0.97,0.72,0.9,-0.35,-0.12,-0.41,-0.09
"sucB",-0.01,0.34,0.38,0.08,0.36,-0.17,-0.63,-0.58,0.37,0.45,0.47,0.48,-0.23,-0.02,-0.1,0
"sucC",-0.08,-0.26,-0.08,-0.06,0.05,0.2,-0.73,-1.42,0.08,0.26,0.25,0.12,-0.32,0.09,-0.01,0.06
"sucD",-0.1,0.11,0.18,-0.24,0.33,-0.1,-0.57,-0.26,0.07,0.32,0.59,0.05,-0.23,-0.52,0.01,-0.4
"mngR",-0.24,0.03,-0.07,0.21,-0.05,0.18,0.14,0.06,-0.16,-0.13,0,-0.23,-0.14,0.13,0.03,0.01
"mngA",-0.05,0.52,0.13,0.31,0.21,-0.18,0.17,0.46,-0.02,-0.22,0.24,-0.08,0.33,0.19,-0.09,0.04
"cydA",0.63,0.02,0.38,-0.09,0.07,0.23,0.41,0.29,0.3,0.35,0.23,-0.17,-0.02,0.14,0.63,0.11
"cydB",0.85,0.21,0.42,-0.13,0.65,0.34,0.71,0.3,0.05,0.19,0.25,0.01,0.45,0.27,0.34,0.03
"ybgE",0.25,-0.01,-0.33,0.06,0.45,-0.18,0.88,0.23,0.12,0.25,0.31,0.04,0.23,0.08,0.24,0.36
"ybgC",-0.25,-0.32,-0.13,-0.07,-0.77,-0.24,-0.23,-0.42,-0.51,-0.57,-0.81,-0.86,-0.49,-0.51,-0.58,-0.07
"tolQ",0.25,-0.12,0.28,-0.21,-0.16,-0.19,0.19,-0.22,0.74,0.08,-0.21,-0.08,0.19,0.53,0.02,0.09
"tolR",0.2,-0.17,-0.01,-0.21,-0.58,-0.1,-0.26,0.1,0.03,0.16,0.1,0.26,-0.09,-0.06,0.16,0.1
"tolA",-0.31,-0.09,-0.15,-0.3,-0.62,-0.38,-0.57,0.32,-0.21,0.03,0.09,0.37,-0.08,0.06,0.33,0.01
"tolB",-0.47,-0.32,-0.13,-0.86,-0.21,-0.16,-0.1,-0.45,0.08,-0.03,0.06,-0.04,0.18,-0.08,-0.31,-0.13
"pal",-1.23,-0.28,-0.6,-0.56,-0.08,-0.45,-0.26,-0.17,-0.19,-0.55,-0.29,-0.83,-0.71,-0.66,-0.87,-0.76
"cpoB",-1.28,-0.77,-0.54,-1.1,-0.54,-0.63,-0.45,-0.82,-0.29,-0.6,-0.8,-0.41,-0.55,-0.3,0,-0.29
"nadA",-1.72,-1.38,-1.21,-0.61,-0.87,-1.81,-1.46,-1.01,-1.14,-1.08,-1.21,-0.96,-0.33,0.13,0.1,-0.08
"pnuC",-0.67,-1.3,-0.75,-0.18,-0.4,-0.87,-1.05,-0.93,-0.44,-0.47,-0.16,-0.25,-0.12,-0.27,-0.01,-0.31
"zitB",-0.21,-0.76,-0.12,0.33,-0.66,-0.81,-1.36,-0.8,-0.53,-0.65,-0.41,-0.66,-0.15,-0.48,0.18,-0.31
"ybgS",0.78,0.14,-0.27,-0.31,0.22,0.29,1.11,-0.29,0.21,0.3,0.33,0.13,-0.3,-0.34,-0.23,-0.41
"aroG",-2.39,-1.86,-1.39,-1.37,-1.36,-1.91,-2.06,-1.83,-1.28,-1.56,-2.29,-1.29,-0.35,-0.61,-0.7,-0.66
"gpmA",-1.67,-1.39,-0.76,-1.2,-0.47,-1.1,-1.2,-0.72,-0.62,-1.28,-1.36,-1.43,0.27,0.53,0.25,0.09
"galM",-1.32,-0.84,-0.52,-1.02,-0.58,-0.65,-0.99,-0.67,-0.09,-0.56,-0.67,-0.31,-1.1,-1.09,-1.16,-0.99
"galK",-0.14,-0.02,0.12,-0.26,-0.01,-0.11,-0.03,-0.77,0.17,-0.03,0.03,0.03,-0.08,0,-0.35,-0.09
"galT",0.13,0.46,0.51,0.14,0.19,0.11,0.3,0.07,0.37,0.43,0.43,0.54,-0.22,0.04,-0.01,0.03
"galE",0.55,0.88,1,0.47,0.44,0.78,0.55,-0.46,0.31,0.37,0.36,0.82,0.41,0.22,0.02,0.37
"modF",-0.83,-0.77,0.13,-0.42,-0.97,-0.76,-0.78,-0.97,-1.14,-1.27,-1.41,-0.61,-0.05,0.18,-0.06,-0.08
"modE",0.08,0.09,0.29,-0.01,-0.31,0.19,-0.06,0.63,-0.18,-0.14,-0.12,-0.3,-0.14,0.05,-0.16,0.23
"acrZ",0.48,-0.18,0.36,0.04,0.66,0.41,0.95,1.44,0.24,-0.01,-0.04,0.01,-0.26,-0.13,-0.04,0.05
"modA",-0.48,-0.57,-0.42,-0.05,-0.31,-0.46,-0.53,-0.22,-0.6,-0.66,-0.38,-0.59,-0.29,0.15,0.05,-0.16
"modB",-0.24,-0.38,-0.13,0.13,-0.38,-0.24,-0.35,0.1,-0.04,-0.31,-0.11,0,0.09,-0.01,-0.24,0
"modC",-0.39,-0.68,-0.22,-0.16,-0.44,-0.34,-0.67,-0.36,-0.64,-0.86,-0.67,-0.57,0.2,-0.12,0.08,-0.26
"ybhA",-0.6,-0.5,-0.48,-0.16,-0.73,-1.13,-0.78,-0.92,-0.83,-0.36,-0.39,-0.09,-0.76,-0.35,-0.4,-0.37
"pgl",-0.22,-0.39,-0.3,-0.52,0.65,0.22,0.34,-0.02,0.17,-0.15,-0.61,-0.78,-0.75,-0.62,-0.39,-0.54
"ybhD",-0.26,0.07,-0.08,-0.07,-0.01,0.25,-0.02,-0.1,0.09,0.15,0.21,0.1,0.24,-0.03,-0.26,0.03
"ybhI",-0.07,0.13,0.24,0.04,0.19,0.12,0.24,0.17,-0.21,0.05,-0.32,-0.13,0.46,0.04,0.16,0.36
"ybhJ",0.23,-0.2,0.01,0.18,0.18,-0.16,-0.73,0.02,-0.34,-0.06,-0.02,0.03,0.29,0.3,0.25,0.31
"ybhC",-1.02,-0.64,-0.3,-0.59,-0.92,-1.65,-1.05,-0.9,-1.34,-1.74,-1.77,-1.46,-0.54,-0.67,-0.43,-0.51
"ybhB",0.1,0.68,0.23,0.53,0,-0.34,0.75,0.11,0.39,0.23,-0.02,-0.19,-0.2,-0.23,-0.12,-0.03
"bioA",0.64,0.91,0.91,0.49,-0.08,0.16,0.54,0.31,0.31,0.03,0.2,0.48,0.11,0.2,-0.12,-0.07
"bioB",-0.44,0.69,0.62,-0.2,-0.61,-0.6,0.64,0.4,-1.06,-1.33,-1.26,-0.5,-0.12,0.11,-0.01,-0.1
"bioF",-0.11,0.51,0.63,-0.04,-0.62,-0.2,0.58,0.26,-0.02,-0.04,-0.12,0,-0.2,-0.15,-0.2,-0.16
"bioC",-0.82,0.42,0.29,-0.21,-0.03,-0.31,0.15,0.39,-0.61,-0.93,-0.86,-0.48,-0.37,-0.06,-0.08,-0.15
"bioD",-0.83,0.61,0.56,-0.01,-0.27,-0.36,0.23,0.16,-0.68,-1.54,-0.68,-0.45,0.05,0.42,-0.29,-0.22
"uvrB",2.78,2.74,2.63,2.19,0.91,0.93,1.36,0.33,0.98,1.48,1.64,1.56,0.23,0.4,0.58,0.16
"ybhK",0.05,0.47,0.48,-0.11,0,0.56,-0.16,0.06,-0.18,0.36,0.1,0.4,-0.01,0.06,0.13,0.25
"moaA",-0.72,-0.32,-0.25,-0.35,-0.22,-0.48,-0.34,0.57,-1.02,-1.19,-0.96,-0.76,-0.32,-0.28,-0.19,-0.56
"moaB",-0.19,-0.11,0.04,-0.31,0.3,0.39,0.79,0.19,-0.29,-0.87,-0.58,-0.1,0.17,-0.19,0.07,-0.24
"moaC",-0.3,-0.04,0.09,-0.27,0.21,0.1,0.76,0.47,-0.34,-0.6,-0.49,-0.68,-0.25,-0.12,0.28,-0.22
"moaD",0.36,0.26,0.14,-0.1,-0.13,-0.07,0.01,0.62,-0.1,-0.02,-0.09,-0.07,1.08,0.29,0.51,0.21
"moaE",-0.1,0.08,-0.15,-0.33,0.22,0.39,0.95,0.44,-0.22,-0.3,-0.49,-0.2,0.09,-0.01,0.33,0.09
"ybhL",-0.39,-0.13,-0.41,-0.05,-0.03,-0.09,0.1,0.04,0.32,0.04,-0.2,-0.02,-0.1,0.11,-0.5,0.03
"ybhM",0.05,0.01,0.04,0.01,0.27,0.36,0.22,0.43,0.08,0.08,0.12,0.17,0.14,-0.04,-0.16,-0.07
"ybhN",0.29,-0.17,0.02,0.05,0.04,0.08,0.04,0.31,-0.1,0.15,-0.02,0.01,-0.22,-0.26,-0.07,-0.21
"clsB",0,-0.56,-0.45,-0.3,0.11,0.22,0,2.19,0.14,0.18,-0.12,0.06,0.03,0.21,0.4,0.1
"ybhP",0.14,-0.65,-0.21,-0.15,0.06,-0.05,0.04,-0.3,-0.11,0.04,-0.29,-0.13,-0.37,-0.29,-0.23,-0.15
"ybhQ",-0.21,-0.18,-0.04,-0.08,-0.32,-0.21,-0.89,-0.48,0.04,-0.13,-0.09,-0.18,-0.13,-0.06,-0.31,0.04
"ybhR",0.05,-0.33,-0.03,0.25,0.01,0.17,-0.56,-0.25,0.22,0,-0.07,-0.06,0.27,-0.45,0.11,-0.06
"ybhS",-0.47,0,-0.21,-0.05,0.03,-0.23,-0.35,-0.13,-0.26,-0.01,-0.05,-0.06,-0.14,0.05,0.75,-0.06
"ybhF",-0.04,-0.66,-0.14,0.05,-0.05,0.05,-0.18,-0.4,-0.13,-0.38,-0.25,0.14,0.24,0.56,0.17,0.04
"ybhG",-0.12,-0.58,-0.63,0.19,-0.45,-0.75,-0.49,-0.46,0.11,-0.13,-0.32,-0.03,-0.13,-0.13,-0.17,-0.22
"cecR",-0.14,-0.76,-0.2,-0.07,-0.24,-0.23,-0.23,-0.23,-0.18,0.17,0.17,-0.11,0.37,-0.02,-0.24,0.27
"rhlE",-1.07,-0.82,-1.04,-0.49,-0.26,-0.9,-1.64,-0.44,-0.23,-0.2,-0.21,-0.16,0.03,0.01,0.04,0.01
"ybiA",0.4,-0.04,0,0.17,-0.14,-0.09,-0.65,-0.12,0.1,-0.03,0.2,0.05,-0.16,0.04,0.26,0.05
"dinG",0.9,1.39,1.51,1.15,-0.76,-0.04,-0.42,0.23,0.02,0.02,-0.09,0.07,-0.15,0.02,0.07,0.28
"ybiB",0.3,0.05,0.44,0.23,0.23,0.66,0.26,-1.15,-0.2,-0.1,0.07,-0.08,-0.04,0.01,0.03,-0.01
"hcxB",-1.54,-1.5,-1.6,-0.92,0.14,-0.72,-1.12,-0.74,-0.62,-1.51,-2.25,-1.97,-0.82,-1.05,-1.06,-0.66
"ybiJ",0.3,0.09,-0.21,0.63,-0.02,-0.04,0.94,0.44,-0.07,0.08,0.21,0.29,0.51,0.48,0.68,0.96
"ybiI",-0.22,-0.44,-0.25,0.59,-0.23,-0.06,-0.28,-0.47,0.15,-0.01,0.05,0.36,-0.09,-0.04,0.05,0.23
"ybiX",-1.52,-0.69,-1.23,-0.31,-1.92,-3.29,-3.47,-1.26,-0.14,-0.4,-0.17,-0.33,-0.39,-0.44,-0.08,-0.4
"fiu",-2.53,-2.46,-2.98,-1.17,-1.59,-4.56,-4.6,-3.28,0.14,-0.1,0.05,0.17,0.69,0.22,0.38,0.44
"mcbA",-0.08,-0.05,0.14,0.33,0.14,0.37,0.11,-0.08,0.09,0.2,0.12,0.07,0.06,0.08,-0.12,0.08
"rlmF",-0.74,-0.79,-0.45,-0.14,-0.86,-0.84,-1.39,-1.33,-0.01,0.21,0,0.1,-0.2,-0.06,0.31,0.12
"ybiO",0.19,0.54,0.15,0.01,0,-0.26,0.25,0.1,0.2,0.4,-0.12,-0.21,0.26,0.41,0.3,0.4
"glnQ",1.4,1.02,0.75,0.13,0.77,0.44,0.6,0.4,0.35,0.33,0.3,0.05,-0.21,-0.12,-0.17,-0.02
"glnP",1.1,1.07,0.59,0.17,1.18,0.51,0.53,0.36,0.25,0.04,-0.09,0.24,-0.02,-0.06,0.07,0.05
"glnH",1.03,0.78,0.77,0.81,0.78,0.97,0.66,-0.49,0.52,0.58,0.5,0.39,0.05,-0.36,-0.65,-0.32
"dps",0.1,-0.8,-1.11,-0.5,-0.35,-0.12,1.25,-0.3,0.25,0.58,0.24,-0.46,-0.13,-0.21,-0.32,-0.22
"rhtA",-0.3,-0.01,-0.01,0.24,0.24,0.19,-0.17,-0.18,-0.01,0.19,0.1,-0.04,0.27,-0.5,-0.06,-0.12
"ompX",0.93,0.88,0.61,0.89,0.54,0.91,1.13,0.56,0.19,0.51,0.59,0.01,0.01,-0.19,-0.32,-0.1
"opgE",0.21,-0.16,-0.25,0.45,0.09,0.15,0.21,0.3,-0.13,-0.02,-0.1,-0.23,0.05,-0.03,-0.01,0.09
"mntR",-0.31,0.1,0,0.27,-0.04,-0.58,0.42,0.19,0.3,0.1,0.35,0.25,-0.1,-0.19,-0.4,0.09
"ybiR",0.31,0.42,0.47,0.41,0.17,0.46,0.09,0.01,0.23,0.38,0.32,0.25,-0.11,0.07,-0.15,0.1
"ldtB",0.91,0.3,0.36,0.59,0.22,0.04,0.9,0,0.59,0.85,0.85,0.7,-0.13,0.17,0.05,0.15
"ybiT",0.76,0.83,0.24,0.41,0.41,0.38,0.7,0.46,0.52,0.36,0.39,0.04,0.03,0.28,0.18,0.02
"ybiU",-0.11,0.07,-0.05,-0.06,0.37,0.3,0.07,0.43,0.09,0.19,-0.39,-0.17,-0.12,-0.21,-0.26,-0.24
"ybiV",-0.52,-0.11,0.08,0.15,-0.15,-0.19,-0.55,-0.24,0.46,0.21,0,0.32,-0.21,-0.09,-0.01,0.04
"ybiW",-0.01,-0.13,-0.15,0.02,-0.38,0.34,-0.36,-0.21,-0.26,-0.41,-0.25,-0.35,0.15,0.37,-0.02,-0.1
"ybiY",0.1,0.2,0.16,0.02,0.11,-0.19,-0.4,0.46,0.03,-0.23,-0.13,-0.08,0.14,0.08,0.18,-0.05
"fsaA",-0.09,0.13,0.03,0.13,-0.15,-0.01,0,-0.49,-0.06,-0.45,-0.46,0.02,-0.34,-0.03,0.12,-0.06
"moeB",0.89,1.22,0.91,0.16,0.51,0.59,0.89,0.35,-0.1,0.06,0.14,0.02,0.06,0.22,-0.34,-0.37
"moeA",1.17,1.21,0.91,0.89,0.57,0.33,1.22,-0.08,0.33,0.19,0.39,0.25,0.13,0.07,0.36,0.17
"iaaA",-0.89,-0.44,0.1,0.06,-0.87,-0.99,-0.08,-0.44,-1.11,-1.09,-0.37,0.62,-0.56,-0.32,-0.63,-0.49
"gsiA",-0.47,0,0.43,0.29,-0.67,-0.75,-0.34,0.27,0.37,0,0.18,0.16,0.11,-0.09,0.28,0.2
"gsiB",-0.78,-0.04,0.58,0.16,0.02,-0.41,-0.04,0.26,0.03,-0.12,-0.12,-0.1,-0.08,0.06,-0.07,0.51
"gsiC",-0.25,0.32,0.56,-0.25,0.02,-0.19,-0.14,0.65,0,-0.12,0.03,0.16,0.12,0.3,0.31,0.15
"gsiD",-0.27,0.11,0.43,0.64,-0.3,-0.14,-0.64,0.33,0.16,-0.21,-0.14,-0.09,-0.24,0.16,-0.21,0.09
"pdeI",-0.05,-0.12,0.26,-0.09,-0.17,-0.18,-0.21,-0.52,0.11,0,0.39,0.37,0.09,0.13,-0.11,0.03
"dgcI",-0.32,0.42,0.21,-0.06,0.31,-0.36,-0.19,0.37,0.18,0.23,0.18,0.13,-0.02,-0.02,-0.02,0.18
"rimO",-0.1,-0.82,-0.53,-0.49,-0.88,-1.01,-0.59,-0.97,0.02,0.31,0.19,-0.09,-0.19,0.36,0.09,0.01
"bssR",0.45,0.18,0.34,-0.01,-1.19,-0.5,-0.53,-0.22,0.18,0.2,0.13,-0.12,0.2,0.21,0.31,0.28
"yliI",0.24,-0.4,-0.35,-0.29,0.84,0.5,0.39,0.1,0.09,0.2,0.06,-0.16,0.01,0.61,0.03,0.07
"gstB",-0.35,-0.54,-0.33,-0.6,0.22,-0.15,-0.46,-0.05,-0.24,-0.4,-0.58,-0.36,-0.19,0.03,0.34,-0.13
"dacC",-0.23,-0.81,-0.7,-0.6,0.55,0.01,0.05,-0.52,-0.19,-0.25,-0.52,-0.71,0.12,-0.03,0.28,0.09
"deoR",0.2,-0.02,0.03,-0.08,-0.15,0.07,-0.23,-0.66,-0.09,-0.17,0.15,-0.14,0.16,0.1,0.35,0.07
"ybjG",0.51,0.19,0.11,0.01,0.35,0.26,0.47,-0.5,0.02,0.33,0.34,-0.04,-0.08,0.12,0.08,-0.06
"mdfA",-0.04,-0.26,-0.19,-0.05,-0.61,-0.65,-0.73,-0.71,-0.47,-0.29,-0.66,-0.47,-0.01,0.34,0,0.11
"ybjH",-0.15,0.11,0.16,0.01,0.27,0.08,-0.52,0.14,-0.16,-0.21,0.03,-0.05,-0.24,-0.03,-0.03,0.13
"ybjI",0.07,0.01,0.15,0.09,-0.04,-0.13,0.15,-0.37,0.05,-0.04,-0.1,0,0.21,0.11,0.29,0.09
"ybjJ",0.07,0.28,-0.02,0.35,0.28,-0.23,0.17,0.8,-0.06,-0.09,-0.34,-0.27,-0.07,-0.19,-0.21,-0.08
"rcdA",-0.07,-0.11,0.18,-0.01,-0.34,-0.26,-0.6,-0.38,0.1,0.1,-0.05,0.07,0.11,-0.19,0.15,-0.07
"ybjL",0.78,0.6,0.44,0.22,-0.13,0.28,0.02,-0.19,0.14,0.16,0.29,0.42,0.15,0.15,-0.04,0.29
"ybjM",0.28,-0.49,0.17,0.16,-0.04,0.3,-0.33,-0.28,0.13,0.03,0.41,-0.73,0.41,0.41,0.33,-0.05
"grxA",0.05,-0.48,-0.12,0.01,0.19,0.14,0.35,-0.02,-0.01,-0.24,-0.18,-0.35,0.15,0.21,0.06,-0.08
"ybjC",0.54,0.14,0.2,0.17,0.28,0.16,1,-0.24,0.17,-0.02,0.06,0.02,0.05,-0.1,0,0.17
"nfsA",0.49,0.28,0.38,-0.2,0.65,0.97,0.96,-0.32,0.26,-0.05,-0.34,0,-0.16,-0.17,0.17,-0.12
"rimK",-0.01,0.31,-0.01,0.35,0.23,0.18,0.77,0.88,-0.13,-0.41,-0.19,-0.36,0.15,-0.1,0.2,0.1
