"","0","0 | 1","0 | 2","1800","1800 | 1","1800 | 2","4800","4800 | 1","4800 | 2","11700","11700 | 1","11700 | 2"
"thrL",5.18831773279615,0.807590538680165,1.41371844127597,0.626606931524827,1.06852391588041,0.567604082440233,0.983375670987777,0.712503721163332,0.4336957576062,0.333646703753968,0.463697897060001,0.727890197560428
"thrA",5.42663728669984,1.30813304947682,1.06491493048077,0.463446231227248,0.387500513687515,0.404641467945699,1.37251908293283,2.08411432001235,1.00269061212546,0.286530520008505,2.11574346862377,1.36298020351574
"thrB",2.72252939363145,1.14482174316742,1.01925309243518,0.523660048561594,0.399564086725721,0.427695922128312,0.815249281159266,1.08472542459156,0.738939445720807,0.422666014293953,1.73933717390028,1.19069201068746
"thrC",2.79048028760917,1.04986889209388,0.962391959241921,0.434252829386811,0.354257632123306,0.373017040605681,0.593230778512791,0.715473826853917,0.489573438584362,0.310701130523138,1.33602275698876,0.815457081924109
"yaaX",2.57288132353475,1.27719842771195,1.17948866156192,0.662747078234439,0.51529251087215,0.498065044988,0.816129564907685,0.685275116327672,0.594006830161606,0.625874528684936,1.21782771677296,1.02467924780207
"yaaA",2.14775716498359,0.904443006276048,1.03164004487123,0.629501712596879,0.509206690450265,0.591690728064221,0.848589318422098,0.937041009647033,0.725492234391676,0.442557615654866,0.911236558024482,0.929646224306864
"yaaJ",0.909172514292823,0.928372562867087,0.941040488687112,0.628750021777391,0.601901077286814,0.632158194026129,0.754961809384245,0.664259413494236,0.70573020878811,0.846086361291909,0.877788147390573,0.813344475518725
"talB",1.03689012229371,0.901638490579251,0.967508701754999,0.961775296681499,0.902376624985379,0.86920036050704,0.763689183824251,0.789555921013347,0.6475333916752,0.610027543614694,0.797796628665537,0.892641609561043
"mog",0.999379105928027,0.738746982215709,1.07954414078898,1.10216557125532,1.31899803654389,1.15755593134219,0.910793008435604,0.991153844818424,0.954999188932,1.4912308041851,0.470142159958044,1.30020902561025
"satP",1.01575725289517,0.824442675542751,0.90584940174019,0.983409354018233,1.05779589879768,1.41214500771921,1.16468850674039,1.06592562905707,0.935646477941,1.36813605318394,1.12125173069398,0.865126289422394
"yaaW",0.76727008763347,0.710708689169098,1.13864052479089,0.7499533976689,1.13983893998214,1.07511386550443,0.754149976811885,1.22843499011453,0.994878793959389,0.941686402447927,0.555531073195057,1.01369721378741
"mbiA",1.08518870968817,0.972009814444364,1.38906754141502,1.31205143813649,1.32996995449118,2.05436721465777,1.30129013365852,2.39252696216026,1.01245894907106,1.68501338081513,0.637254819777303,1.00351264441752
"yaaI",0.849036635621817,0.936639163161927,1.30121534857457,0.743661968755498,1.15992796142006,1.28648863751354,0.7787380220537,1.76457569655176,1.2897569485378,0.847149989994828,0.890130833839778,1.0837245313377
"dnaK",0.161568320771416,1.17525752180336,1.24153334687662,1.2696860043428,1.5768807140278,1.70951998668824,1.24300462809047,1.76596685787646,2.18061892921396,4.25677616334024,0.801654510148498,1.35603769695141
"dnaJ",0.5097468057655,1.04362245123259,0.96886954847015,1.41960518612661,1.62533838247397,1.87924479113678,0.895450191424732,1.2837105140198,1.22157045370233,1.06144000342027,0.688969188742675,0.842968793471644
"insL1",0.507687194063233,0.927886654767461,0.857068936383622,0.990088566065293,1.17295027634511,0.912639656497132,1.16353207584227,1.42916562595406,1.20672379097428,1.93290012916439,0.990965656852809,0.943689243506746
"mokC",0.790845148258277,0.955479465334216,0.960676111741956,1.41176066592874,1.83582929924334,1.78784216430609,0.67559167092324,0.666978535085147,0.752835496791679,1.11111467201024,0.758916920012155,0.876994706033422
"nhaA",0.428636794068036,0.925460393385888,1.0338883651404,1.11309095752206,0.764839637793407,0.838497989674889,1.17370541505167,0.831908945174158,1.11109835154235,1.61917348804651,0.955971468549328,0.801289666051075
"nhaR",0.477109735448124,1.11962535529554,1.05554496270151,1.07948430375423,0.898216378966919,0.873200141968075,0.808720454341494,0.407591689385034,0.774370674637071,1.65014997414501,0.370698112126356,0.447700771661578
"insB1",0.883903387044661,0.769893360433262,1.06920075838589,0.724594371806822,0.752451656125344,0.819618735434778,0.848803933457667,0.617113387716712,0.883044698463174,1.3912517535904,0.806829471424871,1.2514031806459
"insA1",1.08126352137747,0.923957711664069,0.873965943904847,0.807358432205933,1.00933278091451,1.01274953597106,0.536039012190419,0.659853105991061,0.833723253871782,0.599168937197987,1.15171658473732,1.27541370507019
"rpsT",3.23956206078597,0.913852614926698,1.16860419230814,0.509487348782643,0.440223985383272,0.538970655108635,0.790835201738348,0.549027484900165,1.01125906840889,0.472833713878902,1.35852399833313,1.56328695506021
"yaaY",0.500645843871807,0.79428322032677,0.825939669267369,1.12834965818516,1.17328432522423,1.2212290117468,0.897823640302192,1.07986489952316,1.03813534594311,1.33206371245663,0.924185661017856,0.819374481210234
"ribF",1.29547667850947,1.17642134023172,0.990830259766399,1.03184626476869,1.1670806980838,1.19343692354825,2.00893824202549,2.42925243337778,1.71946032933987,1.15743277053542,1.85419436284239,1.73529614545891
"ileS",1.74452078675586,1.32795955508042,1.13086952672109,0.942090069563302,0.989061506244658,0.963621646960691,2.34838421735983,2.8846892070248,1.80602380005793,0.947757045925863,2.09009248518116,1.6079760974192
"lspA",1.47966017759991,0.985888297744005,1.01256856158875,0.948097358016789,0.873213155678959,1.16045408938317,1.02141888189989,1.25665899202279,0.958451176502098,0.69970397320482,1.61087175440846,1.13175195365526
"fkpB",0.579852048070034,0.890524666517485,1.02442997203577,0.94882762204222,1.10138470886137,0.893146099094512,0.738913844157554,0.685463363347891,0.749550035896854,0.836429982197532,0.319142909180199,0.483484866867814
"ispH",0.586168412441038,0.99355112085163,1.00232048291854,0.810066611889242,0.773041907737268,0.989336683082484,1.15232697310785,0.888678786889989,0.985887670414498,1.16870025832996,0.490884207552854,0.591485751693398
"rihC",1.45650204793384,1.01478818882074,0.871413966378487,1.71539035964951,2.67761796374809,2.86775967525706,0.975877015969079,0.693565294464425,0.717091331544112,0.682809486281789,2.06580273387546,1.14585378830086
"dapB",0.361338013914808,0.734669813123035,0.789809321494806,0.715670398813493,0.884644833195148,0.791294455175981,0.700812642900518,0.590391733729279,0.734413238472175,0.845702941094438,0.400589230456077,0.442111427491479
"carA",1.76675474294784,0.611978010811796,0.415596930214247,0.670461912887501,0.692568268021994,0.793196117467496,0.755052130026543,0.553499579082636,0.502341997368338,0.557690631950094,0.342230111816665,0.486991550737631
"carB",3.06868571894098,0.771713663725086,0.728002697385412,0.604674694540917,0.490613740573467,0.69231045430685,0.614308145437508,0.385339160240663,0.313065721228369,0.211963356606744,0.451578032351118,0.532763052110543
"caiF",0.861118890273875,0.81306775338675,0.975460925238827,0.946952414852227,1.12048065417653,1.0014714206285,0.51874683850407,0.528519308519973,0.611328089010622,0.7538292335429,0.505935503345491,0.874984551237084
"caiE",1.04876162550207,0.80332066017074,0.997061276968588,0.832147275014114,1.03921719133787,1.05017789639931,0.97384348582988,1.55287835566647,1.37655759082188,0.842651989266422,0.644011424722691,0.809153210390294
"caiD",0.547719335816379,1.18861004055343,1.37738018722287,1.29480891776663,1.46031044410873,1.25077882019178,0.441176631329653,3.23301253482991,3.23123374534937,1.12311768163677,NA,0.888494690450087
"caiC",2.03850948277958,1.18347558114092,1.10030506155424,0.83779311774673,0.926232713227845,0.911432309568128,0.89893648076057,0.525015889344771,0.551915684442261,0.746448402983369,NA,0.864672867552439
"caiB",0.908426693253176,0.964096840478148,1.19557812916527,0.878318776009828,1.4755026961769,1.39205667304194,0.754645697934237,0.852468645670428,1.09667620110527,0.919340420586193,1.07559985512235,1.34519499292672
"caiA",1.09312846635571,0.972773200642306,1.23829206464815,1.19119968043612,1.46170336651633,1.79899804775527,0.750136832080991,0.585588215122797,0.759921262040592,1.16374109963177,1.34024701413441,1.29920680750368
"caiT",0.899512862238368,1.16907031019096,2.18165087397158,0.997845424391451,0.924473053023757,1.01590420982339,1.37320852422516,3.40989884455697,1.1870963687158,1.24700137158655,NA,0.716043240567628
"fixA",1.01631012725728,1.3170980367348,1.34425231113471,0.955114775254345,0.909945037884732,1.0988021710087,1.0474384317125,1.15123354380403,1.28173293516646,1.12378449149316,NA,1.05656326082848
"fixB",0.824057407746745,0.966645790037165,0.97488413376521,1.02144911579882,0.921995724063003,1.23315019709664,0.715481254912033,2.08422036486838,1.11917424657151,0.775484083532041,NA,0.896147181294383
"fixC",1.17383770257936,0.942163729028862,0.92181227367513,0.949732238784038,0.923441282683584,0.879082343609405,0.938706320888067,0.854126530521105,1.3290931748838,0.717430653283584,NA,0.639397957199855
"fixX",1.22134324518439,0.889842473350615,2.422545334694,0.904466147779175,1.09498614398545,0.975877198604225,1.02733746623693,1.92774482620342,1.46330370269039,0.927822554309591,0.90447760308306,1.171872933154
