"","0","0 | 1","0 | 2","0 | 3","0 | 4","21600","21600 | 1","21600 | 2","21600 | 3","21600 | 4"
"rclR",1.3079,1.1751,1.498,1.4655,1.3743,1.5517,1.2622,1.3651,1.4747,1.2434
"stpA",2.5143,2.7102,3.4882,3.2841,2.8388,2.9525,1.982,2.6532,1.9484,1.9867
"cbpM",3.8034,3.9168,3.4177,3.8534,3.9026,4.2492,3.8227,4.1444,4.2516,3.8789
"abgA",0.5313,0.6213,0.6041,0.4902,0.4735,0.5596,0.486,0.5752,0.4974,0.5237
"yhjV",0.9239,0.8854,1.2474,0.9334,1.0219,0.7063,0.9793,1.0107,1.0555,0.8835
"ydfC",3.4766,3.7084,3.6253,4.1036,3.8403,3.9559,3.4828,3.6616,3.3178,3.5045
"dapD",5.3903,5.5149,5.4148,5.5221,5.4766,5.5946,5.484,5.5175,5.4047,5.5194
"rbfA",4.542,4.5694,4.7383,4.4605,4.5453,4.573,4.6427,4.8359,4.7742,4.6691
"lysA",2.2519,2.1509,1.626,2.4776,1.9923,1.6035,2.1238,2.1607,2.3625,2.097
"ytfH",3.4207,3.6042,3.0674,3.3677,3.3666,3.3291,2.9291,3.2435,3.131,2.865
"rpsS",7.0003,6.7916,7.0541,6.771,7.0817,6.8359,7.2072,6.8887,7.2755,7.1624
"paoC",0.3671,0.4553,0.4084,0.355,0.3484,0.4209,0.358,0.3607,0.3316,0.4288
"queC",4.0051,4.5453,4.2174,4.3196,4.0839,4.783,4.0771,4.3522,4.1082,4.1193
"entH",3.2929,3.2817,3.7936,2.5104,2.4884,3.6344,3.2985,3.6301,3.5871,3.4056
"nanC",0.5643,0.7623,1.1722,0.8609,0.6653,0.9553,0.6653,0.7563,0.5779,0.6839
"arnC",3.0243,2.7153,4.5089,3.7278,3.309,3.0182,3.1301,3.3291,3.0937,3.2036
"avtA",5.1672,5.2315,5.4691,4.9342,5.0273,5.1771,4.936,5.1907,5.0261,4.9799
"rplL",7.7193,7.7933,8.1311,7.83,7.9096,7.83,7.7634,7.859,7.7392,7.8497
"yciG",0.9055,0.9319,0.9089,0.7767,0.8278,0.9086,0.8826,0.8976,0.8635,1.0605
"insH5",0.862,1.4515,0.9514,1.0526,0.8181,1.1765,0.7533,0.9793,0.7278,1.0166
"yjjV",3.07,2.9552,3.0885,2.841,2.9475,2.9514,2.9989,3.0647,3.18,3.0864
"fadE",0.3818,0.4087,0.3422,0.3644,0.4093,0.3785,0.4289,0.3371,0.3332,0.5075
"osmF",0.4784,0.3962,0.4498,0.4506,0.4331,0.4619,0.4501,0.5016,0.3674,0.4152
"holA",3.3406,3.3007,2.9731,2.9957,3.1224,3.2642,3.4345,3.2576,3.4815,3.548
"phnH",0.4346,0.3437,0.4337,0.4213,0.4806,0.3814,0.5073,0.4276,0.6419,0.4955
"ygjJ",0.4111,0.3673,0.4189,0.4389,0.443,0.4962,0.4281,0.4425,0.4769,0.5003
"barA",2.5969,2.5852,2.4426,2.4904,2.6292,2.361,2.6748,2.5947,2.6693,2.6883
"yjiG",2.7102,2.9373,2.1709,2.9197,2.7982,3.4362,3.2307,3.3537,3.3847,3.1015
"clsC",1.6421,1.6958,1.4285,1.3836,1.6306,1.6702,1.8963,1.4067,1.7195,1.8463
"rplD",6.9811,6.744,7.099,6.744,7.0115,6.6639,7.0293,6.9661,7.099,7.0376
"cynT",0.6356,0.7005,0.7308,0.7403,0.6489,0.7465,0.5476,0.7365,0.5602,0.5124
"fetA",2.2286,2.4548,2.6447,2.4679,2.3335,2.6924,2.3482,2.4485,1.9126,2.378
"yahM",0.5324,0.6773,0.6428,0.7315,0.8124,0.6193,0.8264,0.6517,0.7652,0.8487
"garL",1.466,1.3667,1.0074,1.5691,1.4902,1.5589,1.5957,1.5329,1.3361,2.1347
"pabB",2.3228,2.2136,2.6332,2.0614,2.3523,2.4699,2.3392,2.4604,2.3877,2.2511
"wcaJ",0.7013,0.877,0.7324,0.709,0.6159,1.0214,0.6485,0.9102,0.7222,0.7385
"pqiC",3.2425,3.2532,3.2922,3.1845,3.432,3.6144,3.4064,3.6207,3.3656,3.3874
"ispB",4.8563,4.4232,4.3662,4.6056,4.6807,4.562,4.9435,4.562,4.7663,4.8895
"rnr",4.5343,4.2174,4.5251,4.44,4.5048,4.1715,4.6857,4.4125,4.6385,4.5527
"alsA",1.1309,1.2514,1.2163,1.0708,1.0244,1.3236,1.0509,1.1646,1.1119,1.0533
"ymdB",2.3896,2.5209,2.5341,2.3641,2.5246,2.54,2.6924,2.4805,2.5723,2.5504
"pheT",4.6266,4.8685,4.8964,4.5802,4.7506,5.0096,4.8376,4.9215,4.9693,4.9052
"aroG",0.7247,0.6624,0.7932,0.747,0.6699,0.7239,0.6763,0.7746,0.7265,0.7154
"glgP",0.6942,0.6839,0.703,0.7424,0.6549,0.825,0.6139,0.7383,0.5976,0.7828
"nagA",3.6653,3.9507,3.9444,3.4407,3.51,3.7012,3.3608,3.7171,3.2817,3.4937
"galE",3.1259,3.0182,4.0365,3.8544,3.1326,3.4524,2.918,3.2466,3.0436,3.0765
"trxC",5.0382,5.552,5.1942,5.4717,5.2377,5.5462,4.7544,5.3661,4.8376,4.776
"phnF",0.4428,0.5219,0.5456,0.5209,0.4816,0.4698,0.4625,0.5376,0.5115,0.4858
"yiaD",2.9749,2.8063,3.2327,2.4708,2.8496,3.0118,2.6783,3.0022,2.6893,2.5048
"nagZ",4.1525,4.0466,4.0296,3.8902,3.8755,4.1213,4.0006,4.1842,3.9686,4.1828
"ruvB",0.6526,0.7226,0.5263,0.7515,0.6725,0.6281,0.619,0.6428,0.466,0.6644
"cycA",0.9479,0.7088,0.6068,0.6156,0.6944,0.8726,0.761,0.6154,0.6359,1.0098
"glpT",2.4785,2.2169,2.439,2.3372,2.9802,2.2257,2.6063,2.5876,2.6633,2.7895
"kduD",2.2555,2.2385,1.9947,2.4093,2.3491,2.2012,2.5657,2.4661,2.5171,2.4209
"pitB",0.7239,0.7419,0.7593,0.6356,0.7302,0.6804,0.6705,0.6929,0.7199,0.7128
"aaeX",1.5869,1.301,1.5268,1.4643,1.5248,1.0188,1.4795,1.568,1.5233,1.3685
"fusA",7.2833,7.2631,7.3884,7.2631,7.2579,7.337,7.429,7.2683,7.4245,7.3884
"yrbL",6.7186,6.6843,5.1845,5.3355,6.1737,6.055,6.3153,6.5244,6.1837,6.1373
"frvB",0.3887,0.4371,0.4126,0.4855,0.3671,0.484,0.4398,0.3736,0.3661,0.4894
"cusB",0.7134,0.6896,0.9249,0.8683,0.8032,1.0708,0.7226,0.8514,0.7834,0.7137
"ydcF",3.5871,3.3261,3.6584,3.6289,3.6445,3.2455,3.4766,3.6321,3.3805,3.2817
"fimH",1.5373,1.6582,1.6489,1.6102,1.4882,1.4373,1.7654,1.6296,1.693,1.7043
"yiiR",2.4041,2.5171,2.3877,2.5583,2.3543,2.4183,2.1643,2.5826,2.2902,2.0344
"yghQ",0.9737,0.8002,0.965,0.9239,0.9612,0.8175,1.0177,0.9837,1.2147,1.0345
"mltA",2.6616,2.7188,1.9069,2.8173,2.4371,2.4215,2.7782,2.3194,2.8117,3.2239
"rpmE",6.1241,5.9623,6.0819,6.2601,6.5366,5.6312,5.8031,5.5403,5.6217,5.8149
"glpG",3.2335,2.881,3.3343,3.0102,3.2708,2.9968,3.6866,3.0843,3.6564,3.4628
"yjjQ",0.7088,0.6616,0.6891,0.7095,0.6394,0.6727,0.5901,0.6891,0.593,0.6443
"potF",0.5363,0.4389,0.5372,0.3964,0.498,0.4692,0.3744,0.5492,0.4102,0.3929
"yneJ",1.4869,1.4168,1.4846,1.518,1.5316,1.3978,1.586,1.3057,1.4668,1.3369
"mlaC",5.5359,5.4766,4.9536,4.9654,5.2336,4.9485,5.6703,5.1225,5.5506,5.5339
"ynaE",1.9569,2.841,2.1717,2.0497,2.0317,2.0694,1.5476,1.5915,1.1933,1.7135
"ybiJ",3.9814,4.1444,3.3932,3.2685,3.5932,3.918,3.4628,3.9644,3.4808,3.3697
"mdtO",0.4119,0.3316,0.3566,0.3764,0.3509,0.2903,0.5835,0.3677,0.4849,0.3849
"ypdF",0.404,0.3872,0.4324,0.4005,0.4114,0.4306,0.3541,0.3797,0.4176,0.3535
"ftsE",4.5471,4.7634,4.8186,4.5717,4.4767,4.7615,4.44,4.6991,4.5931,4.4412
"rpmC",6.8495,6.569,6.9953,6.6747,6.927,6.7186,6.9182,6.6538,6.9661,6.8998
"folK",0.8442,0.7937,0.6723,0.6813,0.7119,0.7803,0.6633,0.6295,0.6037,0.7042
"fucP",3.1243,3.2251,2.4871,3.1592,3.0054,3.4248,3.2405,3.3743,3.1082,3.3486
"mlaA",3.6253,3.5973,3.6167,3.8781,3.7745,3.8918,3.8453,3.8578,3.6971,3.7879
"gltA",6.9182,7.232,7.0003,7.0115,6.8073,7.2521,6.8401,7.0376,6.821,6.9334
"ubiH",4.2588,4.3591,3.8115,3.9361,4.0982,3.9696,4.3481,4.0125,4.4592,4.2566
"zapC",3.2346,3.7805,3.7511,3.8928,3.4439,3.8805,3.1901,3.7235,2.9592,3.3568
"yiaB",0.4064,0.3617,0.4204,0.4145,0.4924,0.3599,0.5276,0.466,0.4999,0.429
"yghO",0.618,0.4855,0.5731,0.5112,0.683,0.4113,0.8328,0.4805,0.8018,0.7073
"nagB",2.7387,2.5914,3.414,3.0565,2.7887,2.8762,2.7413,2.9613,2.6814,2.6633
"hofN",1.8396,2.0077,1.6306,1.5488,1.5899,1.8834,1.8513,1.6555,2.0126,1.7875
"flgB",0.3243,0.332,0.337,0.3175,0.3084,0.3159,0.3791,0.3197,0.4396,0.316
"ybhN",0.8721,1.0474,0.8337,0.7568,0.8056,0.9139,0.995,1.0523,0.7524,0.9832
"rof",4.2049,3.3902,3.0792,3.7,4.1666,3.0684,4.3376,3.4524,4.3391,4.2622
"fixC",0.9733,1.0223,0.9719,1.0444,0.7906,1.206,0.8536,1.0339,0.8467,0.7544
"abgB",0.3271,0.4347,0.3982,0.3778,0.3312,0.4068,0.3593,0.3802,0.3503,0.4634
"nirC",1.1231,1.2758,1.2962,1.1571,1.1521,1.2298,1.0196,1.3846,1.1884,1.1288
"hyaF",0.7489,0.5414,0.6604,0.6246,0.7699,0.5824,1.0094,0.8869,0.9194,0.8304
"narU",0.9711,0.9793,1.0223,1.0272,1.0146,1.1278,1.0903,1.2177,1.0345,0.856
"tnaC",2.57,1.6643,0.6797,2.1827,2.6389,1.124,3.6082,1.3585,3.3922,3.9293
"prs",5.9737,6.0584,6.1241,5.7099,5.9973,5.9584,5.9486,6.0285,5.9389,6.055
"tolB",6.1772,6.2668,6.1125,5.9708,6.2286,6.143,5.9282,6.1916,5.9908,6.0606
"leuA",3.7,3.5985,3.2929,3.0172,3.2415,3.3537,3.4074,3.3494,3.202,3.2879
"ampE",3.6271,3.8048,3.6979,3.9444,3.7147,3.961,3.6653,3.7587,3.8683,3.7084
"betA",0.7815,1.037,0.7374,0.8565,0.6991,1.0867,0.6778,0.7635,0.558,0.977
"lpxA",5.0053,5.2525,5.3442,5.0306,4.9967,5.2355,4.88,5.2286,4.9744,4.9576
"napA",3.2957,3.5299,3.3214,4.095,3.8504,3.898,4.2131,3.6514,4.5005,4.2401
"ilvL",6.8008,6.5061,6.4369,6.9713,6.95,6.6019,6.9401,6.4333,7.0376,7.0651
"rpsT",6.2146,6.0819,6.2601,6.2566,6.3346,6.1092,6.0733,6.1155,6.1703,6.0635
"dtpB",5.2355,4.9905,2.9652,3.543,4.4374,4.5642,4.95,4.7371,5.2016,5.08
"yehY",0.8367,0.8818,0.8585,0.8431,0.8442,0.7906,0.9121,0.9519,0.8757,0.7398
"fliT",0.9537,1.1911,1.1172,1.1283,0.9568,1.5309,1.1336,1.1751,1.1482,1.2234
"rybB",4.1715,3.5662,1.8138,1.9616,2.4904,2.1171,2.3725,2.1709,2.6703,2.1574
"tyrR",2.6667,3.2163,3.0994,3.1025,2.865,3.1901,2.6999,3.1093,2.619,2.6502
"proY",3.1176,3.2828,3.0454,2.8702,3.0005,2.8305,3.0926,2.992,3.1122,3.0013
"yhdV",4.0016,4.2467,3.2443,3.4093,3.9141,4.1475,3.7084,3.8815,3.6017,3.7973
"ygbI",4.551,4.7238,4.2387,4.5864,4.5262,4.7179,4.783,4.5527,4.7383,4.7492
"trpR",2.8668,2.9053,3.4428,3.0782,2.9,3.2601,2.9366,3.1046,2.8486,2.8269
"emrB",0.5084,0.5189,0.4853,0.5246,0.4849,0.5963,0.4206,0.4934,0.5106,0.4243
"ynaK",0.5939,0.8494,0.732,0.8168,0.6266,0.9192,0.6019,0.772,0.561,0.7666
"ecpA",2.5126,2.6955,6.2668,5.5656,4.2146,3.9881,4.0374,4.2428,4.2317,5.0245
"metA",1.8156,1.8289,3.6554,1.4755,1.5107,1.7803,1.8572,1.7608,1.5595,1.7522
"ynfB",6.8835,7.1624,6.8946,6.7389,6.8115,7.2432,6.569,7.099,6.4063,6.6105
"tufA",7.9559,7.8729,7.9559,7.7933,7.8729,7.9349,7.83,7.9559,7.859,7.859
"fadA",6.6948,6.7831,5.6866,6.7916,6.744,6.8625,6.771,6.8554,6.8008,6.7186
"rsxG",2.1982,2.0303,2.2851,1.7227,2.3263,2.1061,2.2547,2.2815,2.4005,2.4672
"malE",0.4505,0.5226,0.5889,0.6235,0.4294,0.66,0.4053,0.5222,0.4347,0.6566
"hypD",2.6281,3.0801,2.3994,2.657,2.6199,3.2078,2.8329,3.0756,2.97,2.9793
"dxr",3.5066,3.8302,3.4841,3.2065,3.4563,3.7879,3.3343,3.6355,3.3188,3.4494
"glvB",0.3138,0.4288,0.4484,0.3255,0.3629,0.455,0.3973,0.3643,0.3927,0.4788
"purF",2.4053,2.4156,2.2195,2.3254,2.3994,2.0995,2.6545,2.3321,2.6942,2.6833
"amiB",1.0573,1.2704,1.1468,1.0996,1.0348,1.284,0.8284,1.0496,1.0356,0.7913
"purC",3.0054,3.0725,3.4286,3.4579,3.0994,3.1926,3.127,3.2152,3.0565,3.1004
"csgF",0.4072,0.3852,0.5891,0.6064,0.5987,0.3752,0.5657,0.5665,0.5414,0.5614
"rplM",7.232,7.2833,7.5923,7.2755,7.3448,7.2833,7.1976,7.337,7.1577,7.2072
"phoB",3.33,3.1422,2.797,3.1721,3.1692,3.3015,3.2817,3.2109,3.1921,3.3894
"yggF",0.7796,1.0133,0.8071,0.8413,0.7746,1.0533,0.7125,0.7678,0.6211,0.9679
"trpS",5.3274,5.3714,5.7476,5.3274,5.3679,5.5063,5.311,5.5575,5.3714,5.3419
"rutF",0.8476,1.0137,0.8535,0.7398,0.8015,1.1965,0.9187,1.0429,1.0113,0.7843
"ybiI",2.0434,2.1314,1.8445,1.9691,2.1367,2.2587,2.1419,2.3042,1.7164,2.0821
"ycaP",1.6991,1.8673,1.9737,1.6673,1.6829,2.1204,1.6973,2.0602,1.635,1.7037
"sapA",3.4064,3.5741,3.558,3.4362,3.5173,3.9279,3.3688,3.4676,3.3243,3.438
"hslU",5.3591,5.5045,5.3171,5.1323,5.1771,5.7043,5.4488,5.7128,5.3839,5.3274
"dgcZ",4.7615,4.5785,4.2716,4.4815,4.9654,3.894,4.7305,4.445,4.5678,4.7065
"xylA",2.989,3.0489,2.2105,2.932,2.657,2.8259,2.9659,2.7462,2.8702,3.0917
"fryB",0.7959,0.8589,0.7807,0.9175,0.7959,1.0742,0.7937,0.8926,0.7784,0.7169
"nrfA",1.9668,2.3454,1.8915,2.1804,1.8866,2.9463,2.3399,2.4053,2.5868,2.3633
"rplR",7.4245,7.6922,7.6564,7.4245,7.4798,7.607,7.3558,7.5923,7.372,7.4143
"ftnA",3.9279,3.9076,4.3111,4.7165,4.562,4.2002,4.1066,4.3655,3.8403,4.1465
"rlmB",2.9863,2.9613,2.9348,2.828,2.9602,3.0054,3.1963,2.7936,3.3442,3.2377
"ynfH",1.9846,1.8321,1.8321,1.8156,1.9294,1.6991,1.9213,2.0277,1.9607,2.0216
"uhpC",1.7515,1.6342,1.9193,1.6836,1.6495,1.5605,1.6179,1.7957,1.7024,1.705
"uspD",4.8269,4.6952,4.95,5.2603,4.9837,4.8013,5.1108,5.0938,4.8457,5.0145
"yghB",3.8096,4.1636,3.5004,3.5773,3.5871,3.5903,3.4676,3.6604,3.5124,3.557
"rybA",5.6086,4.9772,3.9057,4.9667,5.5023,4.9457,5.9361,4.3481,5.743,6.0997
"yehD",1.6456,1.6116,1.4328,2.1141,1.9876,2.3986,2.4309,2.3915,2.2808,2.3961
"yqfE",1.395,1.7121,1.4491,1.694,1.4328,1.5691,1.3685,1.592,1.271,1.32
"coaD",2.4209,2.5583,2.851,2.7167,2.5826,2.8143,2.4005,2.4884,2.4426,2.272
"pyrS",1.6864,1.4902,1.5528,1.3743,1.5241,1.7765,1.6734,1.5957,1.4119,1.6952
"hycG",2.0622,2.0224,2.0995,1.8039,1.9384,2.1238,1.8682,2.1889,1.997,2.0102
"yddG",0.9162,1.2508,1.1414,1.1993,1.0708,1.0219,0.9939,1.0377,1.0309,0.9719
"cysP",2.7752,2.9503,2.9187,3.7101,3.9904,3.6207,3.2425,3.7101,2.9777,3.5233
"yqgA",1.053,0.9349,0.8679,1.083,1.0395,0.6739,1.2202,0.9867,1.3042,1.2128
"yfhR",0.3785,0.3051,0.4444,0.323,0.3705,0.2852,0.4255,0.3131,0.4216,0.33
"rcsF",4.8943,4.6169,4.6374,4.6643,4.7469,4.4959,5.0245,4.5845,4.8425,4.8439
"wcaB",0.4733,0.5792,0.5828,0.5835,0.6696,0.5978,0.7141,0.6984,0.7945,0.6615
"rpsR",6.9953,6.7081,7.0651,6.7232,6.9879,6.4676,7.1048,6.8625,7.0713,7.0066
"arcB",4.3196,4.0879,3.9269,4.0587,4.3071,4.0344,4.6491,4.193,4.5343,4.5392
"gspG",0.6392,0.5955,0.7398,0.6095,0.5602,0.8446,0.7527,0.8181,0.6146,0.6314
"treR",3.0647,2.742,3.1742,3.1224,3.0894,2.9785,3.1683,3.1828,3.1157,3.0832
"elbB",5.0427,4.9654,5.146,5.3048,5.0158,5.181,4.9654,5.148,5.0339,5.0171
"fabD",5.9214,6.1463,6.4631,5.9389,5.9419,6.4063,5.8743,6.2146,5.8482,5.9154
"tomB",5.7683,5.8541,5.2546,5.5175,5.6188,5.5175,5.2722,5.5194,4.9905,5.2355
"hycH",2.429,2.4679,2.2958,2.4749,2.4266,2.5414,2.3647,2.3357,2.3647,2.3399
"csgB",0.619,0.732,0.8076,0.8786,0.862,0.8385,0.709,0.9263,0.7151,0.7621
"greB",3.8427,3.7587,3.5941,3.7361,3.6289,4.142,3.5055,3.9531,3.5393,3.5014
"yfdQ",2.8496,1.8214,2.4223,2.9066,2.7745,1.4455,2.2834,1.4105,2.227,2.1259
"acrD",2.5152,2.7895,2.0077,1.7501,2.4661,2.4403,2.511,2.4215,2.5317,2.439
"ygeX",2.3335,2.6502,1.1977,1.2498,1.4418,1.79,1.369,1.5927,1.476,1.6444
"rpmB",7.1519,7.0591,7.2145,7.1519,7.1684,7.0846,7.119,7.0484,7.1048,6.9453
"gltS",0.8546,1.0351,0.7489,0.9055,0.8757,1.0204,0.8519,0.8573,0.6925,0.8716
"thpR",3.6121,3.5004,3.4709,3.4197,3.5686,3.4216,3.6616,3.7392,3.6668,3.6239
"yqaB",2.4394,2.0045,1.7721,2.0669,2.3405,1.7601,2.4279,1.8206,2.3678,2.4399
"purR",3.5014,3.6264,3.9881,3.5216,3.7158,3.438,3.3729,3.5356,3.432,3.4596
"aceB",0.2638,0.2965,0.3664,0.3879,0.3611,0.3544,0.3473,0.2979,0.3768,0.3882
"sufD",2.754,2.757,2.877,2.4737,2.5209,2.7462,2.6722,2.7269,2.7394,2.6792
"phnG",0.7949,0.8939,0.873,0.8585,0.7853,0.8238,0.9102,0.991,0.9849,0.7604
"gudP",0.9433,0.9194,0.9187,1.1209,0.908,1.1147,1.045,1.2022,1.0462,1.1549
"nrdE",1.4098,1.535,1.3269,1.2219,1.0256,1.4195,1.0268,1.3578,1.1922,1.2056
"dgcT",2.1274,2.2434,2.1082,2.1379,2.2322,2.2997,2.1433,2.2105,1.8459,2.1758
"dgcQ",2.0677,2.2496,2.1131,1.9711,2.0102,2.462,2.0425,2.3347,2.115,2.0849
"ygjV",0.963,0.8716,1.1359,1.0094,1.1765,1.0184,1.2671,1.2622,1.1336,1.1299
"yjjG",2.1727,1.8098,2.3495,1.9931,2.1784,1.8147,2.3832,1.8339,2.2764,2.2425
"tpiA",6.2017,6.2823,6.5968,6.3256,6.143,6.4482,6.0606,6.3734,6.0997,6.18
"mscS",3.9097,4.0603,4.2256,3.7753,4.0283,4.1444,3.824,4.2333,3.77,3.7753
"yjaH",2.6379,2.4708,2.8505,2.7046,2.5769,2.7484,2.6072,2.6591,2.6852,2.6369
"spf",4.7974,4.4994,3.51,4.1648,4.7598,4.0098,3.8504,3.4862,3.9985,3.8174
"ydgH",5.0188,4.9016,5.0788,5.1658,5.0769,5.0815,5.3787,5.0683,5.4313,5.3763
"tsr",1.9325,2.1103,1.7269,1.7459,1.6872,2.1592,1.8024,1.9289,1.7826,2.051
"eutA",0.6725,0.7666,0.6864,0.7438,0.7655,0.7208,0.7302,0.8603,0.7739,0.8002
"lpd",7.9716,7.9096,7.8497,7.9349,7.9349,7.7831,7.9716,7.9349,7.9716,7.9559
"arnF",1.9186,2.0089,2.3482,2.0027,2.1069,1.8125,1.8195,1.9998,2.0419,1.6917
"allC",0.9487,0.4813,0.5654,0.6984,0.9654,0.5663,1.6612,0.7226,1.465,1.5373
"yegU",0.4666,0.4198,0.4494,0.5417,0.457,0.4707,0.5193,0.568,0.532,0.5071
"yciF",0.6807,0.6845,0.572,0.6711,0.6956,0.6097,0.6699,0.6959,0.7392,0.6919
"mpl",0.7236,0.8494,0.6301,0.7736,0.7063,0.8768,0.6089,0.6604,0.5925,0.5576
"apaH",3.681,3.824,3.8568,3.7439,3.6458,3.9227,3.6629,4.0667,3.8081,3.8354
"hycE",1.445,1.7059,1.6292,1.5721,1.4123,1.8239,1.4017,1.694,1.3983,1.5316
"ttdA",0.8337,0.8958,1.073,0.9545,0.7009,1.0462,0.9069,0.9688,1.0306,0.9289
"ygiB",5.8743,5.7186,5.6538,5.6916,5.8595,5.4796,5.8396,5.4583,5.8215,5.8031
"dacA",4.5909,4.5251,4.2813,3.9814,4.5273,4.2663,4.5539,4.5005,4.5629,4.54
"mngB",0.391,0.4667,0.3847,0.4307,0.3394,0.4659,0.3732,0.3495,0.3681,0.4625
"ykfC",0.8245,1.1202,0.7551,0.7719,0.7652,1.1895,0.7853,0.9349,0.7646,0.8506
"rffC",1.9064,2.361,2.3979,2.033,1.8666,2.1636,1.9058,2.1558,1.9858,2.136
"yahG",1.1409,1.3275,1.1624,1.2128,1.1052,1.3246,1.1786,1.0366,1.207,1.3034
"cmk",3.7551,3.5686,3.7973,3.664,3.8427,3.2611,3.5162,3.7268,3.3214,3.5343
"yeaO",3.2973,2.8319,2.6063,3.4355,3.4012,2.7212,3.7483,3.0625,3.4787,3.5773
"dedD",5.0952,4.6926,4.588,4.6337,4.8596,4.6952,5.1049,4.9536,5.2465,5.0952
"bglJ",0.8144,0.7239,1.0035,0.9319,0.8394,0.7193,0.8035,0.9874,0.9113,0.7853
"miaA",6.4587,6.5317,6.1597,6.1772,6.3925,6.1067,6.3657,6.4801,6.3153,6.3885
"rplW",7.1233,7.2072,7.5521,7.119,7.1801,7.2072,7.1624,7.2833,7.2521,7.1976
"ugd",1.4862,1.0767,1.6342,1.3911,1.568,1.0964,1.7003,1.4887,1.4846,1.6847
"gfcD",0.8448,1.1577,0.8332,0.9113,0.8059,0.991,0.8195,0.9305,0.7212,0.9026
"mdtA",0.6425,0.653,0.6753,0.5541,0.5754,0.8546,0.7063,0.7095,0.7146,0.5446
"rhlE",1.4668,1.3295,1.8779,1.4597,1.6484,1.2874,1.469,1.3307,1.5092,1.4787
"argS",0.9424,1.1196,0.9328,1.0234,0.926,1.3015,0.7419,0.9126,0.6461,0.8464
"leuB",2.5947,3.0164,2.9863,2.3854,2.5408,2.8757,2.4381,2.9592,2.2924,2.4021
"ubiJ",4.5022,4.1886,4.4483,4.54,4.4483,3.7171,4.0684,3.9154,3.9995,4.0528
"mliC",3.4774,3.7609,3.1377,3.3382,3.4758,3.7425,3.4286,3.3548,3.2365,3.5494
"yciO",3.8523,3.4104,3.1326,3.4615,3.6334,3.2817,4.0137,3.5601,3.8918,4.0793
"insB1",0.6791,0.827,0.6705,0.5471,0.5643,0.7863,0.5003,0.7219,0.5133,0.6306
"ppdC",2.5209,2.4532,2.1238,2.3625,2.3321,2.5762,2.5504,2.6602,2.718,2.5583
"folE",6.8258,6.7957,7.1731,6.6479,6.7081,6.7389,6.8073,6.872,6.7232,6.6587
"fdoH",6.2885,5.9332,5.5946,6.1175,6.2529,5.74,6.2189,6.1546,6.2885,6.3925
"yfcL",3.9154,4.3127,4.1525,3.9995,3.9293,4.1781,3.859,4.089,4.0072,3.9087
"ydiJ",0.4718,0.558,0.446,0.4972,0.4692,0.4144,0.473,0.4813,0.4946,0.5392
"ynbB",0.5835,0.5703,0.5024,0.5828,0.4552,0.6003,0.554,0.6056,0.5981,0.4458
"rpsA",7.2755,7.2579,7.5411,7.2579,7.3302,7.2631,7.337,7.2579,7.2912,7.372
"yhiN",2.5218,2.5048,2.8486,2.7233,2.5036,2.8934,2.5289,2.7188,2.5535,2.3095
"yahC",0.6435,0.6229,0.6375,0.6679,0.6419,0.6856,0.6435,0.6203,0.7005,0.5376
"ydiH",4.6952,4.9641,4.0137,4.3263,4.5352,4.88,4.6913,4.4578,4.7634,4.7398
"yhbQ",2.2646,2.1588,2.0654,2.3994,2.4403,2.0869,2.463,2.1965,2.5333,2.3863
"pspC",6.1337,5.7836,6.8401,6.6639,6.3885,5.7609,5.7836,5.7661,5.7836,5.7906
"yejA",2.4332,2.4912,2.2434,2.287,2.4737,2.3335,2.7797,2.5487,2.5826,2.6748
"ycgZ",3.6766,3.7124,3.9251,3.3268,3.6866,3.7609,3.6344,3.6218,3.1963,3.5932
"phnN",1.0441,1.1244,1.1027,1.171,1.0987,1.1184,1.0849,1.2214,1.0855,1.0391
"mnaT",4.2716,4.384,4.1941,4.3967,4.39,4.4667,4.4151,4.388,4.3522,4.3744
"dcuR",3.8989,3.8262,3.6505,4.0652,3.8968,3.7724,3.77,3.8115,3.8354,3.7782
"yafZ",0.3779,0.4071,0.4722,0.3896,0.427,0.4589,0.3559,0.4085,0.352,0.3809
"yhhQ",3.9841,3.2985,3.9769,3.5545,4.0125,3.2863,4.3038,3.8911,4.3146,4.1974
"clpX",6.0933,6.2286,6.0756,6.0733,6.0233,6.1497,6.0756,6.039,5.9546,6.0178
"tam",0.8565,0.5517,0.421,0.4609,0.4835,0.5907,0.5387,0.3898,0.4877,0.6482
"fimC",3.1979,3.6835,3.7622,3.428,3.2193,3.0076,2.7484,3.1712,2.5027,2.9946
"mdaB",5.5301,5.2448,5.1595,5.2868,5.6295,5.262,5.7235,5.5084,5.6498,5.5063
"apt",3.7135,3.738,4.1814,3.4074,3.6713,3.575,3.4984,3.5224,3.437,3.4828
"holC",4.4556,4.8269,4.7909,4.5139,4.3307,5.0339,4.0271,4.7525,4.1391,4.1955
"erpA",5.7007,5.6333,5.311,5.5592,5.7869,5.7586,5.5856,5.7235,5.5723,5.5996
"lldR",0.4353,0.4,0.4428,0.5486,0.5246,0.3865,0.568,0.4492,0.5429,0.5971
"yfcC",0.5807,0.9022,0.6319,0.7655,0.6187,0.9733,0.5862,0.8159,0.6845,0.5787
"cysK",6.3016,6.4277,6.6789,6.8443,6.9094,6.9768,6.5782,6.9243,6.5154,6.6906
