"","0","0 | 1","0 | 2","0 | 3","0 | 4","21600","21600 | 1","21600 | 2","21600 | 3","21600 | 4"
"csgG",0.6201,0.6409,0.6845,0.8281,0.7575,0.8154,0.6327,0.6129,0.6276,0.6619
"yrhB",0.5269,0.361,0.5231,0.5517,0.5675,0.3415,0.5044,0.455,0.5412,0.3879
"lolB",0.8712,0.7383,0.5492,0.663,0.7888,0.5691,0.8138,0.6354,0.8044,0.9353
"ysaA",2.0313,2.1827,2.1517,2.1481,2.1013,2.168,2.2764,2.3124,2.3194,2.2918
"nadK",3.1157,2.378,2.1042,2.6154,3.0271,2.115,3.2365,2.5905,3.2985,3.1631
"ldtD",4.0125,4.1193,3.6028,3.8427,3.894,3.4993,3.9208,3.972,3.9518,3.8954
"kup",1.7833,1.4195,1.5826,1.4527,1.619,1.3333,1.8214,1.3967,1.7202,1.944
"murG",4.8175,4.5584,4.0434,4.4981,4.6721,4.588,5.0382,4.5931,5.0409,5.0618
"artQ",2.9267,3.4132,6.5024,3.2817,2.7857,3.6367,2.4661,3.5205,2.2881,2.8971
"atpE",7.2366,7.0293,7.4143,7.2241,7.1048,6.8554,7.1519,7.1108,7.1684,7.119
"yjaG",3.6828,3.2544,3.3466,3.1683,3.5861,2.9291,3.7278,3.5186,3.6367,3.77
"yebG",6.7831,6.4891,7.2521,7.3302,6.8676,4.645,4.1097,4.3084,3.7135,4.0839
"agaW",2.2968,2.4877,2.4737,2.4371,2.0135,2.6154,1.9569,2.5056,2.3415,1.8992
"yjbB",1.5843,1.2828,1.469,1.2401,1.3933,1.3079,1.7246,1.5462,1.665,1.5963
"kefF",2.4085,2.4332,2.2587,2.4785,2.463,2.7659,2.6447,2.5898,2.5209,2.635
"pncC",4.019,4.055,4.2302,4.2801,4.0458,4.1243,3.807,4.2538,3.9208,3.9195
"glcA",3.5786,3.5903,3.2335,4.7909,4.2317,4.0179,4.2221,4.1728,4.3756,4.3319
"ubiI",3.4882,3.5322,3.628,3.3133,3.4163,3.2398,3.3913,3.6344,3.2594,3.3975
"cynR",0.3274,0.4603,0.4667,0.4562,0.3241,0.4581,0.3463,0.3838,0.3441,0.4498
"fliK",0.7644,0.625,0.5987,0.6858,0.6388,0.839,0.7365,0.8361,0.8573,0.761
"ruvC",3.4694,3.6271,3.4684,3.3167,3.4766,3.8292,3.4657,3.7053,3.5186,3.5205
"dadA",7.5923,7.6297,7.372,7.6851,7.6009,7.7052,7.5613,7.7052,7.6428,7.6297
"pyrD",0.7396,0.5366,1.1202,0.8367,0.9776,0.61,0.8115,1.0872,0.6321,0.708
"yegP",1.3512,1.4129,1.6643,1.7756,1.6666,1.6836,1.3507,1.6694,1.2489,1.4059
"ugpE",1.1446,1.0589,1.2412,1.0742,1.1662,0.9271,1.2344,0.9679,1.2688,1.2484
"clpA",6.2756,6.1671,5.9305,6.3566,6.3256,6.0584,6.5244,6.3465,6.3885,6.4238
"tusD",3.2611,3.4505,3.7337,3.5601,3.371,3.6309,3.2945,3.6367,3.4546,3.0821
"mraY",4.9693,4.8878,4.8047,4.7634,4.8997,4.776,5.0216,5.0145,5.011,5.0053
"aphA",5.3355,5.3995,5.3749,5.6312,5.3903,5.3461,5.3734,5.3806,5.2946,5.3995
"selU",1.4028,1.4384,1.3361,1.4373,1.4269,1.7173,1.4869,1.5139,1.3826,1.3246
"lpoA",4.5196,4.5717,4.4423,4.5038,4.5668,4.4556,4.6385,4.5802,4.6952,4.6991
"carA",1.4499,1.0847,2.6883,1.3072,1.3108,1.1599,1.4643,1.43,1.3064,1.6179
"dapA",6.3465,6.3974,6.4063,6.3016,6.3077,6.1125,6.2637,6.2601,6.3346,6.3346
"mzrA",2.9829,2.4805,2.4279,2.7276,2.9793,2.3633,3.0094,2.5408,3.137,2.9535
"bglA",0.4088,0.3165,0.4985,0.3547,0.4016,0.3548,0.4061,0.3848,0.3764,0.4524
"rep",0.7331,0.9094,0.827,0.773,0.7088,0.8255,0.5654,0.7881,0.5952,0.6308
"nadB",0.4581,0.435,0.4464,0.4199,0.3743,0.4252,0.3989,0.4395,0.3771,0.4054
"gshB",4.8123,4.3851,4.201,4.629,4.765,4.4691,5.4232,4.4387,5.187,5.2747
"cadB",1.4412,1.58,1.4668,1.8477,1.5654,1.4643,1.5509,1.7173,1.3696,1.5034
"yhfA",4.5815,4.7418,5.0732,4.9853,4.7165,5.0158,4.6643,4.9712,4.5717,4.6847
"ynaI",1.9257,1.8795,2.499,1.965,1.997,1.978,1.8673,2.007,1.7285,1.8804
"cca",2.7857,2.7167,2.5686,2.6513,2.7905,2.7008,2.8431,2.5978,3.0022,2.9197
"alr",0.6624,0.7459,0.5529,0.8064,0.6334,0.5992,0.4635,0.6266,0.5444,0.5884
"dolP",4.9549,4.8318,4.9379,4.8457,4.9329,4.9152,5.0035,5.0354,4.9116,5.0002
"gmm",0.7655,0.7706,0.751,0.5252,0.6475,0.5946,0.6452,0.6308,0.6642,0.7233
"nemA",3.3143,3.2261,3.5467,3.4163,3.4912,3.4419,3.2708,3.4152,3.3324,3.33
"rhtB",1.4059,1.4818,1.8065,1.9263,1.7147,1.4928,1.465,1.7285,1.3878,1.5943
"rmf",8.1311,8.1311,7.8076,8.3564,8.2713,8.2713,8.2713,8.1311,8.214,8.2713
"ydjK",1.2549,1.5309,1.3933,1.3042,1.2275,1.5987,1.1386,1.5428,1.227,1.2916
"fdhD",0.786,0.5392,0.4886,0.4727,0.5914,0.667,0.6564,0.5449,0.6072,0.7236
"ftnB",5.2699,5.2114,5.3259,5.9506,5.5791,5.3293,5.2095,5.2546,5.0576,5.3926
"ebgR",1.8024,1.7988,2.0344,1.619,1.6002,2.038,1.9791,1.8276,1.936,1.9484
"ydjH",1.9332,2.1993,2.2675,1.9456,2.0821,2.4496,1.6224,2.1746,1.586,1.4681
"hinT",4.1383,4.4787,4.5048,4.551,4.1554,4.6008,4.1666,4.44,4.1585,4.4387
"hxpB",3.4355,3.3814,3.4035,3.5275,3.543,3.1504,3.5614,3.4428,3.5639,3.6103
"ygbJ",4.1974,4.2954,4.0991,4.3027,4.3038,4.6071,4.5427,4.4994,4.5527,4.4232
"flu",0.3557,0.4386,0.3093,0.3298,0.364,0.4382,0.3759,0.3543,0.3139,0.4137
"malK",2.2329,2.1558,3.9122,4.8478,2.0481,1.9534,1.6109,1.8572,1.7892,2.3952
"otsA",1.3419,1.207,1.4148,1.5153,1.4949,1.3667,1.4833,1.5193,1.6049,1.3905
"hyfG",0.6259,0.7536,0.635,0.6948,0.6203,0.8479,0.5564,0.6522,0.5548,0.5688
"gabD",1.3925,1.0512,1.3626,1.3146,1.3972,0.8138,1.517,1.1681,1.7447,1.4701
