"","0","0 | 1","14400","14400 | 1","0 | 2","0 | 3","14400 | 2","14400 | 3","14400 | 4","14400 | 5"
"thrL",0.910505358576448,0.83354962379937,1.09825737315366,1.20010478860431,2.00544459090168,1.79183417177441,1.09920012703385,1.28635926082297,0.809390843920566,0.65457916781098
"thrA",0.943751007116985,0.947604192734449,1.02879327840676,1.08761683211148,0.942384851069045,0.945066110325839,1.00213899375192,1.03940704817114,0.913209581071452,0.807919972041772
"thrB",0.951737663043207,0.900967003699035,0.897036131879346,0.897778667323197,0.973943751921381,1.00730914289072,0.97727521936393,0.838542917251875,0.954589055571019,0.914803815421112
"thrC",0.87818219958466,0.903097556256727,0.719761758546916,0.744941445891307,0.895212797749524,0.906111092586331,0.773215964432553,0.704865025690416,1.01668448095693,0.797591383897589
"yaaX",0.716382709402212,0.67037838262753,0.631804781255617,0.641009159924884,0.83777013108158,0.832199766672138,0.922687384758514,NA,1.03091935754795,0.878092507165913
"yaaA",0.850232659162835,0.956751575022388,1.26693224691279,1.07408685188298,1.09810170013178,0.953369448550171,1.04357404060732,1.11496503860822,1.02498895803497,0.985797923356627
"yaaJ",1.10481026184348,1.19954376342516,0.894495006129931,0.776819921407709,0.925144398359799,0.746532721469932,0.973532931071733,1.04997074565531,0.942790621875752,1.21252850111675
"talB",0.940319370672621,0.82201670743585,0.634965496820488,0.604793897649654,0.777248117248713,0.739214785804162,1.14350673426516,1.1362196093993,1.39276062406084,1.29539615052179
"mog",0.97840633080095,0.923995098028544,0.856521471069775,0.857850404116207,0.893968256841791,1.01058904637824,0.844666595380255,1.04531064749162,1.03546710258926,1.09626671431584
"satP",0.873624403717181,1.09376233260755,0.783433810036761,0.854022944817349,0.951555459732782,1.07642772475378,1.07294909389161,1.09100874677289,1.13545907077278,1.33801185356632
"yaaW",1.13832994144987,1.01466031568248,1.02374139185913,1.0340083328015,1.12005904782805,1.13116071217649,0.947827721641596,1.18899797251894,0.911534213203588,0.875551129987886
"mbiA",0.88247282768292,0.949762223698146,0.80657936871211,0.799525639795237,0.857683136940575,0.894653538604214,1.04171888646852,0.80220415850651,0.965970489257785,1.09532875021712
"yaaI",0.992035073324624,0.99490626514192,1.05116336569851,1.10335706729683,1.12129285270193,1.12339312424031,1.11881131223135,1.27197923421781,1.10850696345332,1.16848293048911
"dnaK",1.1883226633451,1.09552652998859,0.31619005697044,0.292115122893985,1.13774241318057,1.11306395795214,1.60720784144438,1.15267202674613,1.24321401867149,2.11799833911086
"dnaJ",1.0060808892606,0.99326629313437,1.16896259938183,1.14982563288503,1.39435217083549,1.28812196806053,1.33235293479632,1.28271756520033,1.16266168348581,1.49798836987181
"insL1",0.805465056530043,0.920773827923616,0.569135533558867,0.566103363671784,1.14458938150173,0.977210078435932,1.12651149811798,1.01097603722347,1.5133819946629,1.37252447619042
"mokC",1.29016649110549,1.25587108554354,1.15825603625456,1.34838322665467,1.28233499999717,1.07641507207698,1.12197118388075,1.14625817339868,1.13991471159314,NA
"nhaA",1.20477346810947,1.25681090355023,1.12794676080517,1.11626559814778,0.876914261428041,NA,1.33441172185723,1.05589281035149,0.936665041779199,1.34813811095783
"nhaR",1.29051732900322,1.13860041998866,1.27285555415051,1.31707052640406,0.762389715079671,0.803424920798566,0.880088376905198,NA,0.909713013344211,1.17413148129014
"insB1",0.966882693321782,0.929084787583538,1.26518418222248,1.42081859969495,1.21408017590238,1.21195679319476,1.13106814581894,1.24474641129243,1.16713235204851,1.28511114079242
"insA1",1.07253352213708,1.08725461836858,1.6922597089191,1.76354275302423,1.11514963622324,1.01781441145193,1.25017280150267,1.09839986478553,1.06495661643395,1.20362745721751
"rpsT",0.909658368330007,0.853394612551388,1.18518821011494,1.09262171585855,1.06306308589705,1.00112839216388,0.798705692972808,0.816255277189212,0.8354246660214,0.911667948012188
"yaaY",1.06409614903383,1.07076253915866,1.21327064904174,1.20766608231883,1.01105024571696,1.06812446996975,1.13752897111096,1.105384316154,1.0515326053027,1.25744844396297
"ribF",1.23170171719628,1.09594283692253,1.13391273663667,1.03986203954904,0.997517061175991,0.94116389176367,0.949181174917727,0.988570678383825,0.84712044967104,0.745712407474937
"ileS",1.28486165199321,1.27269510468455,1.20081608068589,1.13513249053271,0.844030890565373,0.811608943483795,0.840724744071333,0.724098241853147,0.849945596509011,0.803238451099269
"lspA",1.11549243762404,1.2067504518679,1.36368003736131,1.05958728819624,1.0021827751418,0.95496251600551,1.26879182877977,0.980223454732295,0.937676107151856,1.12971854398574
"fkpB",1.03605198601658,0.978372210146227,1.05474341462257,1.11460104180497,1.04713902167641,1.06698047345514,1.0138576303684,0.978631395659921,1.04065340529652,1.14480294935803
"ispH",0.970014712929861,1.02577715881022,1.10068581887295,1.05833946303192,0.962034259778289,1.05757163710446,0.975326020022186,0.910583527952658,0.921219042199037,0.866566560280677
