"","0","1200","3000","6600","0 | 1","1200 | 1","3000 | 1","4800","6600 | 1","0 | 2","1200 | 2","3000 | 2","4800 | 1","6600 | 2","0 | 3","1200 | 3","3000 | 3","6600 | 3","0 | 4","1200 | 4","3000 | 4","6600 | 4","0 | 5","1200 | 5","3000 | 5","6600 | 5"
"thrL",1.07251661681794,0.855002177891973,0.66989180121392,0.914465089499901,0.784040454075739,0.489370825198718,0.63287829698514,0.710053679271714,0.66158571995406,0.399702915176236,0.759435844907265,0.586824089140676,0.835087919428369,0.72396908618978,0.872967591133763,0.948026965128645,0.759962428200758,0.572362080299342,0.802737388715953,0.770571108358408,0.803850990743151,0.77431902785322,1.03239853548324,0.967947026893737,1.27544439167854,0.970634469769547
"thrA",0.491751037013124,0.485317234884773,0.308213081365952,0.318419368831625,0.605836330215122,0.55980644432712,0.302918165107561,0.222518933313124,0.124481219136807,0.434973676354325,0.431370672271328,0.352818960852173,0.440740078953585,0.329419987933535,0.278355404557172,0.291991848653279,0.293819082104943,0.220981882765918,0.588453368609384,0.181998693624886,0.227509706020225,0.305660069423017,0.477641468191219,0.406971592535217,0.285388676781693,0.395294558301972
"thrB",0.545253866332629,0.564091068728256,0.440740078953585,0.494142825750366,1.01325690015909,0.472701058375372,0.410086455598363,0.457232544749951,0.255784367433608,0.48700213427162,0.682073917439677,0.438606774366411,0.529976391698641,0.276816146121071,0.741233504901418,0.797745239809033,0.332632260270172,0.293615492803413,0.882702996290655,0.617281303446769,0.473356815618357,0.450625231305415,0.516557193842066,0.597495602428391,0.583983697306559,0.859756486243006
"thrC",0.640379930664885,0.478967609111348,0.333555792419442,0.360482217865056,0.794985250948974,0.51298907266857,0.525950889601936,0.316658563430804,0.178872065002864,0.65610562729598,0.482968164462423,0.512633618944297,0.382624192455667,0.313817997820661,0.47664927264408,0.397492625474487,0.865736565519658,0.275285399524491,0.995159721820083,0.328507906787343,0.32805281364799,0.302498522304823,0.94278453591824,0.641268301381124,0.484644908467532,0.605416541975277
"yaaX",1.42405019559707,1.11187915751711,0.754190038343289,0.959264119325264,0.871154192142256,0.726482524785685,0.630688704415625,0.674083865868528,0.609205131837596,0.874784764905822,1.404444875738,0.974679630891549,1.05336103595484,0.622868707784737,0.880259013563151,0.903126510151822,0.781327880172317,0.804966137621122,1.04318859352986,1.37554181813974,0.938871747315452,1.26050339158299,0.850863729506541,0.799960128332753,0.752623373705534,0.86035263061144
"yaaA",0.634635443009902,0.665264520540343,0.748461493396346,0.728499556949005,1.01045144648676,0.891928519420093,1.07848043169445,0.927230546435463,0.780245480173703,1.19664896323071,0.953959550547558,1.15428541751684,0.931094819830229,0.820172911196726,1.86089931540603,0.842062953608416,0.88884268116657,0.780245480173703,1.12194348053048,0.971307495541633,1.05995278339728,0.951977908497531,0.967947026893737,0.903126510151822,0.90125046261083,1.16070391438372
"yaaJ",1.08297504552592,0.79608809877878,0.7791645796605,0.853226098112067,0.806641759222126,0.868742185150623,0.828170661334546,0.847919964633148,0.93432734688318,0.974004268543241,1.14155470712677,1.30585978708892,0.968618189226628,1.11187915751711,1.09809281378705,1.0882424416708,0.64976953122772,1.34071259158034,1.15029189335061,1.00416754323897,1.06437018245336,1.17121018121881,1.34723357686569,1.13839402907488,1.32592576029866,0.911301280637142
"talB",0.662962880149329,0.66158571995406,0.599569956895556,0.682546858942583,0.692554734055462,1.05482231706806,0.54942710878844,0.77431902785322,0.524494663787473,1.24056729771539,0.953959550547558,0.629378586752429,0.862741344542656,1.10649735309227,1.00556058039847,0.68968046091353,0.899378312147752,0.581560020773925,0.927230546435463,1.22943886725458,1.14234624684855,1.27103168930567,0.647521499427212,0.501040802539816,0.639049681601526,0.473685035299634
"mog",1.5691681957935,1.13602926478669,0.9841840220338,0.830470024090894,1.0475361270998,1.07997655983288,1.30044014654848,1.06437018245336,0.835087919428369,1.18509277094158,0.959929261038908,1.29953906245544,1.08899701533611,1.29414565448285,1.17527632841977,1.3995858655952,0.556710809114343,1.13524210214606,1.20999408921929,1.04463576286423,1.02811382665607,1.65863909162888,0.80552429104875,1.37554181813974,1.56157298521478,0.936272247434492
"satP",1.65290063630842,1.85574695294257,1.71832150989437,1.57025623734714,1.00695555005672,0.891928519420093,1.08447740884306,1.3707828049797,0.879649075922436,1.23799029083745,1.27456062731926,0.853817714391245,1.558329159321,0.870550563296124,1.11728713807222,1.10114159809796,1.87254449486898,0.995159721820083,1.24487423538217,1.3556643268,1.15829280619464,1.40347172603908,1.0882424416708,0.990342871933025,1.71594106085738,1.22943886725458
