"","0","120","300","300 | 1","900","0 | 1","1500","2100","2700","3300","3300 | 1"
"thrL",NA,NA,4.523764623325,NA,NA,NA,NA,NA,NA,NA,NA
"thrA",1.09219453718505,0.689922009844047,NA,NA,NA,0.788860117618554,0.793414256777125,NA,NA,0.892894196064983,0.765949258372888
"thrB",0.971180603383293,0.840040065263769,0.816206407854934,1.16011221614805,1.30767553892022,1.20032817416267,1.15133047415582,1.59257538887104,1.53320419903491,NA,1.13893778187571
"thrC",0.958517397685646,1.03992016582906,0.6908758310498,1.36930438839121,1.06512358166138,1.00253605396052,0.816958508039715,0.98242634475827,1.14788927979018,0.889201117857948,0.751969108865265
"talB",1.15584606815622,0.892483097758035,0.3372096543266,0.812830516164099,0.7404572674509,0.510975409054676,0.706480208615654,0.752488730173584,0.647440704568815,0.536537399519852,0.487191833643678
"mbiA",NA,NA,NA,1.53780050788105,0.986733788718561,NA,0.560144401928534,1.03466557584244,1.4444416411067,1.3471005082758,NA
"dnaK",1.30376704713821,1.29568669751702,0.533457714525135,0.807978863683088,3.30141408645912,6.57506423474998,9.4514839244073,16.0140064834435,15.3038253217744,21.9937862509677,22.2279801356456
"dnaJ",0.885523314502855,0.849376028579692,0.943626220276727,0.953893742841545,1.03490384382612,1.8901662311869,2.48713867022284,3.01995172040202,3.36976798584404,5.50680882846829,5.52586155630078
"insL3",1.06610504864678,1.06905487922266,1.46184053447879,0.733668714418359,0.659933234263564,0.977687358967421,1.14393144953931,1.2348096078586,1.13867556195021,1.33014810479408,1.48867535949236
"nhaA",0.657506423474998,0.631684179287516,0.52541201511008,0.504428945952414,0.715648886692699,0.638410468710758,0.528932192048721,0.906358474958075,0.772858521860332,0.710722394409093,0.695664753528352
"nhaR",1.94401673851302,0.717794291271362,1.31129377644093,0.632266249929688,1.12021143090511,1.47095707679698,0.403273792976113,0.692946969842556,0.89084059640082,NA,1.11147577106051
"ribF",0.843334757764275,0.704368620528747,0.606596639468753,0.489553319813954,0.428153994337418,0.431221096940127,0.224388192378277,0.543500565129447,0.567413938477908,0.408883890267698,0.491586559156862
"fkpB",0.70761983835979,0.506523967550882,1.10458718398863,0.370936867413228,0.413618542572662,0.391020926126814,NA,0.346178426837559,0.415719120675218,0.226986485188382,0.298469528830134
"ispH",0.710395170002956,0.629941180548559,0.732318490686162,0.637675894432609,0.468921342844735,0.295324855405551,0.338220556669654,0.457930953151744,0.583042213843286,0.297235036191203,0.395457667078464
"rihC",0.998849369936505,0.893099816223518,0.985825391709997,0.91264105176751,0.917487170297663,0.978137704322986,1.04736968607039,1.19481316716119,1.44943919128779,2.12617985986252,2.66747280212458
"dapB",1.20837018202693,1.00253605396052,1.94312169182842,0.700648182865412,0.625892863921441,0.503152922989318,0.561306407675201,0.739434994255187,0.88084602736226,0.531006698966284,0.604505142865346
"carA",0.901571137605957,0.959179746787969,2.23923668251236,0.653431399649599,0.480396682929681,0.846252568807269,0.666653248956303,0.708108813693838,0.767891747023144,0.729289565791723,0.654334772373758
"carB",1.01344456978479,0.942757508527416,1.44045601024638,1.04688746554909,0.897428794500748,0.684226672765951,0.409449174632688,0.632120682005268,0.762956891161533,0.492492929605027,0.777499288015974
"caiF",NA,1.16734707649219,1.22236244927873,1.23623205362496,2.93224328230311,7.83429642766212,2.4882843036797,6.9326615720512,4.51647904929112,5.96897829954636,10.3705072632576
"fixA",NA,NA,1.73380399775414,1.22546242640942,1.18740808038295,2.148325087316,NA,1.00530999402313,0.944930789034299,NA,NA
"fixB",NA,NA,NA,1.84671552398671,1.57253384007691,NA,NA,0.953674125975585,1.69238824443642,NA,NA
"fixC",NA,1.13161839888886,NA,1.40184500979848,1.28795295541997,2.48713867022284,1.82515604009137,1.4866200985286,1.60546188680097,1.35207256319428,1.72107580775885
"yaaU",NA,0.617305291888684,1.11249994965645,1.58452829932871,1.1091748152624,0.909284943853064,2.25631639962815,1.30046898761164,1.72464613707425,1.89932812821848,NA
"kefC",1.45982232159806,0.740286790491935,0.983558056226958,0.713345621670223,0.828132826390746,0.974540741766306,0.212128978188307,0.693106545149936,0.709904615855287,1.07969228970169,0.96560609854155
"folA",0.993802305681118,0.527715681764812,0.563767453135264,0.384768933893788,0.490681856767952,0.371535229097173,0.251420103015902,0.407567926559489,0.582639601623575,0.269960360861501,0.339000235575617
"djlA",0.749031358510757,0.372563238466604,0.772147020564513,0.445964203179319,0.928538680439701,0.527594184726995,0.0517964505605033,0.64788809526878,0.756136147077729,0.405882194661918,0.562989117394243
"yabP",NA,NA,NA,0.553222710312372,0.924485278826536,NA,NA,0.29013491821234,0.526501969376915,0.566369685464721,NA
"yabQ",NA,NA,NA,0.795243265533396,NA,NA,NA,0.644169265515177,0.521554864034876,0.284839359153236,NA
"araC",1.29628352070507,0.55539248624348,0.810401059239934,1.42955214003704,1.67455725057512,2.20698814335858,2.07109490366034,3.31283648117281,2.56684710166787,2.03376139842574,2.94645627086504
