"","0","0 | 1","0 | 2","17700","17700 | 1","17700 | 2"
"ppdD",0.850262116472922,1.26835469928666,0.841908424454409,0.478128388091143,0.809072278647754,1.64018951606929
"yafE",0.930563548568116,1.90763427845884,4.93021007574352,0.468529386270979,0.937061579120553,0.785996957441286
"betB",0.767633413205395,1.00514072468248,0.749990853257254,0.60096526683806,0.91598589311737,1.28256216849457
"nhaR",0.693674618710722,1.40505668491637,1.69432261433767,0.62125275906512,0.995611847363665,1.25629446533549
"coaE",0.831135940243802,2.05539555476725,1.59688697410248,1.00833179314071,1.08150396687034,1.13213177570796
"gmhB",1.09058543484885,0.691777623202653,0.845423633474906,1.34123877971181,0.911006028452322,0.721799595072382
"insL1",0.919372629719021,3.12119124860491,1.72232447269652,1.28797594314408,1.14779385920738,1.1160604321825
"secM",0.981701658663019,3.37535921756582,1.34284595961886,1.04909670960741,0.906462414181668,1.2481067469505
"rcsF",0.706951891389609,1.78961342859692,1.21982696499983,0.801238269903262,0.786390890061692,1.59933166724795
"ykgE",1.06061446230723,1.33414914692201,1.19463198994049,0.937093696565086,0.718212711845563,0.825074400876853
"mbiA",0.967919243420501,0.765180021403753,0.645751694858569,0.57102064791006,0.443191619739698,1.28992114766018
"ftsQ",0.883027330865584,1.01728654237931,0.776197221000356,1.03757810986506,0.830434910917927,0.941492050767694
"nlpE",0.688130657964315,0.3604223676381,0.801710879299217,0.838615170614532,0.719798716572788,0.670770133751392
"talB",0.97768017376324,1.55983671015724,0.924165432477113,0.301838631001521,1.14414523188866,1.32864849672062
"tilS",0.689959575757664,0.474825430034703,0.510010842752963,0.817064997271828,0.747430296227057,0.737283346829016
"eaeH",0.807415764889777,0.288313520119651,0.560691082972128,0.318051120437356,0.539265601600628,0.57102131523153
"thrC",1.01451328342718,1.29770798829259,1.13406433885662,1.30477093578577,0.968043455707892,0.764352389680384
"murF",0.902714540535423,1.07740498615728,0.953434120433524,0.89212690862294,1.14143976262051,1.04463068268687
"dnaE",1.01041672096898,1.32018223433813,1.45905187134073,1.31591426494476,1.06747439350401,0.913235578918203
"ecpA",0.757822357287683,0.763472100601422,0.692740408603409,0.589014719654241,0.802296126483394,0.871252293575653
"ribD",1.01723874349228,1.62413793936758,1.25541768035092,1.20724838789331,0.990102129738766,0.908859087065599
"citT",0.747643046194078,0.922775149742478,0.65442797728426,0.68423169863912,0.68353762424918,0.809968838421872
"ybgD",1.48480472645893,1.08138709808994,1.40312054090604,0.777549450162647,0.963737279542044,0.771245337656462
"yajD",0.907792286576555,28.1276879453603,0.874724275243989,2.87241656587741,1.01504628624833,0.951028130918411
"hyi",2.28203318777768,2.13971509164107,1.50211521972745,1.37437661179841,1.07313837181021,1.22911215167945
"ybdR",1.04994932936625,0.35544021223171,0.958964323802615,2.72874882879927,0.846184668066649,1.22049830877416
"abrB",0.722777973414558,1.2256674535192,1.30037755148193,1.40295830437256,0.587284243587405,3.94577413414954
"tgt",1.05484065951521,1.60051961967128,0.993231165454248,1.30863124396303,0.845236993369638,0.839732859616302
"allS",0.928702024500318,1.00919901197381,2.05737861444725,0.84550776659675,1.03378805805311,2.38272358158537
"dsbG",1.2295077842991,1.17823526244015,1.82814161179974,1.12192010317724,1.01804564400882,0.868704438580506
"pxpB",0.889437752004957,0.419028653499609,0.741473656598267,1.5384056688847,1.04903806794223,0.994669633464397
"proY",0.709202484277893,0.378704655286624,0.680782293736636,0.956119439738713,0.683898465771518,0.91718976756696
