"","0","0 | 1","0 | 2","3600","3600 | 1","3600 | 2","7200","7200 | 1","7200 | 2","10800","10800 | 1","10800 | 2","14400","14400 | 1","14400 | 2","18000","18000 | 1","18000 | 2","0 | 3","0 | 4","0 | 5","3600 | 3","3600 | 4","3600 | 5","7200 | 3","7200 | 4","7200 | 5","10800 | 3","10800 | 4","10800 | 5","14400 | 3","14400 | 4","14400 | 5","18000 | 3","18000 | 4","18000 | 5"
"amyA",10.212868,10.382896,11.036253,10.861999,10.729334,10.719114,10.344085,10.504199,10.62051,11.008925,11.297952,11.145786,11.27622,11.343303,11.551633,11.563745,11.297086,11.005778,10.079822,10.024294,10.584887,10.147449,10.069083,9.899355,10.331494,10.526796,10.268928,10.363186,10.671109,10.553264,10.142936,10.305865,10.127536,10.166176,10.088533,9.843312
"ftsZ",13.245102,13.278568,13.341051,13.352863,13.380482,13.300681,13.220256,13.331128,13.368013,13.376614,13.431267,13.431646,13.485876,13.562764,13.589851,13.554208,13.570279,13.542285,13.281669,13.200564,13.227781,13.228342,13.211565,13.217647,13.265378,13.323124,13.361766,13.221589,13.308438,13.308205,13.294703,13.316508,13.342162,13.229293,13.207674,13.186646
"rfbB",12.796665,12.937881,12.993357,12.970114,13.143345,13.110925,12.985571,12.983974,13.101758,13.051415,12.883571,12.757738,13.023812,12.840576,12.795089,12.704514,12.577242,12.627241,13.026891,12.92702,12.861981,12.973072,13.048865,12.996513,12.91913,12.920119,13.028633,12.815761,13.001656,13.084794,13.011211,13.09588,13.001739,12.885553,12.899938,12.703595
"nanE",9.169557,9.419964,9.53881,9.936012,10.137187,9.963691,9.811632,9.816491,9.939859,10.281734,9.94687,9.754904,9.789372,9.760972,9.838126,9.69979,9.688804,9.574213,8.531838,8.706078,8.667876,9.492709,9.24114,9.622375,9.879997,9.934461,9.537977,10.515848,10.241461,10.400606,11.99355,11.644428,11.381694,11.924599,11.505673,11.005445
"hyfJ",8.399597,8.556903,8.647003,8.72854,8.857114,8.990625,8.746087,8.665544,8.693273,8.585694,8.72397,8.647068,8.929873,9.076325,8.94646,8.882016,8.971627,9.249471,8.627202,8.875437,8.582346,8.97653,8.65681,8.776388,8.754852,8.606736,8.559292,8.624781,8.859308,8.762665,8.752877,8.746471,9.236822,8.69642,9.752933,10.7525
"yhcA",8.795317,9.203293,8.774756,7.908099,8.127518,8.298322,8.37444,7.571555,7.703024,7.503203,7.77065,7.644603,8.07263,8.015211,7.258236,7.526917,7.766043,8.444737,10.25857,10.743299,10.604198,9.016222,9.012883,8.43021,9.147272,8.419132,8.269313,9.607221,9.364778,9.206748,9.292161,9.160463,8.949621,9.090114,9.622061,10.074977
"slmA",11.96448,12.083741,12.11848,12.024893,12.086609,12.121299,11.880432,11.924322,11.900429,12.168786,12.077718,12.090464,11.905163,11.949237,11.941916,12.129686,12.243377,12.215471,12.219632,12.090179,11.994279,11.889014,11.906737,11.961459,11.730511,11.857003,11.992652,11.592428,11.782206,11.785773,11.798579,11.852961,12.022404,11.754394,11.732196,11.833792
"priB",14.363863,14.355966,14.346361,14.165304,14.243398,14.241694,14.213744,14.278743,14.279628,14.362079,14.264183,14.252702,14.243567,14.189151,14.232315,14.173291,14.188108,14.212491,14.537487,14.477977,14.471466,14.261445,14.216834,14.349921,14.266748,14.360043,14.466854,14.348294,14.374488,14.353111,14.316736,14.360856,14.39448,14.349649,14.330645,14.313323
"htrL",12.012884,12.042034,11.905163,11.572779,11.742537,11.797114,12.01717,11.58867,11.511768,11.104867,11.287098,11.445294,11.616863,11.24172,11.366495,11.762876,11.940248,12.00091,11.834463,11.997177,12.015882,11.517301,11.895743,11.417078,11.426936,10.922205,11.138313,11.222105,11.304163,11.233983,11.178802,11.244687,11.022168,11.040186,10.939695,10.704794
"tfaP",3.272971,3.276455,3.22015,3.315368,3.297173,3.23701,3.305564,3.316414,3.346901,3.467142,3.348783,3.27112,3.282281,2.930354,3.269092,3.256847,3.161127,3.162969,3.624845,3.185891,3.506188,3.561374,3.238843,3.427896,3.335329,3.117982,3.174605,3.49422,3.213385,3.396901,3.418359,3.057914,3.393586,3.239867,3.334202,2.996136
"pgpB",10.665889,10.724523,10.632642,10.655042,10.488438,10.511376,10.568299,10.553571,10.382991,10.362087,10.080255,10.106707,10.182567,10.167121,10.398087,10.141692,10.117443,9.960321,10.456017,10.518767,10.652355,10.578673,10.516983,10.519645,10.368734,10.421727,10.560923,10.353711,10.222032,10.239108,10.234174,10.218509,10.154464,10.273246,9.64713,8.962932
"cspF",12.727155,12.566258,11.774848,12.229329,11.804716,11.861994,12.500278,11.266639,10.90738,9.761339,9.612878,9.558448,10.028651,9.038146,9.171164,9.082328,9.151608,8.88954,12.596718,12.667289,12.537437,12.196532,12.358606,12.003112,12.357318,11.787339,12.212436,12.540699,12.101852,11.844226,11.806041,11.226621,11.036861,12.200371,11.612626,10.172358
"rpmA",13.786978,13.644041,13.690379,13.263206,13.306275,13.301813,13.270436,13.211965,13.124256,13.468039,13.146917,13.156362,13.16649,13.178273,13.070365,12.962697,12.993226,13.058889,13.77669,13.833649,13.728028,13.247723,13.50311,13.369272,13.349321,13.424507,13.546821,13.590405,13.523002,13.478961,13.448763,13.474848,13.537256,13.512824,13.509069,13.421097
