"","0","216000","540000","972000","0 | 1","216000 | 1","540000 | 1","972000 | 1","0 | 2","216000 | 2","540000 | 2","972000 | 2","0 | 3","216000 | 3","540000 | 3","972000 | 3","0 | 4","216000 | 4","540000 | 4","972000 | 4","0 | 5","216000 | 5","540000 | 5","972000 | 5"
"rsd",275.2,1053.9,2182.6,3917.7,220.2,697.1,1001.2,1357.9,184.8,115.8,1283.5,925.3,313.6,403.2,708.7,1922.4,185.1,573.5,859.4,1174.3,606.2,673.3,939.3,675.2
"nudC",628.8,558.5,790.8,954.8,595.7,925.9,668.4,1135.2,206.2,116.9,467.5,216.1,602.3,788.7,531,977.5,453.5,561.8,775.8,1328.4,286.4,329.4,321.7,402.1
"hemE",944,861,1120.4,829.6,944.3,1254.8,879,988.3,323.2,243.6,450.1,116.6,566.5,849.5,691,727.8,577.3,777.4,923.6,1009.2,460.6,407.3,354.8,406.8
"nfi",568.2,512.5,498.8,455.2,292.3,639,412.8,663.3,186.3,130.3,267.1,105.7,400,603.1,344.8,291.5,289.4,236.8,250.1,574.8,362.8,283.9,274.8,314.6
"yjaG",1391.6,964.6,791.4,536.5,1347.1,1090.8,802.7,648.7,533.6,249.5,455.8,227.2,1358.4,1177.5,694.1,420.8,1023.4,917.4,537.7,593,575.9,535.8,289.8,226.4
"hupA",4642.6,8198.2,20000.7,7923.8,3981.9,10727.9,13936.6,3350.8,2554.3,2629.6,7130.8,2069.8,11147.3,11372.4,11290.2,4259.6,10412,14124.3,10714.3,2917.7,6967.7,4737.7,4805.8,1457
"yjaH",298.6,555.1,455,480.5,302.5,619.6,313.2,392.5,124.5,154,247.7,91.9,637.3,612.5,419.2,204.8,607.1,471.4,232.9,338.5,444.1,292.2,202.5,101.5
"zraP",86.4,340.2,382.6,37.3,82.9,287.7,32.4,42,38.3,11.7,107.6,54.8,111.2,169.9,190,131.6,215,80.2,29.9,39.3,28.7,62.1,54.7,45
"zraS",134.2,221.1,98.1,144.8,154.5,386.9,139.3,178.8,48.8,54.2,106.2,33.3,117.1,198,200.9,205.7,263,196.4,105.6,270.5,105.9,106.5,86.3,50.9
"zraR",459.3,578.3,112.5,700.1,436.7,661.5,385,530.3,216.8,161.5,244.9,137.5,383.3,460.8,403.6,308.6,564.9,715.1,513,589.5,290,256.8,202.7,125
"purD",413.7,443.3,152.2,566.3,489.3,843.2,345.5,401,266.4,151.5,247.2,106.9,263.5,465.9,402.3,254.9,635.2,470,637.9,585.6,164.9,254.4,144.3,111
"purH",236.5,282.5,65.2,309.8,236.2,255.2,90.5,339.7,222.9,138.4,134.3,61.6,252.7,376.4,281.7,194.1,325.5,207.8,117.7,378.7,159.9,129.6,125.6,62.7
"gltV",11733.8,23046.3,18298.9,41492.9,41532.6,96721,60034.1,67300.2,4463.1,7132.9,7401.3,7638.2,1162.7,6818.5,2000.6,9261.9,115678.5,86759.9,72827.1,121366.1,6881.5,6724.2,7947.3,7934.4
"rrlE",98.7,4978.8,5982.4,53429.4,22554.3,4018.1,23117.7,3243.5,8068,9585.9,10876.3,9666.3,953.4,1575.5,1754.8,4176.2,51473.9,19018.5,5260.8,4528.1,11784.9,7455.9,11047,12892.6
"rrfE",5624.9,7490.3,7671.8,20306.3,50004.9,92973.2,101722.5,85163.9,9430.6,11141.4,12147.8,9806.1,953.4,1310.9,1500,7655.8,112344.4,94160.7,98980.1,110819.4,12826.4,9721.5,12428.8,12080.5
"yjaA",508.2,98.5,6.5,78.9,585.7,192.9,29.7,51.8,192.9,42,21.4,37.7,905.9,336.6,58,83.5,429.2,147.2,127.1,73.2,131,126.7,37.9,27.4
"yjaB",378.6,363.8,57.9,565.9,405.6,594,491.2,532.7,117,108.3,299.2,125.2,361,415.2,309.5,770.5,345.9,523,683.7,523.5,194.6,167.3,150.9,164.8
"metA",169.1,216.2,73.6,329.3,77.5,111.2,116.7,111.1,53.5,56.4,107,76.9,226.5,200.6,274,201.5,246.3,138.1,163.8,215.8,97.6,88.9,133.9,88.2
"aceB",14.6,294.2,18.9,847.2,22.3,282.8,1870.1,4152,15.6,36,1593.7,662.1,70.2,101.1,222.5,1162.2,120.9,187.2,2281.6,6641.6,112.6,102.2,1615.3,2001.8
"aceA",101.5,275.6,71.4,1718.4,35.8,364.2,863.1,2208.9,29.6,31.3,995.7,525.8,54.8,123.4,385.3,1448.5,121,205.2,1254.5,3592.4,73.5,75.7,1080.6,1361.9
"aceK",70.2,172,69.2,477.3,212.7,442.4,269.9,539.9,105.8,23.8,235.4,105.3,54.9,94.8,25.4,211.4,209.3,197.4,406.9,620.4,65.1,126.4,173.5,155.5
"arpA",43.6,52.1,8.8,80.2,7.5,14.6,12.1,42.1,2,2.1,5.1,1.6,3.5,19.1,4.8,7.8,16.7,11.4,11.8,97.7,3,2.1,7.7,0.8
"iclR",723.4,350.6,261.9,317.9,586,568.2,375.2,363.2,273.5,105.8,204.3,212,546.5,570,352.2,352.4,614.8,488.4,334.3,547.7,502.8,383.1,163,252
"metH",286.7,363.2,531.4,377.6,344.5,682.4,285.5,372.9,224,117,263.4,89.7,292,386.2,301.9,194.2,263.6,511.2,520.8,564,221.2,273.2,143.4,114.7
"yjbB",158.1,268.7,332.9,76.7,187,467.7,397.1,110.8,50.7,52.5,197.2,48.2,175.7,89,196.2,398.1,160.7,191.5,211.6,292,104.2,118.3,142.2,124.8
