"","0","216000","540000","972000","0 | 1","216000 | 1","540000 | 1","972000 | 1","0 | 2","216000 | 2","540000 | 2","972000 | 2","0 | 3","216000 | 3","540000 | 3","972000 | 3","0 | 4","216000 | 4","540000 | 4","972000 | 4","0 | 5","216000 | 5","540000 | 5","972000 | 5"
"thrL",565.6,612.2,1373.5,5860.2,656.7,1452.5,677.4,2908.3,92.9,126.8,675.3,1512.7,5329.2,2400.2,5845,13120.6,2850.9,1334.9,2845.4,2512,668.9,639.6,1181.9,841.1
"thrA",221.9,384.5,756.5,797.9,423,603.5,732.1,802.9,56.2,133.4,266,165.5,214.3,330.5,613.9,792.9,425.4,642.6,688.1,1081.5,218.3,259.3,279.6,316.4
"thrB",207.2,389.1,558,752,239.9,361.1,546.9,505.8,50.9,118.7,128.2,75.5,202.7,299.9,553.9,528.6,513.5,518.7,492.7,737.1,164.4,119.2,181.9,189.5
"thrC",542.1,597.8,1381.7,1025,628.4,656.1,607,792.3,105.6,193.7,304.7,161.6,546.4,689,901.5,590,618.1,740.7,737.7,582.1,366,261.9,321.6,316.3
"yaaX",NA,NA,NA,NA,NA,NA,NA,NA,15.1,7.2,75,44.5,NA,NA,NA,NA,NA,NA,NA,NA,57,45.5,20.4,10
"yaaA",429.2,613.5,860.2,341.9,593.7,689.2,552.7,531.3,73.9,62.7,147.6,106,277.3,534.3,590.8,338.4,494.2,533.9,1353,590.4,110.9,164.4,100.8,90.8
"yaaJ",201.6,346.1,713.4,392.7,364.1,452.4,583.2,449.3,35.9,73.7,183.1,62.8,161.5,250.3,166.4,395.9,345.2,436.2,553,535.4,131.4,165.3,205.1,126.4
"talB",5072,10972.7,9548.8,3727.9,4420.2,4324.9,3913.6,3066.2,1417.8,1676.7,2451.9,747.9,4767.4,11358.4,9041,2142.3,7921,7130,2761.2,1696.2,3798.9,2976.2,1877.7,987.7
"mog",1454,1218.2,1507.3,1285.4,1938.4,1284.1,1296.1,1390.5,356.4,448.7,590.3,247.7,1388.4,1336,1154.8,1191.1,1353.3,1916.2,1201.9,1218.1,792.8,713.1,427.8,339.6
"satP",1746.8,421,481.1,772.3,4822.7,795.7,558.8,874,153.3,116,126.4,173.7,1221,430,409,529.2,694.5,451.7,467.5,667.6,152.5,205.7,145.5,184.8
"yaaW",NA,NA,NA,NA,NA,NA,NA,NA,58.5,48.5,72.3,52.8,NA,NA,NA,NA,NA,NA,NA,NA,104.3,112.2,85.6,92.9
"mbiA",53,81.2,69.1,126.6,219.5,251.7,160.8,92,7.9,6.8,14.5,16.3,68,54.7,57.7,60.6,221.9,180.1,279.3,186,11.3,21.6,31.5,16.4
"yaaI",179.8,231.3,257.6,275.3,353,415.7,103.3,229.5,41.3,38.3,63.1,45.8,155.1,213.6,118,173.7,330.4,259,93.2,300.4,47.8,46.8,78,53.4
"dnaK",4194,4158.4,8905,2786,6518.1,6047.1,2181.4,6347.5,1001.7,495.4,873,634.8,5739.1,4681.2,3774.9,2989.3,11528.9,2489.5,2065.9,3499.8,1343,1879.6,708.9,1147.4
"dnaJ",2008.7,1257.3,2529.5,1906.3,2469.4,1103,1220.8,2835.2,712.9,320,612.9,360.3,2199.9,1746.3,1410.3,1047.8,3678.9,1356,1076.8,1695.8,689.4,1018.6,455,802.9
"insL1",NA,NA,NA,NA,NA,NA,NA,NA,788,537.8,475.3,402.3,NA,NA,NA,NA,NA,NA,NA,NA,948.9,991.1,610.3,505.5
"mokC",113.9,178.3,181.9,522.9,328.5,269.2,236.2,229.4,36.4,45.1,144.1,103.9,183.4,155.7,218.6,398.3,480.3,342.6,396.6,323.6,69.4,58.8,135.5,116.1
"nhaA",6073.8,4927.1,6159.9,11377.7,7408.2,3515.5,4957.8,11158,1374,1457.4,2355.1,2604.8,6847.1,4790.7,7154.1,7253.1,4476.1,7014.8,5871,6968.3,1966.8,1765,1946.8,3255.1
"nhaR",1880.8,829,1217.8,1723.3,1997.8,888.6,713.6,1398.8,429.6,451.7,477.1,533.6,2099.4,1550.3,1630.2,596.3,2005.3,1627.6,1147.5,911.5,896.5,655.8,600.1,582.8
"insA1",NA,NA,NA,NA,NA,NA,NA,NA,312.8,576.4,408.2,331.1,NA,NA,NA,NA,NA,NA,NA,NA,1244.8,682.8,589,672.3
"rpsT",13859.4,4594.2,604.7,832.1,45466,4161.2,1272.9,1606.1,3283.7,3277.7,707.1,974.7,18390.7,12132.2,9168.6,831.4,17995.8,9947.1,1884.2,1017.4,3901.6,3024,878.3,650
"yaaY",NA,NA,NA,NA,NA,NA,NA,NA,8.6,9.2,67.6,62,NA,NA,NA,NA,NA,NA,NA,NA,66.5,12.3,49.5,83.3
"ribF",1741.7,1776.7,1489.8,1139.9,2501.9,1441.8,1259.8,2008,560.6,375.2,520.9,399.9,1438,1532.6,1364.5,600.3,1484.4,1420.6,1212,1674.8,1029.6,724.9,383.3,429.7
"ileS",2154.6,1685.6,1536.8,875.4,3565.5,2210.9,1718.2,2076.4,597.7,600.8,606.4,294.5,1452.8,1532.2,1324.6,487.7,2734.4,3023,1167.2,1019.2,1538.2,967.7,449.8,440.3
"lspA",1108.5,839.9,601.9,1032.3,1439.5,832.3,724.9,861.4,494.1,297.2,263.2,162.6,608.4,668.2,530.5,401.5,1123.9,891.7,638.9,483,532,698.3,320.6,246.4
"fkpB",1221.1,1049.8,709.5,811.9,1230.6,971.5,750.2,1029.1,395.6,214.5,358.9,179.3,923,1131.3,974,261.8,1258,1145.6,713.1,678.4,696.7,577.5,250.8,280.9
"ispH",1051.8,970.2,795,390.9,1223.1,932.8,857.2,630.3,332.6,229.3,296.4,164.7,827.4,1096.1,1003.8,268.1,1302.7,942.3,496.4,645.1,562.9,530.5,173,140.5
"rihC",215.5,1257.8,1760.2,412.9,372.5,1370.2,989.9,582.5,148.3,244.9,452.3,103.6,186.2,497.6,980.6,466.5,775.8,1284.5,749.4,513.4,382.8,303.7,294.9,111.2
"dapB",609.7,948.7,1628.5,728.3,1007.3,1418,1000,698.2,225.3,186.2,578.6,281,455.3,1051.7,908.8,461.5,756.7,1189.7,831.3,820.5,626.5,443.9,314.6,162.8
"carA",109.9,171.6,137.2,227.6,374.9,306.2,217.5,192.7,53.1,101.3,127.4,48.8,165.4,1035.6,270.6,164.4,420.7,387.2,290,211.3,101.2,61.1,85.2,59.9
"carB",453.9,364.8,370.4,651.9,640.6,614.6,583.3,306.6,159.1,165.1,231.4,102.8,611,1781,647.4,237,928.9,696.4,576.6,481.8,248.9,155.8,183,108.5
"caiF",83.2,127.3,687.5,128.2,224.5,324.7,387.4,199,32.2,62.6,271.2,81.7,141.9,192.7,132.9,198.8,210.4,288.9,359,288,50.5,86.6,192.4,46.6
"caiE",150.5,121.2,215.9,319.8,158.6,310.1,254.4,191.1,48.9,63.6,92,58.7,166,205,229.7,295.7,211,315.1,273.1,274.2,80.9,69.3,86.3,68.2
"caiD",651.1,422.2,547.6,708.8,173.7,321.3,220.6,301,68.1,179.8,102.6,63.9,462,525.7,559.1,279.3,353,63.8,301.1,121,169.5,85.7,196,122.6
"caiC",163.7,196.6,264,245,231.7,305.5,291.4,252.7,68.5,51.1,96.8,47.7,136,188.1,193,112.3,251.1,162.7,255.4,295.1,58.8,104.3,83.1,48.6
"caiB",257.1,248.9,265.5,341.6,237.3,419.7,371.3,348.4,77.8,64.3,146.3,72.2,202.3,297.7,217.3,220.5,376.9,319.3,288.7,519.1,89.2,116.5,117.8,87.2
"caiA",175,126,213.1,200.9,278,290.6,360.5,194.7,56.2,56.7,87.9,37.8,75,194.8,132.5,118.8,258.6,290.3,203.9,105.9,104.9,64.4,51.7,36.6
"caiT",83.7,79.5,157.5,73.1,260,488.5,312.2,129.4,36.2,20.5,69.6,30.8,38.4,52.4,19.7,166,226.4,231.3,49.7,516.1,54.4,62.3,68.7,58.7
"fixA",90.4,98.7,159.7,126.6,100.3,159.9,49.8,48.5,4.3,26,9.4,2.4,53.2,134.8,105.5,90.9,91.6,183.3,33.3,23.2,12.4,21.5,24.6,10.6
"fixB",240.4,276,283.5,373.1,296.8,411.7,126.8,308.7,67,73.1,87.3,46.2,183.6,381.7,254.7,244.7,295.5,251.3,285.1,308.9,79.5,83.7,62.5,58.1
"fixC",205.4,215.3,270,247.4,232.5,400.2,207,167.2,39.9,44.8,75.5,39.2,115.6,142.3,113.9,103.3,226,263.9,221.4,342.3,57.6,45,68.9,35.1
"fixX",102.8,129.3,125.8,259.1,172.6,263,73.8,252.9,68.9,32.1,90.5,34.7,69,59.9,72.2,109.2,202.9,52.1,232.3,84.4,14.7,86.3,39.5,12.1
"yaaU",106.7,126.6,151.8,155,182.9,317.5,176.2,233.2,8.2,10.6,7.4,16.2,109.2,136.5,107,120.9,139.4,215.9,321.9,284,29,9.7,28.1,11.8
"kefF",184.1,189.4,562.4,307.3,112.5,129.6,126.9,204.8,28.1,53.6,193.9,51.2,198.5,275.9,171.9,271.4,254.4,291.8,129,246.6,63.1,114.4,165.3,71.3
"kefC",280.5,472.4,1285.4,833.5,223.8,477.2,681.6,939.5,106.6,100,382.7,164.1,304.6,436.4,335.6,871.3,320.1,615.2,609.8,766.5,130,330.2,309.4,235.9
"folA",2418.9,1733,1404.4,1270.8,2781,791.9,1368.9,1557.1,721.6,562,504.3,251.7,2063.9,2239.2,1001.3,2181.2,2122.3,1672.1,1176.3,1249.5,465.6,528.6,499.8,606.3
"apaH",769.3,826.8,1231.7,1348.3,529.9,544.9,724.5,1043.7,73.6,98.9,290.6,171.1,596.8,620.9,520.7,742.9,585.2,518,782,839.6,164.2,203.8,341,452.8
"apaG",1105.3,1104.8,1255.8,1870.2,957.7,1279.4,2084.1,3315,534.4,277.3,1026,515,1058.7,1147.7,885.4,2183.2,1031.5,955.4,1603.8,2626.7,628.5,1033.1,1077.4,991.4
"rsmA",1104.9,724,1343.4,1139.5,1021.2,910.2,1525.7,2462.1,574.5,232.1,1172.3,621.5,861.2,811.1,777.2,1957.3,791.7,845.3,1425.6,1951.2,605.3,962.1,890.8,957.3
"pdxA",672.2,751.1,611.4,735.9,461.8,382.7,509.9,642.9,321.6,229.9,373.6,229.6,765.5,870.9,579.8,207.9,795.3,608.8,479.2,527.8,526.5,496.9,382.1,322.8
"surA",2097,2146.9,3011.3,2714.5,1405.8,1143.1,1547.8,2440.5,999.2,567.7,1416.2,701.1,1633.5,1659.3,1953.7,1731.2,1611.9,1037.2,1039.6,1270.6,1364,1675.8,1181.8,1166.4
"lptD",1334.4,1472.5,1552.3,2199.8,424.4,708.4,714.9,1469.3,438.7,193.4,981.2,618.5,959.6,1019.1,938.9,1814,735.8,594,792.5,1385.3,577.8,784.3,689.3,916.6
"djlA",858.3,618.2,765.9,629.6,1042.9,841.4,492.2,652.3,329,250.3,286.3,226.4,858.7,782.4,776.4,283.3,611.8,852,428,486.7,375.6,336,307.8,180.2
"yabP",261.8,227.2,182.4,446.1,363.9,142,191.7,259.8,108.1,110.6,158.9,181.7,488.9,280.2,157.1,339,235.9,135.3,313.4,74.5,225.7,117.8,179.4,112
"yabQ",465.6,246.7,653.7,1037.3,239.5,165.4,268.6,228.4,172.7,47.5,629.6,498.8,1078.7,443.2,571.5,1072.1,145.1,238.9,260.2,292.7,261.1,242.9,293.7,262
"rluA",177.3,267.4,303.8,380.5,174.8,557.6,293.3,648.4,55.8,44.9,193.2,156.8,188.2,211.2,121.1,368.5,181.3,270.4,333,608.6,103.3,84.7,176.7,211.7
"rapA",258.9,338.3,396.7,567.6,161.2,480.1,272.6,351.4,92.2,73.8,185.9,108.3,346.6,350.1,346.1,455.5,157.1,386,400.9,493.4,139.3,130.2,204.5,146.8
"polB",11.9,139.3,135,123.4,100,27.2,26.1,30.2,19.2,24.1,23.8,20.7,21.5,79.9,68.7,82.5,9.2,21.5,28,22.9,11,9.4,11.1,8.9
"araD",133.6,364.5,223.3,468.7,175.4,431.6,75.7,221.4,86.2,101.8,117.6,103.5,380.8,196.9,198.2,143.2,346.1,157.3,304.2,311.4,117.1,56,105.4,115.3
"araA",72.6,149.6,123.2,154,37.3,138.5,69.8,160.3,38.9,38.4,66.6,42.7,129.7,120.6,193.1,40.3,25.2,102.1,119.7,55.1,65.9,38.6,40.5,28
"araB",75.8,184.4,20.6,134.7,64.1,82.7,116,101.8,37.1,62.8,54,8.4,151.1,144.1,231.2,222.7,29.6,74.9,180.4,256.4,74.3,11.9,38,47.5
"araC",16.1,37.1,71.7,140.3,6.2,93.9,49.4,105.5,17.4,24.7,22.1,24.7,17.8,18.5,74.9,26.1,23.7,103.8,15.1,32.9,9.6,19.4,33.2,12
"yabI",214.9,269.3,181.6,418.6,36,58.6,104.2,118.1,116.7,107.6,17.9,62.4,195,254.2,246.3,213.1,42.3,88.1,125,181.5,97.3,80.6,37.1,67.4
"thiQ",226.8,256.8,395.9,650.1,554.2,412.1,588.5,597,128.7,120.4,192.3,119.8,269.2,363.3,311.4,370.1,380.1,833.3,688.4,839.3,101.1,172,112.4,94.8
"thiP",137.6,296.6,398.3,336,145.1,137.5,72.5,197.6,52.6,45.1,64,45.6,109.1,226,223.8,153.2,86.9,71.9,194.8,287.5,60.9,88.4,88.7,64.4
"thiB",34.5,32.4,100.5,55.3,37.8,40,46.3,42.2,15.1,17.2,47.6,24.7,22.5,23.9,43,87.2,35.7,48.2,27.7,61.6,11.5,31.1,18.4,11.5
"sgrR",127.2,70,102.5,177.8,14.5,42.9,60.5,97.3,29.2,45.2,62.2,31.9,142.6,103.2,100.3,159,103.8,22.7,235.6,252.2,41,35.9,31.7,25.7
"setA",21.3,34.4,21.2,30.3,22.9,32.8,43.1,57.7,10.9,10.7,13.6,10.6,17.8,18.3,22.4,17.3,20.1,27.5,27.5,45,6.8,14,9.9,4.1
"leuD",74.5,106,103.7,50.5,56.6,178.3,104,112.2,9.9,32.3,32.7,30.3,77.6,22.7,89.2,97.6,76.3,41.2,37.8,123.1,42.1,12.6,24.8,26.4
"leuC",310.4,363.4,340.3,656.3,328,415.4,372.9,407.9,82.7,119,101.4,52.1,361.2,446.2,345,375.7,308.1,410.9,486.3,414.9,173.8,91.5,93.4,104.6
"leuB",121.5,83.5,120.7,130.8,40.5,46.6,47.8,35.8,53.2,41.7,47.9,37.1,194.3,140,114.1,65.1,40.4,40.6,45.8,62.9,59.1,92.1,37.7,21.8
"leuA",97.4,51.2,116.3,186.5,112.9,178.9,185.6,129.1,28.4,45.6,92.3,67.2,87.8,53.9,93.9,82.6,12.5,122.3,173.5,233.2,59.4,77.1,46.6,48
"leuL",48.3,53,61.3,17,14.6,78.3,9.6,13.5,8.1,8.2,16.6,0.7,44.9,84.9,59.5,75.1,167.7,80.6,192.2,197.7,13.4,16.3,1.9,3.1
"leuO",27.7,81.2,117.9,110.8,72.5,76.5,58.7,60.9,4.9,18.1,17.9,12.2,71,55,60.1,73.2,28.5,19.6,101.6,73.6,19.9,25.2,33.8,14.2
"ilvI",15.6,85.1,174.5,54.1,31.8,62.3,32.5,62.8,3.8,6.3,12.7,5.7,19.8,30.4,33.1,34.3,111.4,73.2,70.2,71.4,4.2,6.4,10.7,2.7
"ilvH",118.2,184.1,130.2,261.1,92.2,216.9,50.4,101.5,8.8,20,20.1,31.3,71.8,139,86.4,161.1,69.5,128.6,162.8,253.9,10.3,17.9,28.1,50.8
"cra",33.5,74.6,22,48.5,63.2,40.3,21.1,20.8,4.9,5.8,6.2,3.2,23.5,25,14.2,13.7,126.9,34.1,22.8,22.3,5.6,6.5,12.7,5.2
"mraZ",2564.7,1920.7,3424.9,5005.4,2549.2,2533.3,3477.3,4182.1,734.7,510.5,1902.3,1292.7,2434.2,1579.6,1515.8,4106.6,1751.7,2458.1,3026.8,1949.2,1284.8,1444.3,1484.4,1077.4
"rsmH",1804.4,1533.6,2004.4,2419.5,1383.7,1105.1,2220.1,1850.8,340,413.9,900.4,489.5,1817.7,1494.8,1186.4,2161.3,1114.8,978.7,1784.3,781.3,1247.1,679.1,719.2,718.7
"ftsL",2224.7,2397.8,2447.7,3913.6,2243.7,1521,2891.8,2355.2,534.6,536.4,1177.5,675,2444.8,2070,1780.9,2356.7,1406,2144.7,2341.6,1310.7,1291.5,956.7,902.8,713.5
"ftsI",776.1,925.4,741,970.9,951.9,762.2,952.7,753,202.3,165.4,416,152.7,880.1,851.6,701.1,550.3,1027.5,1064.5,1030.7,390.8,636.4,342.8,322.5,196.9
"murE",1087.5,1102.3,1288.3,2013.3,1527.2,1819.4,2133.4,1907.9,468.4,363.1,829.8,293.4,1184.3,1053.9,1047.4,1072.7,1612,2086,2366,1505.6,823.4,756.9,587.6,361.3
"murF",540.3,457.1,997.2,1047.4,576.7,548,793.3,677.9,224.8,181.8,378.7,214.7,827.5,645.7,530.8,461.6,623.4,482.5,723.3,391.3,449.4,451.7,370.2,222.6
"mraY",434.4,525.7,814.7,1371.8,453.2,880.2,640,489.3,413.8,156.8,609.8,243.5,585,433.7,494.2,588.4,789.5,623.1,883.2,392.1,426.5,512.5,293.4,202.8
"murD",865.7,918.1,989.7,1465.2,633.4,933.3,802.5,1035.6,365.7,219.4,725.2,314.7,1299.7,1218.5,876.3,1274.7,750,912.3,557,734.8,687.4,581.4,388.4,328.7
"ftsW",822.6,880,843.5,895.1,702.9,578.1,857.4,765,486.1,297.4,683.8,255.3,943.6,953.1,632.3,668.1,600.7,678.9,768.3,505.8,711.2,703.9,545.5,246.4
"murG",996.7,849.9,879.9,1447.5,1074.2,934.2,1042.3,1071.5,347.3,317.9,556,253.5,1078.9,1047.9,941.9,698.5,809.7,1118.4,1261.8,1037.3,588.4,517.4,393.5,262.4
"murC",580.8,330.4,568.5,654.5,619.8,687.7,976.9,771.7,263.2,133.7,356.5,135,505.6,511.4,488.8,438.6,756.6,1045.3,997.8,357.2,279,308.8,267.7,118
"ddlB",1010.8,1561.7,2914,2381.5,1007.4,1115.2,2666.9,1934.1,762.9,576.6,1405.6,721.7,1111.8,1238.9,1318.9,2629.4,1706.8,1814.8,2117,1560.2,959.7,1006.8,1398.8,839.6
"ftsQ",883,1135.2,1630.1,1783.6,1157.6,1290,2120.2,3345.4,451.4,393.3,1044.8,516.1,969,1074.2,1067,1923.6,1319.6,2414.6,2759.2,2314.9,666.7,827.9,1023.4,710
"ftsA",1671.2,2008.3,2521.6,2381.2,1580.7,1574.4,2703.5,2776.6,558.2,606.4,1323.1,436.2,1206.5,1632.4,1280.4,1631.9,1689.8,1891.6,2022.9,1690.8,1334,865,1143.3,831.6
"ftsZ",2339,2307,4698.4,3051.7,1524.9,1717.2,5074.3,3411.9,600.8,670.8,1741.7,562.3,724.7,2091.5,1922.4,2129.8,1354.3,2183.1,3382.1,2483.2,913,1103.7,1587.3,889.1
"lpxC",3517.3,3142.1,3834.9,4480.3,5825.4,3258.4,3275.8,5409.4,879.7,904.2,965.4,1256.7,3269.4,3339.2,2640.4,2539,7963.5,4244.9,2878.6,4274.1,1536,1285.2,1312.7,1300
"secM",1148.4,827.2,698,653.1,1336.5,922.7,881.7,864.6,507.9,412.2,384,276.2,795,881.9,760.9,330.3,1267.8,1223.5,670.2,659.7,677.4,704,360.6,311.5
"secA",2136.2,1635.4,968.5,745.8,1744.3,1111.3,889.7,649.5,415.2,383.7,285.5,165.9,3020.4,1892.7,1915.1,608.6,1525.5,1531.8,622.4,513.5,785.9,510.5,307.5,232.7
"mutT",546.1,433.3,340.8,442.2,357.3,387.6,156.2,248.3,143.1,80.8,110.7,114.6,711.2,576.5,424.2,187.6,425.9,257.8,131.2,354.3,150.1,172.3,71.6,70.5
"yacG",667.9,460,387.5,426.1,1020.3,594.3,545.1,596.1,180.8,136.5,182.4,155.4,632.1,674.6,312.3,489.6,742.9,743.2,736.3,531.3,173.1,243.7,200.1,283.4
"zapD",1150.5,588.4,584.1,438.3,1229.8,463.9,579.6,864.5,147.4,163.3,200.8,136.4,887.9,833.3,713.9,447.6,722.5,612,618.6,477.4,229,312.9,279.9,406.3
"coaE",615.1,393.6,481.2,444.5,671.5,347.5,484.6,772.8,178.5,167.8,272.2,217.7,388.7,540,356.4,661.3,387.8,482.7,479.3,683.4,265.6,366.9,390.1,427.9
"guaC",1225.5,1120.9,956.7,606.5,862.6,1165.9,1743.2,1072.3,119.5,293.4,422.3,100.7,717.7,1902.8,716.1,397.7,730.7,1448.9,1298.3,972.9,359,490.5,218.9,117.6
"hofC",203.9,222.6,144.5,292.8,150.1,357.1,215.1,338.9,75.8,40.2,89.1,79.1,206.4,168.9,111.8,187.9,229,169.7,292,420.4,68.8,124.8,73.1,39.6
"hofB",55.7,63.3,31.4,29.1,36.7,43,65.1,14.2,3.5,10.2,2.6,3.9,51.4,25.2,30.4,37.4,26.6,23.6,35.9,23.2,14.5,10.2,16.7,5.5
"ppdD",56.4,135.5,104.1,67.1,183.5,186.1,151,234.6,33.1,9.4,36.7,2.8,142.2,153.3,15.8,172.3,198.7,194.1,220.5,194.1,35.6,55.2,53.2,33
"nadC",411.7,609.9,523.5,353,393.3,543.6,397,345.5,106.2,143.2,131.8,110.4,463.1,630,426.4,249.3,367.7,467.4,296.4,78.8,284.6,306.8,196.4,163.9
"ampD",197.3,445.9,1625,441.8,192.3,294.4,855.8,344.3,82,57.8,290.1,102.7,208.9,308.1,257.4,368.7,294.1,379.8,353.6,230.3,219.8,234.4,187,151.8
"ampE",334,623.4,1253,638.2,373.7,696.4,735.8,680,70.2,92.6,258,141.1,242.4,316.5,321.5,507.4,303.6,592.6,958.7,761.9,210.2,192.9,212.2,181.2
"aroP",237.1,247.8,363.8,548.4,206.5,329.5,201.9,220.8,60.9,40.9,174.7,97,407.9,345.3,247.2,486.5,273.6,206.6,302.9,348,109.2,127.7,106.1,112.4
"pdhR",1859.8,284.8,394.5,294.1,1501.1,271.3,198.1,351.9,323.8,249.3,120.4,69.6,2287.1,1447.2,426.9,352.5,1308.5,391.6,233,172.5,87,208.6,97.9,99.4
"aceE",9756.9,3024.8,4422.4,2543.4,6871.4,1285.6,2295,3516.7,3690.5,1295.1,1316.4,406.7,8376.5,7273.9,2531.2,2035.4,9585.5,1945.3,1985.3,3056.2,1225.2,1387.6,1077.6,853.6
"aceF",7215,2665,2810.4,1814.3,6899.9,1298.9,1066,2000.3,3186.8,1057.9,992.5,407.4,8088.3,6126,2306.9,1678,14464.2,1206,1178.6,1195.8,1302.4,1071.2,863.3,841.8
"lpd",5116.3,7421.3,5207.8,4782.7,5926.1,10621.7,7044.8,3780,2413.2,2111.1,2468.8,832.1,6507.8,7035.4,8760.5,2408.6,10787.2,6305.8,4210,2104,2601,2615.1,1518.5,988.8
"yacH",144.2,221.5,250,416.4,82.2,283.9,121.4,158.2,40.7,29.2,72.5,66.4,141.1,165.5,215.5,181.4,170.8,195.3,149.6,220.7,51.9,56.7,101.1,66.9
"acnB",722.5,2775.2,3665.3,1936.7,570.8,2693.3,1957,1309.8,488.2,762,1513.1,549.4,1374.4,1886.8,2936.1,1635.7,1537.1,1947.9,2178.9,1448.1,1209.2,1389.3,1433,836.5
"yacL",639.6,1127.6,2142.1,1481.6,1155.9,1270.1,1810.6,1738.8,320.7,253.4,883.7,569.2,1011.6,1100.7,990.6,3406.9,1018.8,1324.5,1539.1,1632.2,505.4,424.6,487.4,753.6
"speD",4083.4,2917.7,1497.7,767.7,2372.3,873.5,1170.7,908.2,2179.8,830.8,776,462.5,2360.4,1677.8,2420.7,351.7,970.9,929.6,451.3,617.5,621.7,1899.1,450.8,320.6
"speE",4208.7,2116.3,1152.3,537.8,3199.3,894,1207.6,1289,2140.6,933,605.5,301.3,2061.3,1466.7,1946,257.8,960.8,1064.6,584.3,716.7,581.9,1719.8,375.9,264.6
"yacC",1265.5,1292.9,453,611.6,1386.5,991.3,688.4,742.4,670.6,403,419.3,773.9,1440.8,1576.1,697.5,439.4,912,929.1,527.5,524.9,1580.7,1427.1,412.9,850.6
"cueO",324.9,833.5,1469.1,519.4,490.2,1379.7,1043.8,788.1,118.8,137.2,298.2,168.5,280.5,432.6,425.7,380.2,473.2,926.5,828.5,1060.6,167,330.6,251.3,238.3
"gcd",213.1,254.4,441.7,1225.6,50,353.5,794.9,1104.8,53.9,19.5,316.5,161.9,401.3,164.6,118.4,2050.3,201.3,77.5,959.3,815.1,62.6,115.4,259.3,551
"hpt",2553.2,2242.1,1140.8,1128.5,3104.7,1671.7,1150,1321.8,869.8,569.3,548.5,435.3,3759.5,3228,1822.8,682.9,1727.6,1794.9,1013.3,915.5,1035.1,627.5,481.9,430.6
"can",7098.2,6726.5,2629.2,3835.1,10118.4,10652.9,5708.1,7657.2,2018.9,917.4,2053.5,2371.9,6288.7,5872.8,4560.8,1343,3501.8,4689.8,3160.8,3669,2207.3,3258.1,2490.5,1488.3
"yadG",617.3,546.8,713.7,1009.7,484.5,331.6,477.9,739.6,209.3,115.4,250.7,170.9,555.5,567.5,635,468.5,316.5,454.7,525.6,443.9,244.8,298.3,249.7,221.4
"yadH",423.6,418.1,861.5,655.1,300.5,356.4,355.9,671.7,125.9,83.8,169.2,125.7,251,270.6,416,524.7,226.6,260.9,333.9,478.7,117.1,249.1,240.3,193.4
"yadI",155.8,553.3,877.1,618.1,218,468.3,631.6,434,22.2,119,152.6,123.1,133,173.7,376.6,518.1,280.7,499.5,470.9,253.8,123.5,79.1,244.8,138.8
"yadE",229.9,181.9,162.6,227.3,164.8,205.5,27.2,61.7,68.8,41.3,62.4,59.2,140.7,161.9,86.1,113.9,86.5,44.3,20.1,181.3,60.5,115.6,58.5,66.4
"panD",1804.8,1686,1394,1592.7,1744.7,1345.1,1536,1500.9,437.9,440,756.6,458.8,2236.9,2101.3,2055.7,974.3,705.6,1595.2,1088.3,1302.8,944.7,1012.3,809.8,762.8
"rpnC",238.2,335.8,420.8,336.6,156.8,256.6,163.3,222.2,54.3,61.4,138.7,78.5,244.3,339.4,312.5,391.6,164.3,156,95.6,152,137.4,161.6,126,112.4
"panC",719.5,862.1,1384.8,644.7,772.5,668,939.5,870.8,134.2,157,304.8,120.4,652.4,913.7,845,526,213.3,727.6,731,589.1,309.9,435.1,299.2,291.1
"panB",1208.7,1255.7,1736.5,1076.9,1508.9,1302.2,1171.9,1414.4,367.1,390.9,378.2,178.8,1154,1663.7,1410.7,887.7,668,1253.2,835.5,1085.3,649.4,594.5,395.9,357.2
"yadC",28.8,83.9,57.9,45.2,69.4,93.4,27.6,80.2,14.3,14.4,36.3,14.7,111.3,53.9,66.9,90,83.3,86,124.8,122.7,20.3,51.8,53.2,28.7
"yadK",39.5,121.9,90.9,106.5,6.5,64.9,11.4,43.8,14.7,8.4,62.5,30.7,15.7,106.5,55.9,31.3,33.7,27.3,52.1,105,13.4,26.9,63.1,14.7
"yadL",68,123.5,245.9,152.4,57.8,127.6,160.9,146.8,21.3,23.1,132.9,65.9,60.6,79.2,44.9,103.7,200.2,26,118.1,93.3,16.6,91.4,64.6,44.4
"yadM",66.3,116.7,308.5,106.6,10.3,221.2,201.9,209.4,21.3,17.1,78.5,46.7,69.1,82.3,62.7,168.4,30.5,168,78.4,68.3,22.1,46,79.9,26.1
"htrE",56.7,46.8,77.4,118,61.2,116.2,12.5,18.3,3.8,17.1,19.7,2.7,72.2,100.2,72.1,65.1,183.9,16.6,20.2,26.6,14.9,15.1,29.8,24.7
"yadV",85.9,69,82.4,64.1,31.4,125.7,24.4,20.3,25.5,20.8,12,4.7,64.5,53.3,81.1,100.5,87.3,32.6,143.9,27.5,18.9,38.2,40.8,16
"yadN",59.7,34.4,60.7,43.3,10.3,90.2,5.3,9.3,7.4,2,6.2,1.6,88.5,10.6,5.9,8.5,40.2,16.7,11.2,163.9,2,4.7,27.5,2.2
"folK",697.6,606.4,205.4,251.3,668.7,295.4,211.6,383.1,140,163.3,206.8,91.7,565.5,560,304.2,138.5,439.5,605.2,241.6,211.3,206.8,417.3,150.3,103.5
