"","0","0 | 1","0 | 2","7200","7200 | 1"
"thrL",1.11557631214829,1.13094912335134,1.10595675226182,1.16516090078798,1.18621092567402
"thrA",1.03976116371088,0.978151763777002,1.02577373172583,1.07188062480685,0.975462931342307
"thrB",1.0707330038748,0.909504017665397,1.00126226146762,1.10617734159706,1.06062555669386
"thrC",0.958213761389225,0.803409511195598,0.872691588608777,0.97538936136237,0.980426070828171
"yaaX",1.19548389262386,0.989393697101955,1.09194696696573,0.870170620971768,0.885654396105531
"yaaA",0.942372902601818,0.897209832448916,1.01168617254524,0.755412013185092,0.826392126489392
"yaaJ",1.22318745277921,1.04177447175531,1.14475170438772,1.02141016511966,0.971679231912297
"talB",1.14256795729985,1.18044590477271,1.01146828197489,0.763107161518356,0.828571160832569
"mog",1.44070469814699,1.40313515480464,1.51278612361198,0.912493802189529,0.911472010026014
"satP",1.0992437425303,0.907796059469445,0.851022244208363,1.06262029556001,0.990401443239372
"yaaW",1.17284990674349,0.976903301087919,1.10241751912512,0.788767283529998,0.909154978154659
"mbiA",1.25431415569925,1.11933155928284,1.0222251990402,0.88981324098335,0.774274481619398
"yaaI",1.05389741590915,0.967071337934433,0.979249815180175,0.916854468884026,0.904606408752333
"dnaK",1.85772971209575,2.75476219988474,2.68031682214992,0.915523976422352,0.969434688275392
"dnaJ",1.24767498405389,1.34358319858862,1.40281483643536,1.43020742274511,1.46797635339267
"insL1",1.24005471832952,1.14052617912241,1.10976479015233,1.16277798327054,1.13846181102371
"mokC",0.942996761221803,1.06133463459903,1.07750179971398,1.14713624821836,1.15532577303245
"nhaA",1.33642553450557,1.35396662292224,1.14618859413474,2.12456813840044,1.90112542420447
"nhaR",1.24245336171796,1.32234304558001,1.11225238570591,1.15863905917472,1.21153389119309
"insB1",0.947968630898537,1.12553270944787,1.01699708427312,1.20010204350493,1.19001344956111
"insA1",0.936587599584256,0.871835789674013,0.995881481190781,1.18950843237214,1.36382922659983
"rpsT",0.760559986469093,0.922539853045338,0.831474392719934,0.984279493592842,1.0602750225353
"yaaY",1.10157104532363,0.87672527503202,0.943449165897138,0.94536721203554,0.856289885167774
"ribF",0.848460554747017,0.923598718835397,0.818933359612137,1.00665992427468,0.985497971627909
"ileS",0.859867734762372,0.885856120236677,0.835538313205696,0.919994448060533,0.858062370679376
"lspA",0.77950542199263,0.810447562073188,0.680421084869451,1.04519361174373,0.993156634005766
"fkpB",1.18509520241747,1.08133890617672,0.999663819834843,0.94525667430616,0.880691821164819
"ispH",0.691788836967281,0.781952094983586,0.668428157387682,0.932995844798488,0.888213652575943
"rihC",1.32266816747016,1.22891597303271,1.13133231534247,0.786726829317228,0.839055995423059
"dapB",1.71030592116962,1.44899077097665,1.43534871673201,0.860353254991164,0.92147976575211
"carA",0.351851797153273,0.385733785547397,0.350899337004157,NA,NA
"carB",0.640506233825759,0.684662556417795,0.579387411398178,0.608055204484697,0.782775416964603
"caiF",1.39780955823096,1.34034946317895,1.23391285854137,0.91442758673948,0.878957184461792
