tf,tg,score
dnaA,1462,0.755
torR,1462,0.875
nagC,1462,0.722
cytR,1462,0.786
cpxR,1462,0.763
narL,1462,0.72
ompR,1462,0.72
cytR,1462,0.786
argR,1462,0.73
hns,1462,0.815
soxS,1462,0.754
hns,1462,0.815
fadR,1462,0.721
cpxR,1462,0.763
arcA,1462,0.739
metJ,1462,0.824
soxS,1462,0.754
ompR,1462,0.72
dnaA,1462,0.755
malT,1462,0.75
arcA,1462,0.739
malT,1462,0.75
nagC,1462,0.722
argR,1462,0.73
narL,1462,0.72
lrp,1462,0.71
metJ,1462,0.824
gcvA,1462,0.74
torR,1462,0.875
gcvA,1462,0.74
fadR,1462,0.721
torR,1461,0.893
cytR,1461,0.741
lexA,1461,0.777
cpxR,1461,0.727
fis,1461,0.729
metR,1461,0.705
phoB,1461,0.728
cspA,1461,0.731
trpR,1461,0.704
ompR,1461,0.782
pdhR,1461,0.829
cytR,1461,0.741
hns,1461,0.778
soxS,1461,0.709
fnr,1461,0.774
hns,1461,0.778
iclR,1461,0.708
metR,1461,0.705
fadR,1461,0.702
cynR,1461,0.711
phoB,1461,0.728
cpxR,1461,0.727
arcA,1461,0.702
metJ,1461,0.708
cynR,1461,0.711
crp,1461,0.708
soxS,1461,0.709
ompR,1461,0.782
fnr,1461,0.774
malT,1461,0.714
arcA,1461,0.702
malT,1461,0.714
trpR,1461,0.704
cspA,1461,0.731
pdhR,1461,0.829
crp,1461,0.708
lrp,1461,0.742
metJ,1461,0.708
iclR,1461,0.708
torR,1461,0.893
lexA,1461,0.777
fis,1461,0.729
fadR,1461,0.702
dnaA,1460,0.767
cytR,1460,0.7
narL,1460,0.772
metR,1460,0.752
glpR,1460,0.899
tyrR,1460,0.758
phoB,1460,0.772
pdhR,1460,0.78
ompR,1460,0.813
cytR,1460,0.7
hns,1460,0.759
soxS,1460,0.714
fnr,1460,0.757
hns,1460,0.759
metR,1460,0.752
cynR,1460,0.733
phoB,1460,0.772
arcA,1460,0.746
cynR,1460,0.733
crp,1460,0.806
fur,1460,0.755
soxS,1460,0.714
tyrR,1460,0.758
ompR,1460,0.813
dnaA,1460,0.767
rpoN,1460,0.715
malT,1460,0.714
fnr,1460,0.757
arcA,1460,0.746
malT,1460,0.714
pdhR,1460,0.78
fur,1460,0.755
crp,1460,0.806
narL,1460,0.772
lrp,1460,0.725
gcvA,1460,0.714
glpR,1460,0.899
galR,1460,0.719
deoR,1459,0.723
nagC,1459,0.803
cpxR,1459,0.902
narL,1459,0.711
purR,1459,0.868
cytR,1459,0.836
dnaA,1459,0.71
torR,1459,0.76
fis,1459,0.705
metR,1459,0.789
tyrR,1459,0.745
phoB,1459,0.71
glpR,1459,0.799
ompR,1459,0.81
pdhR,1459,0.805
ada,1459,0.716
argR,1459,0.785
cytR,1459,0.836
hns,1459,0.748
soxS,1459,0.804
fadR,1459,0.712
hns,1459,0.748
metR,1459,0.789
arcA,1459,0.71
cynR,1459,0.756
phoB,1459,0.71
metJ,1459,0.706
arcA,1459,0.71
cynR,1459,0.756
cpxR,1459,0.902
soxS,1459,0.804
fur,1459,0.769
tyrR,1459,0.745
ilvY,1459,0.789
crp,1459,0.723
ompR,1459,0.81
dnaA,1459,0.71
ada,1459,0.716
malT,1459,0.729
deoR,1459,0.723
malT,1459,0.729
nagC,1459,0.803
fur,1459,0.769
pdhR,1459,0.805
purR,1459,0.868
argR,1459,0.785
lrp,1459,0.712
metJ,1459,0.706
narL,1459,0.711
crp,1459,0.723
torR,1459,0.76
glpR,1459,0.799
fis,1459,0.705
galR,1459,0.747
ilvY,1459,0.789
fadR,1459,0.712
tyrR,2306,0.764
pdhR,2306,0.707
crp,2306,0.755
cspA,2306,0.708
narL,2306,0.774
hns,2306,0.795
ompR,2306,0.72
torR,2306,0.724
metR,2306,0.72
lrp,2306,0.764
cytR,2306,0.714
pdhR,2306,0.707
metR,2306,0.72
hns,2306,0.795
soxS,2306,0.791
cspA,2306,0.708
soxS,2306,0.791
tyrR,2306,0.764
malT,2306,0.807
dnaA,2306,0.743
cytR,2306,0.714
fadR,2306,0.797
ada,2306,0.723
rpoN,2306,0.73
malT,2306,0.807
ompR,2306,0.72
crp,2306,0.755
ada,2306,0.723
fadR,2306,0.797
lrp,2306,0.764
narL,2306,0.774
torR,2306,0.724
dnaA,2306,0.743
cpxR,2305,0.753
tyrR,2305,0.715
pdhR,2305,0.732
galR,2305,0.74
crp,2305,0.745
argR,2305,0.717
fis,2305,0.731
narL,2305,0.714
hns,2305,0.883
ompR,2305,0.727
torR,2305,0.707
metR,2305,0.738
lrp,2305,0.756
cytR,2305,0.734
fur,2305,0.75
pdhR,2305,0.732
metR,2305,0.738
hns,2305,0.883
fnr,2305,0.713
soxS,2305,0.715
arcA,2305,0.706
soxS,2305,0.715
fur,2305,0.75
tyrR,2305,0.715
malT,2305,0.765
dnaA,2305,0.734
cpxR,2305,0.753
cytR,2305,0.734
nagC,2305,0.718
iclR,2305,0.708
arcA,2305,0.706
fhlA,2305,0.736
fis,2305,0.731
metJ,2305,0.703
rpoN,2305,0.705
fnr,2305,0.713
malT,2305,0.765
argR,2305,0.717
ompR,2305,0.727
nagC,2305,0.718
crp,2305,0.745
metJ,2305,0.703
galR,2305,0.74
fhlA,2305,0.736
lrp,2305,0.756
iclR,2305,0.708
narL,2305,0.714
torR,2305,0.707
dnaA,2305,0.734
nagC,1458,0.749
cpxR,1458,0.794
narL,1458,0.746
cytR,1458,0.705
dnaA,1458,0.79
fis,1458,0.737
metR,1458,0.71
tyrR,1458,0.711
phoB,1458,0.762
cspA,1458,0.754
cysB,1458,0.716
ompR,1458,0.72
pdhR,1458,0.732
argR,1458,0.725
cytR,1458,0.705
hns,1458,0.751
soxS,1458,0.794
cysB,1458,0.716
hns,1458,0.751
metR,1458,0.71
phoB,1458,0.762
cpxR,1458,0.794
soxS,1458,0.794
fur,1458,0.718
tyrR,1458,0.711
ompR,1458,0.72
dnaA,1458,0.79
rpoN,1458,0.751
iclR,1458,0.708
nagC,1458,0.749
cspA,1458,0.754
fur,1458,0.718
pdhR,1458,0.732
argR,1458,0.725
lrp,1458,0.756
iclR,1458,0.708
narL,1458,0.746
gcvA,1458,0.724
fis,1458,0.737
cpxR,2304,0.755
phoB,2304,0.765
crp,2304,0.706
fis,2304,0.711
narL,2304,0.701
hns,2304,0.941
ompR,2304,0.701
torR,2304,0.773
metR,2304,0.757
lrp,2304,0.711
cytR,2304,0.852
fur,2304,0.754
metR,2304,0.757
hns,2304,0.941
fnr,2304,0.798
soxS,2304,0.765
phoB,2304,0.765
narP,2304,0.756
arcA,2304,0.726
soxS,2304,0.765
fur,2304,0.754
malT,2304,0.712
dnaA,2304,0.708
cpxR,2304,0.755
cytR,2304,0.852
nagC,2304,0.707
iclR,2304,0.708
arcA,2304,0.726
fis,2304,0.711
fnr,2304,0.798
malT,2304,0.712
ompR,2304,0.701
nagC,2304,0.707
crp,2304,0.706
narP,2304,0.756
lrp,2304,0.711
narL,2304,0.701
iclR,2304,0.708
torR,2304,0.773
dnaA,2304,0.708
nagC,1457,0.744
cpxR,1457,0.72
narL,1457,0.718
purR,1457,0.738
cytR,1457,0.774
lexA,1457,0.788
dnaA,1457,0.778
torR,1457,0.707
fis,1457,0.835
metR,1457,0.732
tyrR,1457,0.76
glpR,1457,0.75
cspA,1457,0.769
pdhR,1457,0.805
ompR,1457,0.731
argR,1457,0.783
cytR,1457,0.774
hns,1457,0.843
soxS,1457,0.732
hns,1457,0.843
metR,1457,0.732
arcA,1457,0.756
metJ,1457,0.703
arcA,1457,0.756
cpxR,1457,0.72
soxS,1457,0.732
fur,1457,0.777
tyrR,1457,0.76
ilvY,1457,0.702
crp,1457,0.712
malT,1457,0.765
ompR,1457,0.731
dnaA,1457,0.778
rpoN,1457,0.716
malT,1457,0.765
nagC,1457,0.744
cspA,1457,0.769
fur,1457,0.777
pdhR,1457,0.805
purR,1457,0.738
argR,1457,0.783
lrp,1457,0.709
metJ,1457,0.703
narL,1457,0.718
crp,1457,0.712
torR,1457,0.707
glpR,1457,0.75
fis,1457,0.835
lexA,1457,0.788
ilvY,1457,0.702
cpxR,2303,0.734
pdhR,2303,0.707
tyrR,2303,0.784
crp,2303,0.706
cspA,2303,0.785
fis,2303,0.755
narL,2303,0.726
hns,2303,0.804
ompR,2303,0.786
metR,2303,0.772
glpR,2303,0.793
lrp,2303,0.813
cytR,2303,0.74
fur,2303,0.766
pdhR,2303,0.707
metR,2303,0.772
hns,2303,0.804
fnr,2303,0.708
soxS,2303,0.805
cspA,2303,0.785
arcA,2303,0.757
soxS,2303,0.805
fur,2303,0.766
tyrR,2303,0.784
ilvY,2303,0.719
dnaA,2303,0.748
cpxR,2303,0.734
cytR,2303,0.74
nagC,2303,0.765
iclR,2303,0.708
arcA,2303,0.757
fis,2303,0.755
metJ,2303,0.755
rpoN,2303,0.743
fnr,2303,0.708
ompR,2303,0.786
nagC,2303,0.765
crp,2303,0.706
metJ,2303,0.755
glpR,2303,0.793
lrp,2303,0.813
narL,2303,0.726
iclR,2303,0.708
dnaA,2303,0.748
cpxR,1456,0.791
narL,1456,0.744
cytR,1456,0.707
torR,1456,0.707
dnaA,1456,0.769
fis,1456,0.731
tyrR,1456,0.752
glpR,1456,0.728
cspA,1456,0.777
pdhR,1456,0.756
ompR,1456,0.731
cytR,1456,0.707
argR,1456,0.721
hns,1456,0.801
soxS,1456,0.776
hns,1456,0.801
arcA,1456,0.864
cynR,1456,0.8
metJ,1456,0.745
arcA,1456,0.864
cynR,1456,0.8
cpxR,1456,0.791
soxS,1456,0.776
fur,1456,0.702
tyrR,1456,0.752
ilvY,1456,0.702
crp,1456,0.707
malT,1456,0.765
ompR,1456,0.731
dnaA,1456,0.769
malT,1456,0.765
cspA,1456,0.777
fur,1456,0.702
pdhR,1456,0.756
argR,1456,0.721
lrp,1456,0.742
metJ,1456,0.745
narL,1456,0.744
crp,1456,0.707
torR,1456,0.707
glpR,1456,0.728
fis,1456,0.731
galR,1456,0.756
ilvY,1456,0.702
galR,1456,0.756
ilvY,2302,0.754
cpxR,2302,0.753
pdhR,2302,0.805
tyrR,2302,0.744
purR,2302,0.758
phoB,2302,0.846
cspA,2302,0.769
hns,2302,0.785
ompR,2302,0.712
torR,2302,0.791
metR,2302,0.765
lrp,2302,0.746
pdhR,2302,0.805
cytR,2302,0.711
fur,2302,0.731
metR,2302,0.765
fnr,2302,0.752
hns,2302,0.785
soxS,2302,0.702
cspA,2302,0.769
phoB,2302,0.846
arcA,2302,0.872
soxS,2302,0.702
fur,2302,0.731
tyrR,2302,0.744
ilvY,2302,0.754
malT,2302,0.817
dnaA,2302,0.763
cpxR,2302,0.753
cytR,2302,0.711
nagC,2302,0.76
iclR,2302,0.75
fadR,2302,0.713
arcA,2302,0.872
purR,2302,0.758
deoR,2302,0.709
fnr,2302,0.752
malT,2302,0.817
ompR,2302,0.712
nagC,2302,0.76
fadR,2302,0.713
lrp,2302,0.746
iclR,2302,0.75
torR,2302,0.791
dnaA,2302,0.763
gcvA,2302,0.739
deoR,2302,0.709
nagC,1455,0.703
cpxR,1455,0.762
narL,1455,0.717
cytR,1455,0.753
torR,1455,0.791
fis,1455,0.796
tyrR,1455,0.701
cspA,1455,0.738
ompR,1455,0.702
cytR,1455,0.753
hns,1455,0.72
soxS,1455,0.702
fnr,1455,0.704
hns,1455,0.72
arcA,1455,0.722
cpxR,1455,0.762
soxS,1455,0.702
tyrR,1455,0.701
malT,1455,0.724
ompR,1455,0.702
fnr,1455,0.704
malT,1455,0.724
nagC,1455,0.703
cspA,1455,0.738
lrp,1455,0.713
narL,1455,0.717
torR,1455,0.791
fis,1455,0.796
fur,1454,0.771
cpxR,1454,0.803
narL,1454,0.77
cytR,1454,0.751
dnaA,1454,0.73
fis,1454,0.765
metR,1454,0.855
phoB,1454,0.725
cspA,1454,0.808
ompR,1454,0.747
pdhR,1454,0.707
cytR,1454,0.751
argR,1454,0.72
hns,1454,0.905
soxS,1454,0.764
hns,1454,0.905
metR,1454,0.855
arcA,1454,0.78
phoB,1454,0.725
arcA,1454,0.78
metJ,1454,0.746
cpxR,1454,0.803
soxS,1454,0.764
crp,1454,0.718
ompR,1454,0.747
dnaA,1454,0.73
pdhR,1454,0.707
fur,1454,0.771
cspA,1454,0.808
argR,1454,0.72
lrp,1454,0.72
metJ,1454,0.746
narL,1454,0.77
crp,1454,0.718
tus,1454,0.704
gcvA,1454,0.74
tus,1454,0.704
gcvA,1454,0.74
fis,1454,0.765
cpxR,2301,0.787
purR,2301,0.777
cspA,2301,0.769
fis,2301,0.715
ompR,2301,0.732
narL,2301,0.801
hns,2301,0.827
torR,2301,0.72
metR,2301,0.711
lrp,2301,0.729
cytR,2301,0.708
metR,2301,0.711
fnr,2301,0.75
hns,2301,0.827
soxS,2301,0.712
cspA,2301,0.769
arcA,2301,0.713
soxS,2301,0.712
malT,2301,0.724
cpxR,2301,0.787
cytR,2301,0.708
nagC,2301,0.767
arcA,2301,0.713
purR,2301,0.777
fis,2301,0.715
fnr,2301,0.75
malT,2301,0.724
ompR,2301,0.732
nagC,2301,0.767
lrp,2301,0.729
narL,2301,0.801
torR,2301,0.72
cpxR,2300,0.726
pdhR,2300,0.732
tyrR,2300,0.729
crp,2300,0.712
argR,2300,0.723
fis,2300,0.814
narL,2300,0.748
ompR,2300,0.797
hns,2300,0.834
metR,2300,0.784
lrp,2300,0.768
pdhR,2300,0.732
cytR,2300,0.758
metR,2300,0.784
hns,2300,0.834
soxS,2300,0.815
arcA,2300,0.798
soxS,2300,0.815
tyrR,2300,0.729
malT,2300,0.754
cpxR,2300,0.726
cytR,2300,0.758
nagC,2300,0.713
lexA,2300,0.784
arcA,2300,0.798
dnaA,2300,0.777
fis,2300,0.814
ada,2300,0.758
deoR,2300,0.731
malT,2300,0.754
argR,2300,0.723
ompR,2300,0.797
nagC,2300,0.713
crp,2300,0.712
ada,2300,0.758
lexA,2300,0.784
lrp,2300,0.768
narL,2300,0.748
gcvA,2300,0.782
dnaA,2300,0.777
deoR,2300,0.731
cpxR,1453,0.767
cytR,1453,0.82
dnaA,1453,0.737
metR,1453,0.721
tyrR,1453,0.785
cspA,1453,0.808
ompR,1453,0.706
cytR,1453,0.82
hns,1453,0.809
soxS,1453,0.787
fnr,1453,0.754
fadR,1453,0.753
hns,1453,0.809
metR,1453,0.721
cynR,1453,0.822
metJ,1453,0.756
cynR,1453,0.822
cpxR,1453,0.767
soxS,1453,0.787
tyrR,1453,0.785
malT,1453,0.742
ompR,1453,0.706
rpoN,1453,0.748
malT,1453,0.742
rpoN,1453,0.748
dnaA,1453,0.737
fnr,1453,0.754
cspA,1453,0.808
lrp,1453,0.705
metJ,1453,0.756
gcvA,1453,0.742
galR,1453,0.76
fadR,1453,0.753
nagC,1452,0.71
cpxR,1452,0.985
narL,1452,0.715
cytR,1452,0.758
fis,1452,0.722
dnaA,1452,0.72
tyrR,1452,0.75
phoB,1452,0.737
cspA,1452,0.754
glpR,1452,0.733
ompR,1452,0.759
pdhR,1452,0.707
cytR,1452,0.758
hns,1452,0.886
soxS,1452,0.707
hns,1452,0.886
fadR,1452,0.729
arcA,1452,0.726
cynR,1452,0.756
phoB,1452,0.737
arcA,1452,0.726
metJ,1452,0.716
cynR,1452,0.756
cpxR,1452,0.985
soxS,1452,0.707
tyrR,1452,0.75
crp,1452,0.701
ilvY,1452,0.719
ompR,1452,0.759
dnaA,1452,0.72
pdhR,1452,0.707
nagC,1452,0.71
cspA,1452,0.754
lrp,1452,0.761
metJ,1452,0.716
narL,1452,0.715
crp,1452,0.701
tus,1452,0.724
gcvA,1452,0.714
ilvY,1452,0.719
tus,1452,0.724
gcvA,1452,0.714
glpR,1452,0.733
fis,1452,0.722
fadR,1452,0.729
tyrR,2309,0.737
crp,2309,0.704
cspA,2309,0.746
argR,2309,0.711
narL,2309,0.785
hns,2309,0.849
ompR,2309,0.738
torR,2309,0.737
metR,2309,0.713
glpR,2309,0.728
lrp,2309,0.742
cytR,2309,0.718
metR,2309,0.713
hns,2309,0.849
soxS,2309,0.752
cspA,2309,0.746
narP,2309,0.724
soxS,2309,0.752
tyrR,2309,0.737
malT,2309,0.749
dnaA,2309,0.714
cytR,2309,0.718
nagC,2309,0.709
fadR,2309,0.715
metJ,2309,0.745
malT,2309,0.749
argR,2309,0.711
ompR,2309,0.738
nagC,2309,0.709
crp,2309,0.704
metJ,2309,0.745
fadR,2309,0.715
glpR,2309,0.728
narP,2309,0.724
lrp,2309,0.742
narL,2309,0.785
torR,2309,0.737
dnaA,2309,0.714
cpxR,2308,0.703
pdhR,2308,0.732
purR,2308,0.75
phoB,2308,0.723
cspA,2308,0.723
argR,2308,0.749
fis,2308,0.744
narL,2308,0.718
hns,2308,0.764
ompR,2308,0.793
torR,2308,0.72
metR,2308,0.764
glpR,2308,0.716
lrp,2308,0.781
cytR,2308,0.79
fur,2308,0.737
pdhR,2308,0.732
metR,2308,0.764
fnr,2308,0.71
hns,2308,0.764
soxS,2308,0.72
cspA,2308,0.723
phoB,2308,0.723
arcA,2308,0.757
soxS,2308,0.72
fur,2308,0.737
dnaA,2308,0.844
cpxR,2308,0.703
cytR,2308,0.79
nagC,2308,0.801
iclR,2308,0.75
lexA,2308,0.769
purR,2308,0.75
arcA,2308,0.757
fis,2308,0.744
fnr,2308,0.71
argR,2308,0.749
ompR,2308,0.793
nagC,2308,0.801
glpR,2308,0.716
lexA,2308,0.769
lrp,2308,0.781
narL,2308,0.718
iclR,2308,0.75
torR,2308,0.72
dnaA,2308,0.844
gcvA,2308,0.723
cpxR,2307,0.833
tyrR,2307,0.768
pdhR,2307,0.707
phoB,2307,0.721
cspA,2307,0.754
argR,2307,0.717
fis,2307,0.725
narL,2307,0.741
hns,2307,0.794
ompR,2307,0.807
torR,2307,0.707
metR,2307,0.7
glpR,2307,0.757
lrp,2307,0.709
cytR,2307,0.773
pdhR,2307,0.707
metR,2307,0.7
hns,2307,0.794
soxS,2307,0.702
cspA,2307,0.754
phoB,2307,0.721
arcA,2307,0.947
soxS,2307,0.702
tyrR,2307,0.768
malT,2307,0.807
dnaA,2307,0.721
cpxR,2307,0.833
cytR,2307,0.773
nagC,2307,0.712
fadR,2307,0.714
arcA,2307,0.947
fis,2307,0.725
metJ,2307,0.716
malT,2307,0.807
argR,2307,0.717
ompR,2307,0.807
nagC,2307,0.712
metJ,2307,0.716
fadR,2307,0.714
glpR,2307,0.757
lrp,2307,0.709
narL,2307,0.741
torR,2307,0.707
dnaA,2307,0.721
gcvA,2307,0.744
dnaA,1473,0.714
torR,1473,0.737
fis,1473,0.765
cytR,1473,0.716
cpxR,1473,0.717
narL,1473,0.703
metR,1473,0.708
tyrR,1473,0.791
cspA,1473,0.708
hns,1473,0.754
pdhR,1473,0.732
ompR,1473,0.729
cytR,1473,0.716
soxS,1473,0.728
narP,1473,0.741
hns,1473,0.754
fnr,1473,0.712
metR,1473,0.708
tyrR,1473,0.791
cpxR,1473,0.717
soxS,1473,0.728
arcA,1473,0.718
crp,1473,0.769
fur,1473,0.81
dnaA,1473,0.714
fhlA,1473,0.903
fnr,1473,0.712
arcA,1473,0.718
malT,1473,0.811
cspA,1473,0.708
fur,1473,0.81
pdhR,1473,0.732
malT,1473,0.811
ompR,1473,0.729
fhlA,1473,0.903
lrp,1473,0.72
narL,1473,0.703
crp,1473,0.769
lrp,1473,0.72
torR,1473,0.737
fis,1473,0.765
narP,1473,0.741
cpxR,2320,0.729
crp,2320,0.766
pdhR,2320,0.732
hns,2320,0.772
argR,2320,0.707
soxS,2320,0.708
fnr,2320,0.826
lrp,2320,0.727
torR,2320,0.72
cytR,2320,0.744
pdhR,2320,0.732
hns,2320,0.772
ompR,2320,0.707
soxS,2320,0.708
arcA,2320,0.748
malT,2320,0.753
dnaA,2320,0.813
cpxR,2320,0.729
cytR,2320,0.744
iclR,2320,0.729
gcvA,2320,0.855
arcA,2320,0.748
fnr,2320,0.826
ompR,2320,0.707
malT,2320,0.753
crp,2320,0.766
glpR,2320,0.741
argR,2320,0.707
glpR,2320,0.741
lrp,2320,0.727
gcvA,2320,0.855
torR,2320,0.72
dnaA,2320,0.813
iclR,2320,0.729
dnaA,1472,0.704
nagC,1472,0.729
fis,1472,0.724
cytR,1472,0.786
metR,1472,0.706
cspA,1472,0.777
hns,1472,0.736
ompR,1472,0.757
pdhR,1472,0.707
cytR,1472,0.786
soxS,1472,0.773
hns,1472,0.736
fnr,1472,0.716
metR,1472,0.706
fadR,1472,0.706
soxS,1472,0.773
arcA,1472,0.793
crp,1472,0.726
dnaA,1472,0.704
fnr,1472,0.716
rpoN,1472,0.75
arcA,1472,0.793
malT,1472,0.807
nagC,1472,0.729
cspA,1472,0.777
pdhR,1472,0.707
malT,1472,0.807
ompR,1472,0.757
fadR,1472,0.706
lrp,1472,0.727
crp,1472,0.726
lrp,1472,0.727
gcvA,1472,0.733
fis,1472,0.724
dnaA,1471,0.712
torR,1471,0.773
galR,1471,0.866
fis,1471,0.799
purR,1471,0.833
cytR,1471,0.757
metR,1471,0.845
phoB,1471,0.709
hns,1471,0.739
pdhR,1471,0.732
ompR,1471,0.704
cytR,1471,0.757
soxS,1471,0.755
narP,1471,0.73
hns,1471,0.739
fnr,1471,0.714
metR,1471,0.845
fadR,1471,0.709
phoB,1471,0.709
cynR,1471,0.756
metJ,1471,0.834
soxS,1471,0.755
arcA,1471,0.711
cynR,1471,0.756
crp,1471,0.731
fur,1471,0.768
dnaA,1471,0.712
fnr,1471,0.714
rpoN,1471,0.804
arcA,1471,0.711
fur,1471,0.768
pdhR,1471,0.732
purR,1471,0.833
ompR,1471,0.704
fadR,1471,0.709
lrp,1471,0.793
crp,1471,0.731
lrp,1471,0.793
galR,1471,0.866
metJ,1471,0.834
torR,1471,0.773
fis,1471,0.799
narP,1471,0.73
dnaA,1470,0.721
torR,1470,0.737
nagC,1470,0.703
purR,1470,0.754
cytR,1470,0.714
cpxR,1470,0.865
narL,1470,0.734
metR,1470,0.776
glpR,1470,0.826
tyrR,1470,0.793
cspA,1470,0.738
phoB,1470,0.726
hns,1470,0.764
ompR,1470,0.787
cytR,1470,0.714
soxS,1470,0.739
hns,1470,0.764
fnr,1470,0.707
metR,1470,0.776
iclR,1470,0.729
fadR,1470,0.796
phoB,1470,0.726
cynR,1470,0.711
tyrR,1470,0.793
cpxR,1470,0.865
soxS,1470,0.739
arcA,1470,0.781
cynR,1470,0.711
crp,1470,0.702
fur,1470,0.724
dnaA,1470,0.721
fhlA,1470,0.744
fnr,1470,0.707
rpoN,1470,0.807
arcA,1470,0.781
malT,1470,0.707
nagC,1470,0.703
cspA,1470,0.738
fur,1470,0.724
malT,1470,0.707
purR,1470,0.754
ompR,1470,0.787
fadR,1470,0.796
fhlA,1470,0.744
lrp,1470,0.714
narL,1470,0.734
crp,1470,0.702
lrp,1470,0.714
gcvA,1470,0.705
iclR,1470,0.729
torR,1470,0.737
glpR,1470,0.826
ilvY,2317,0.702
pdhR,2317,0.756
cpxR,2317,0.756
crp,2317,0.732
phoB,2317,0.712
cspA,2317,0.769
modE,2317,0.734
fis,2317,0.712
ompR,2317,0.769
narL,2317,0.744
hns,2317,0.773
lrp,2317,0.73
metR,2317,0.713
cytR,2317,0.841
pdhR,2317,0.756
fur,2317,0.713
hns,2317,0.773
metR,2317,0.713
cspA,2317,0.769
soxS,2317,0.711
phoB,2317,0.712
arcA,2317,0.792
modE,2317,0.734
soxS,2317,0.711
fur,2317,0.713
ilvY,2317,0.702
cytR,2317,0.841
cpxR,2317,0.756
dnaA,2317,0.742
fadR,2317,0.732
nagC,2317,0.714
iclR,2317,0.75
nagC,2317,0.714
arcA,2317,0.792
metJ,2317,0.723
fis,2317,0.712
deoR,2317,0.709
ompR,2317,0.769
crp,2317,0.732
metJ,2317,0.723
fadR,2317,0.732
lacI,2317,0.75
deoR,2317,0.709
gcvA,2317,0.748
lrp,2317,0.73
gcvA,2317,0.748
lacI,2317,0.75
dnaA,2317,0.742
narL,2317,0.744
iclR,2317,0.75
dnaA,1469,0.781
metR,1469,0.795
cspA,1469,0.769
ompR,1469,0.729
hns,1469,0.793
soxS,1469,0.746
hns,1469,0.793
metR,1469,0.795
fadR,1469,0.7
metJ,1469,0.703
arcA,1469,0.705
soxS,1469,0.746
ompR,1469,0.729
dnaA,1469,0.781
malT,1469,0.797
arcA,1469,0.705
malT,1469,0.797
cspA,1469,0.769
lrp,1469,0.787
metJ,1469,0.703
galR,1469,0.711
fadR,1469,0.7
pdhR,1,0.732
iclR,1,0.708
hns,1,0.816
cspA,1,0.723
soxS,1,0.709
argR,1,0.718
arcA,1,0.774
malT,1,0.709
dnaA,1,0.732
torR,1,0.72
lrp,1,0.745
pdhR,1,0.732
cspA,1,0.723
fnr,1,0.774
argR,1,0.718
ompR,1,0.728
lrp,1,0.745
crp,1,0.826
malT,1,0.709
fur,1,0.808
metR,1,0.771
cytR,1,0.718
narP,1,0.721
soxS,1,0.709
narP,1,0.721
fur,1,0.808
cytR,1,0.718
cynR,1,0.711
dnaA,1,0.732
iclR,1,0.708
narL,1,0.702
arcA,1,0.774
crp,1,0.826
narL,1,0.702
hns,1,0.816
fnr,1,0.774
torR,1,0.72
metR,1,0.771
purR,2316,0.721
cpxR,2316,0.773
tyrR,2316,0.726
cspA,2316,0.769
fis,2316,0.712
ompR,2316,0.81
narL,2316,0.757
hns,2316,0.721
lrp,2316,0.834
metR,2316,0.714
cytR,2316,0.749
fur,2316,0.833
fnr,2316,0.703
hns,2316,0.721
metR,2316,0.714
cspA,2316,0.769
soxS,2316,0.709
arcA,2316,0.716
soxS,2316,0.709
fur,2316,0.833
malT,2316,0.714
tyrR,2316,0.726
cpxR,2316,0.773
cytR,2316,0.749
fadR,2316,0.705
purR,2316,0.721
arcA,2316,0.716
metJ,2316,0.739
fis,2316,0.712
rpoN,2316,0.709
fnr,2316,0.703
malT,2316,0.714
ompR,2316,0.81
metJ,2316,0.739
glpR,2316,0.786
fadR,2316,0.705
glpR,2316,0.786
lrp,2316,0.834
narL,2316,0.757
dnaA,1468,0.791
nagC,1468,0.765
cytR,1468,0.71
narL,1468,0.71
cpxR,1468,0.725
fis,1468,0.707
metR,1468,0.798
glpR,1468,0.758
tyrR,1468,0.784
phoB,1468,0.726
cspA,1468,0.738
ompR,1468,0.733
pdhR,1468,0.756
cytR,1468,0.71
argR,1468,0.701
hns,1468,0.705
soxS,1468,0.749
narP,1468,0.731
fnr,1468,0.737
hns,1468,0.705
iclR,1468,0.708
metR,1468,0.798
fadR,1468,0.721
cynR,1468,0.711
phoB,1468,0.726
cpxR,1468,0.725
arcA,1468,0.724
cynR,1468,0.711
crp,1468,0.74
soxS,1468,0.749
fur,1468,0.861
tyrR,1468,0.784
ompR,1468,0.733
dnaA,1468,0.791
rpoN,1468,0.916
fnr,1468,0.737
arcA,1468,0.724
nagC,1468,0.765
cspA,1468,0.738
fur,1468,0.861
pdhR,1468,0.756
argR,1468,0.701
crp,1468,0.74
narL,1468,0.71
lrp,1468,0.805
iclR,1468,0.708
glpR,1468,0.758
fis,1468,0.707
narP,1468,0.731
fadR,1468,0.721
iclR,2,0.708
hns,2,0.812
metJ,2,0.792
cspA,2,0.7
soxS,2,0.752
arcA,2,0.723
glpR,2,0.796
malT,2,0.734
dnaA,2,0.713
cpxR,2,0.734
lrp,2,0.725
torR,2,0.737
nagC,2,0.701
cpxR,2,0.734
cspA,2,0.7
fis,2,0.748
fnr,2,0.751
ompR,2,0.735
lrp,2,0.725
crp,2,0.787
malT,2,0.734
glpR,2,0.796
cytR,2,0.73
soxS,2,0.752
cytR,2,0.73
nagC,2,0.701
dnaA,2,0.713
iclR,2,0.708
narL,2,0.734
arcA,2,0.723
