"","0","1200","1200 | 1","4800","8400","12000","19200","0 | 1","0 | 2","1200 | 2","4800 | 1","8400 | 1","12000 | 1","19200 | 1"
"chaA",0.885895996770161,1.01744096260702,1.57140959759197,0.743191864414126,1.72202467816195,0.966482983642458,0.672683044738653,1.28049878408023,0.876454417137029,1.24190315072309,0.903378927171969,0.969865934451051,1.02293679719501,1.04226537337446
"1.1.3.4",0.912392604573015,1.00421853542774,1.4769493984674,0.807654804997922,1.8844072321033,0.966459413642086,0.679230050905702,1.18035636678016,1.20860423045685,1.2209958569331,0.915128962243479,0.940221004660081,0.993328735389232,1.16229237760142
"hns",0.792180857470834,0.659054047369754,0.554814680784864,1.03647580338277,1.19735066538278,1.0152431597027,1.20244860940777,1.60941402163903,1.42732931162057,1.02786729048761,0.82933833928801,1.05221270121409,0.996544491602668,1.44614930865932
"1.1.3.6",0.924586656453877,0.648328147617651,0.644004670359855,0.919344850676976,1.12972394477191,1.17015967235947,1.42273696729103,1.28082600079143,1.41031382122587,1.09228218604958,0.811521684302422,1.09044137199264,1.07638490412334,1.24959512736474
"rplN",1.62144263656713,1.30587392927643,0.834501511037215,1.63152830655712,1.10259673771175,1.18024900361803,1.4318931941018,1.06883327743217,1.83888104683069,1.21096709085526,1.23066101596424,1.46089833862983,0.763327746773164,1.36081474556023
"1.1.3.8",1.65382447913927,1.21036849427243,1.65609921198374,1.47903815974918,1.23619435054439,0.943858099568711,1.24308868804182,1.08059612754179,1.27914965393618,1.02684431569136,1.1804131804074,1.38239255129132,1.20351560401787,1.23977853749046
"yjbG",0.822457106367166,0.895895487684002,2.13724922540834,0.939174748186879,1.33572237028426,1.0654585652016,0.709601249932516,0.668549132145646,0.58747443919296,0.462177323326498,0.93412959502604,0.773916079698149,0.736691634341514,0.522371255476525
"1.1.4.2",0.864221448074112,0.870519108803912,1.8727870544016,0.76195862320799,1.03079556705403,0.763554327663711,0.803201949467761,0.992503621802539,0.73815592729512,0.644054588519374,0.74469842322532,0.683378099510778,0.839041640177229,0.509211196296052
"yjdI",0.779676091730519,1.10586991396509,1.65303444728071,0.845309098742028,1.49639598179261,1.23585177213098,1.19438145481175,0.705971037900752,1.11998016252738,1.0939874022856,0.902705957656758,0.963262726620293,0.786484861179677,0.7922917533623
"1.1.4.4",0.913471952037316,1.19350313501462,1.15030361005093,0.964372624454435,1.3669582742146,1.1208967995559,1.41206236702037,1.17864922978255,0.925820381278975,1.36141393038818,0.989116841130481,1.06349328130641,0.868891992326441,0.805625188975533
"ytfQ",0.671348262481628,0.981782367701565,0.651190260829551,0.922264800768561,1.01539778142978,1.14246758058786,1.53274599080248,0.839435898761798,1.33739639258938,1.1002417569112,1.11113931682545,1.17765575078854,1.06672488197794,1.09940581176817
"1.1.4.6",1.00394272653982,0.93794142792372,0.660462431329076,0.900036042919856,0.86220545900509,1.08653013173431,1.5552524263456,1.17314794641024,1.30977208815874,1.14849696955542,1.09297816437905,1.17030561896841,1.05713162209265,1.05680895529144
"yjiG",0.918083364890799,1.45220539937576,1.25515276875298,1.36092545211483,1.02027971020055,0.916793966666199,1.17936734855022,1.06983608577796,0.982790366971374,1.14962631608161,1.19239515051824,1.01168467327937,1.17225547487159,1.07759381844544
