"","0","3600","0 | 1","3600 | 1","0 | 2","0 | 3","0 | 4","0 | 5","0 | 6","7200","7200 | 1","0 | 7","0 | 8","0 | 9","10800","0 | 10","0 | 11","10800 | 1","14400","0 | 12","14400 | 1","0 | 13","0 | 14","0 | 15","0 | 16","18000","0 | 17","18000 | 1"
"thrA",0.411280948649879,0.519171028344803,0.399218182162492,0.404917168012609,0.629961167995561,0.56656895700634,0.52356647473584,0.460237656704971,0.0813859329815412,0.0863095266602659,0.0635131917342549,0.255049896960051,0.0625354304228339,0.0560610442519276,0.05592597529743,0.0609152366941263,0.0660458938748305,0.0804520450381174,0.046148970130849,0.0523798436652092,0.04033199634601,0.0499367692938145,0.218047784812096,0.0829696766549442,0.0545524192213956,0.0496966679227078,0.15196158057585,0.0750302433161664
"thrB",0.450890429784747,0.49335674152511,0.453738206694797,0.625271632824905,0.615270713539693,0.505733772210878,0.487333715861505,0.501655231990219,0.178441178063603,0.204803298606785,0.221442571257295,0.354669446072639,0.230018884485437,0.166499441604945,0.19142813705768,0.175926868266392,0.238947100095553,0.180452703546557,0.213386841762492,0.159594450896697,0.088250662805937,0.145304402380419,0.164456825599727,0.15816676614333,0.120329301631992,0.160890429319963,0.147643484507653,0.128851823736535
"thrC",0.519470270656112,0.512496784492003,0.489277632473856,0.698228990494315,0.635252423363231,0.490006490488227,0.525080338339659,0.516302359736794,0.155934997081928,0.163807532581703,0.202090160689723,0.288604797465397,0.258563124307038,0.148446632666006,0.191087714501239,0.167935368706103,0.236311488324164,0.167855287935144,0.179545009177609,0.165946624138376,0.0989966806643702,0.142869847924409,0.164317917744478,0.167093453066859,0.12579670454359,0.154696740042644,0.143976366796023,0.201867932876538
"yaaA",0.839203781553268,0.820131017187859,0.807591156116754,0.742084474416256,0.905161426810429,0.843415887990899,0.966435745073952,0.78582856332841,0.538119401442677,0.296618701871815,0.529697832751138,0.688041456388661,0.311288207179989,0.391445536166334,0.23511803598845,0.243975826577939,0.19359092891691,0.278596400234746,0.229828079383935,0.227117032306661,0.276460197312861,0.234813290690883,0.405139263312835,0.526394960699805,0.47578493042456,0.21619153628419,0.309243511237327,0.324692671804102
"yaaJ",1.27551177555788,1.18844590746449,1.32614901090723,1.34313091673494,1.57165950479635,0.848869866665388,1.24891169327552,1.6974596101841,1.61573870014844,1.91150233301121,1.48875932851968,1.42040935964785,2.19617262125335,3.2223613713753,1.82699572475028,2.73564528198878,2.90740132187264,3.28828947711519,2.15992594029583,2.60586306501443,2.74766563603987,2.72570434379721,2.94157700538509,2.12050297207178,3.77581539236772,2.53528421870081,2.23361274855277,2.89946575300354
"talB",1.1824312897443,1.08540631758951,1.11926360053245,1.28503717951877,0.964687855839449,1.41790675445073,1.29229071710583,1.01900859767704,0.366565213792878,0.362202297839725,0.424493359947865,0.749422481490051,0.20918422974331,0.350468865314388,0.360770563474476,0.287134756177027,0.338222125774734,0.411810890151276,0.516084006088723,0.363959314332535,0.365179609739345,0.275016571703247,0.326978230152615,0.446126341014113,0.509095586634384,0.334816437150977,0.534194208092061,0.276453514764113
"mog",0.971165578189414,1.02125231520425,0.966000224862669,1.06483079586141,1.05327510485135,1.10345115333685,0.92406159217455,0.844852914526407,2.67527432253935,2.70172998175352,2.41514056393296,1.64310851656398,4.31133955018819,4.53035910197144,5.50354246462605,3.49758946833572,2.60844547742454,2.9332218268665,3.51634574848416,2.7013373301739,2.04158829660952,2.453215123504,3.04288977095691,1.99455564094357,1.99372924735106,5.57290341491026,2.80502668760723,3.55172015695641
"satP",0.844776499728274,0.912004584679379,0.736013054814659,0.899439261064534,0.778299432343743,0.948469131412498,1.02881459548016,0.793678001093031,0.869280135429979,0.641809583404812,0.881032683725043,1.01486349806247,0.500243635417073,0.712921807889271,0.45782382616425,0.657435270401527,0.442238565115599,0.562946292240447,0.826258957430585,0.822562108827832,0.941558896238775,0.849280121306489,0.956864947275966,0.824874081324428,1.01901588059886,0.679406609768858,1.11587972052459,0.810370684445855
"mbiA",0.769090698674827,0.754341448810328,0.852147538220514,1.12794750354688,1.00436676151259,0.453819352445352,0.778170822168419,0.710678913030979,0.716822251922911,1.21408359422745,0.770714449369082,0.828238779641664,0.684149738218492,0.766637875021384,1.11333716486644,0.722136754411991,0.679978603629394,1.14628535046972,1.50966525016163,0.911560581004748,1.22035092425188,0.744501742737669,0.910669348177601,0.612217953448511,0.603263833705162,0.734255864748901,0.711486652431841,1.25062505970026
"yaaW",0.968282500242388,0.987462553824424,0.831853125286251,1.01061182156702,0.827523166599663,1.28737303683816,1.14725988076401,0.876517296875013,0.794152137350704,1.21470098017652,0.956695613098112,0.646524166133742,0.625771384881849,1.1444753864144,1.99241113507727,1.42447648884116,1.31072313207549,2.01958708404574,1.09045604060759,1.11545240588968,1.29830542160638,1.39782060843948,1.1174373106151,0.939723891298466,1.61632980419831,1.89698485931413,0.880838446749599,0.39602014220112
"yaaI",0.957459041908846,1.00243109620003,0.737580376935377,1.05431399768984,0.963786670258432,1.18984308971593,0.98666689636784,0.91848204619912,1.26550679424364,1.12979574079858,1.42204979227646,1.15525836434734,1.39554422273198,1.30303019975607,1.25525732081053,1.11824636369081,1.23018787192408,1.01159837947676,1.46239731633301,1.12030495606922,1.09598015382943,1.46159769612444,1.51741113752912,1.33051068008328,1.30636798636276,1.3063687125782,1.41614985846179,0.860122149762281
"dnaK",0.601538497650268,0.594604153879496,0.5225733809245,0.651776855856644,0.701912263870748,0.6570347456408,0.612285857328229,0.577085015175012,0.324449782274937,0.346963987797638,0.346145476030673,0.415596720499456,0.328648097131658,0.298601335069535,0.335579340964126,0.286322393464581,0.318931349935758,0.299847196058603,0.398748020484995,0.281905133543897,0.230137158420407,0.255902744649654,0.382441443120994,0.302567735252549,0.268536129861039,0.406158791598359,0.312524076119472,0.366867063348389
"dnaJ",0.811102546559103,0.70108649079764,0.816286261297837,1.06222120339023,0.701729844741,0.785174688048015,0.619788159114211,0.677046276822053,0.298881511443779,0.199829476307883,0.214578840073716,0.274259669242989,0.14121427093313,0.151260641325951,0.159727466842143,0.153064306073531,0.165146069981119,0.22800389210274,0.263624825285245,0.242441196365089,0.192677476463432,0.326038537031593,0.574616931638026,0.257105521075021,0.318033015102384,0.388368643284187,0.522791139859831,0.25341801207416
"mokC",1.44134499501171,0.952832657986265,1.04093385855275,1.56668902171808,0.984290694846204,1.37100109939176,1.13127061540544,1.31006963379502,1.1381024015754,1.20304857850459,1.2953735891802,1.80678011498655,0.538538757372473,0.817249904772703,0.490167775805449,1.01274106305376,0.378331265362707,0.664522996767217,0.801521112854829,0.806542809179883,0.42138189555849,0.651030205497272,0.740232278423846,0.502592776364875,0.468249585340628,0.618257936267311,0.639000753725877,0.559168524090714
