"","0","216000","540000","972000","0 | 1","216000 | 1","540000 | 1","972000 | 1","0 | 2","216000 | 2","540000 | 2","972000 | 2"
"caiC",136,188.1,193,112.3,251.1,162.7,255.4,295.1,58.8,104.3,83.1,48.6
"caiB",202.3,297.7,217.3,220.5,376.9,319.3,288.7,519.1,89.2,116.5,117.8,87.2
"caiA",75,194.8,132.5,118.8,258.6,290.3,203.9,105.9,104.9,64.4,51.7,36.6
"caiT",38.4,52.4,19.7,166,226.4,231.3,49.7,516.1,54.4,62.3,68.7,58.7
"fixA",53.2,134.8,105.5,90.9,91.6,183.3,33.3,23.2,12.4,21.5,24.6,10.6
"fixB",183.6,381.7,254.7,244.7,295.5,251.3,285.1,308.9,79.5,83.7,62.5,58.1
"fixC",115.6,142.3,113.9,103.3,226,263.9,221.4,342.3,57.6,45,68.9,35.1
"fixX",69,59.9,72.2,109.2,202.9,52.1,232.3,84.4,14.7,86.3,39.5,12.1
"yaaU",109.2,136.5,107,120.9,139.4,215.9,321.9,284,29,9.7,28.1,11.8
"kefF",198.5,275.9,171.9,271.4,254.4,291.8,129,246.6,63.1,114.4,165.3,71.3
"kefC",304.6,436.4,335.6,871.3,320.1,615.2,609.8,766.5,130,330.2,309.4,235.9
"folA",2063.9,2239.2,1001.3,2181.2,2122.3,1672.1,1176.3,1249.5,465.6,528.6,499.8,606.3
"apaH",596.8,620.9,520.7,742.9,585.2,518,782,839.6,164.2,203.8,341,452.8
"apaG",1058.7,1147.7,885.4,2183.2,1031.5,955.4,1603.8,2626.7,628.5,1033.1,1077.4,991.4
"rsmA",861.2,811.1,777.2,1957.3,791.7,845.3,1425.6,1951.2,605.3,962.1,890.8,957.3
"pdxA",765.5,870.9,579.8,207.9,795.3,608.8,479.2,527.8,526.5,496.9,382.1,322.8
"surA",1633.5,1659.3,1953.7,1731.2,1611.9,1037.2,1039.6,1270.6,1364,1675.8,1181.8,1166.4
"lptD",959.6,1019.1,938.9,1814,735.8,594,792.5,1385.3,577.8,784.3,689.3,916.6
"djlA",858.7,782.4,776.4,283.3,611.8,852,428,486.7,375.6,336,307.8,180.2
"yabP",488.9,280.2,157.1,339,235.9,135.3,313.4,74.5,225.7,117.8,179.4,112
"yabQ",1078.7,443.2,571.5,1072.1,145.1,238.9,260.2,292.7,261.1,242.9,293.7,262
"rluA",188.2,211.2,121.1,368.5,181.3,270.4,333,608.6,103.3,84.7,176.7,211.7
"rapA",346.6,350.1,346.1,455.5,157.1,386,400.9,493.4,139.3,130.2,204.5,146.8
"polB",21.5,79.9,68.7,82.5,9.2,21.5,28,22.9,11,9.4,11.1,8.9
"araD",380.8,196.9,198.2,143.2,346.1,157.3,304.2,311.4,117.1,56,105.4,115.3
"araA",129.7,120.6,193.1,40.3,25.2,102.1,119.7,55.1,65.9,38.6,40.5,28
"araB",151.1,144.1,231.2,222.7,29.6,74.9,180.4,256.4,74.3,11.9,38,47.5
"araC",17.8,18.5,74.9,26.1,23.7,103.8,15.1,32.9,9.6,19.4,33.2,12
"yabI",195,254.2,246.3,213.1,42.3,88.1,125,181.5,97.3,80.6,37.1,67.4
"thiQ",269.2,363.3,311.4,370.1,380.1,833.3,688.4,839.3,101.1,172,112.4,94.8
"thiP",109.1,226,223.8,153.2,86.9,71.9,194.8,287.5,60.9,88.4,88.7,64.4
"thiB",22.5,23.9,43,87.2,35.7,48.2,27.7,61.6,11.5,31.1,18.4,11.5
"sgrR",142.6,103.2,100.3,159,103.8,22.7,235.6,252.2,41,35.9,31.7,25.7
"setA",17.8,18.3,22.4,17.3,20.1,27.5,27.5,45,6.8,14,9.9,4.1
"leuD",77.6,22.7,89.2,97.6,76.3,41.2,37.8,123.1,42.1,12.6,24.8,26.4
"leuC",361.2,446.2,345,375.7,308.1,410.9,486.3,414.9,173.8,91.5,93.4,104.6
"leuB",194.3,140,114.1,65.1,40.4,40.6,45.8,62.9,59.1,92.1,37.7,21.8
"leuA",87.8,53.9,93.9,82.6,12.5,122.3,173.5,233.2,59.4,77.1,46.6,48
"leuL",44.9,84.9,59.5,75.1,167.7,80.6,192.2,197.7,13.4,16.3,1.9,3.1
"leuO",71,55,60.1,73.2,28.5,19.6,101.6,73.6,19.9,25.2,33.8,14.2
"ilvI",19.8,30.4,33.1,34.3,111.4,73.2,70.2,71.4,4.2,6.4,10.7,2.7
"ilvH",71.8,139,86.4,161.1,69.5,128.6,162.8,253.9,10.3,17.9,28.1,50.8
"cra",23.5,25,14.2,13.7,126.9,34.1,22.8,22.3,5.6,6.5,12.7,5.2
"mraZ",2434.2,1579.6,1515.8,4106.6,1751.7,2458.1,3026.8,1949.2,1284.8,1444.3,1484.4,1077.4
"rsmH",1817.7,1494.8,1186.4,2161.3,1114.8,978.7,1784.3,781.3,1247.1,679.1,719.2,718.7
"ftsL",2444.8,2070,1780.9,2356.7,1406,2144.7,2341.6,1310.7,1291.5,956.7,902.8,713.5
"ftsI",880.1,851.6,701.1,550.3,1027.5,1064.5,1030.7,390.8,636.4,342.8,322.5,196.9
"murE",1184.3,1053.9,1047.4,1072.7,1612,2086,2366,1505.6,823.4,756.9,587.6,361.3
"murF",827.5,645.7,530.8,461.6,623.4,482.5,723.3,391.3,449.4,451.7,370.2,222.6
"mraY",585,433.7,494.2,588.4,789.5,623.1,883.2,392.1,426.5,512.5,293.4,202.8
"murD",1299.7,1218.5,876.3,1274.7,750,912.3,557,734.8,687.4,581.4,388.4,328.7
"ftsW",943.6,953.1,632.3,668.1,600.7,678.9,768.3,505.8,711.2,703.9,545.5,246.4
"murG",1078.9,1047.9,941.9,698.5,809.7,1118.4,1261.8,1037.3,588.4,517.4,393.5,262.4
"murC",505.6,511.4,488.8,438.6,756.6,1045.3,997.8,357.2,279,308.8,267.7,118
"ddlB",1111.8,1238.9,1318.9,2629.4,1706.8,1814.8,2117,1560.2,959.7,1006.8,1398.8,839.6
"ftsQ",969,1074.2,1067,1923.6,1319.6,2414.6,2759.2,2314.9,666.7,827.9,1023.4,710
"ftsA",1206.5,1632.4,1280.4,1631.9,1689.8,1891.6,2022.9,1690.8,1334,865,1143.3,831.6
"ftsZ",724.7,2091.5,1922.4,2129.8,1354.3,2183.1,3382.1,2483.2,913,1103.7,1587.3,889.1
"lpxC",3269.4,3339.2,2640.4,2539,7963.5,4244.9,2878.6,4274.1,1536,1285.2,1312.7,1300
"secM",795,881.9,760.9,330.3,1267.8,1223.5,670.2,659.7,677.4,704,360.6,311.5
"secA",3020.4,1892.7,1915.1,608.6,1525.5,1531.8,622.4,513.5,785.9,510.5,307.5,232.7
"mutT",711.2,576.5,424.2,187.6,425.9,257.8,131.2,354.3,150.1,172.3,71.6,70.5
"yacG",632.1,674.6,312.3,489.6,742.9,743.2,736.3,531.3,173.1,243.7,200.1,283.4
"zapD",887.9,833.3,713.9,447.6,722.5,612,618.6,477.4,229,312.9,279.9,406.3
"coaE",388.7,540,356.4,661.3,387.8,482.7,479.3,683.4,265.6,366.9,390.1,427.9
"guaC",717.7,1902.8,716.1,397.7,730.7,1448.9,1298.3,972.9,359,490.5,218.9,117.6
"hofC",206.4,168.9,111.8,187.9,229,169.7,292,420.4,68.8,124.8,73.1,39.6
"hofB",51.4,25.2,30.4,37.4,26.6,23.6,35.9,23.2,14.5,10.2,16.7,5.5
"ppdD",142.2,153.3,15.8,172.3,198.7,194.1,220.5,194.1,35.6,55.2,53.2,33
"nadC",463.1,630,426.4,249.3,367.7,467.4,296.4,78.8,284.6,306.8,196.4,163.9
"ampD",208.9,308.1,257.4,368.7,294.1,379.8,353.6,230.3,219.8,234.4,187,151.8
"ampE",242.4,316.5,321.5,507.4,303.6,592.6,958.7,761.9,210.2,192.9,212.2,181.2
"aroP",407.9,345.3,247.2,486.5,273.6,206.6,302.9,348,109.2,127.7,106.1,112.4
"pdhR",2287.1,1447.2,426.9,352.5,1308.5,391.6,233,172.5,87,208.6,97.9,99.4
"aceE",8376.5,7273.9,2531.2,2035.4,9585.5,1945.3,1985.3,3056.2,1225.2,1387.6,1077.6,853.6
"aceF",8088.3,6126,2306.9,1678,14464.2,1206,1178.6,1195.8,1302.4,1071.2,863.3,841.8
"lpd",6507.8,7035.4,8760.5,2408.6,10787.2,6305.8,4210,2104,2601,2615.1,1518.5,988.8
"yacH",141.1,165.5,215.5,181.4,170.8,195.3,149.6,220.7,51.9,56.7,101.1,66.9
"acnB",1374.4,1886.8,2936.1,1635.7,1537.1,1947.9,2178.9,1448.1,1209.2,1389.3,1433,836.5
"yacL",1011.6,1100.7,990.6,3406.9,1018.8,1324.5,1539.1,1632.2,505.4,424.6,487.4,753.6
"speD",2360.4,1677.8,2420.7,351.7,970.9,929.6,451.3,617.5,621.7,1899.1,450.8,320.6
"speE",2061.3,1466.7,1946,257.8,960.8,1064.6,584.3,716.7,581.9,1719.8,375.9,264.6
"yacC",1440.8,1576.1,697.5,439.4,912,929.1,527.5,524.9,1580.7,1427.1,412.9,850.6
"cueO",280.5,432.6,425.7,380.2,473.2,926.5,828.5,1060.6,167,330.6,251.3,238.3
"gcd",401.3,164.6,118.4,2050.3,201.3,77.5,959.3,815.1,62.6,115.4,259.3,551
"hpt",3759.5,3228,1822.8,682.9,1727.6,1794.9,1013.3,915.5,1035.1,627.5,481.9,430.6
"can",6288.7,5872.8,4560.8,1343,3501.8,4689.8,3160.8,3669,2207.3,3258.1,2490.5,1488.3
"yadG",555.5,567.5,635,468.5,316.5,454.7,525.6,443.9,244.8,298.3,249.7,221.4
"yadH",251,270.6,416,524.7,226.6,260.9,333.9,478.7,117.1,249.1,240.3,193.4
"yadI",133,173.7,376.6,518.1,280.7,499.5,470.9,253.8,123.5,79.1,244.8,138.8
"yadE",140.7,161.9,86.1,113.9,86.5,44.3,20.1,181.3,60.5,115.6,58.5,66.4
"panD",2236.9,2101.3,2055.7,974.3,705.6,1595.2,1088.3,1302.8,944.7,1012.3,809.8,762.8
"rpnC",244.3,339.4,312.5,391.6,164.3,156,95.6,152,137.4,161.6,126,112.4
"panC",652.4,913.7,845,526,213.3,727.6,731,589.1,309.9,435.1,299.2,291.1
"panB",1154,1663.7,1410.7,887.7,668,1253.2,835.5,1085.3,649.4,594.5,395.9,357.2
"yadC",111.3,53.9,66.9,90,83.3,86,124.8,122.7,20.3,51.8,53.2,28.7
"yadK",15.7,106.5,55.9,31.3,33.7,27.3,52.1,105,13.4,26.9,63.1,14.7
"yadL",60.6,79.2,44.9,103.7,200.2,26,118.1,93.3,16.6,91.4,64.6,44.4
"yadM",69.1,82.3,62.7,168.4,30.5,168,78.4,68.3,22.1,46,79.9,26.1
"htrE",72.2,100.2,72.1,65.1,183.9,16.6,20.2,26.6,14.9,15.1,29.8,24.7
"yadV",64.5,53.3,81.1,100.5,87.3,32.6,143.9,27.5,18.9,38.2,40.8,16
"yadN",88.5,10.6,5.9,8.5,40.2,16.7,11.2,163.9,2,4.7,27.5,2.2
"folK",565.5,560,304.2,138.5,439.5,605.2,241.6,211.3,206.8,417.3,150.3,103.5
"pcnB",2475.7,2386.4,2154.9,455.6,2686.6,1926.5,615.7,739.5,1319.6,1417.4,614.2,344.6
"gluQ",209.7,168.2,202.8,203.6,231.6,311.7,253.5,329,161,151.2,109.8,102
"dksA",3354.5,3293.7,5506.4,6032.5,4200.4,4728.2,3316.2,3648.2,2000.6,1453.7,1367.8,1625.3
"sfsA",786.2,1104.9,1358.2,10911.7,793.6,1766.8,3539.3,5074.2,920.8,616,1884.3,2949.3
"thpR",331.6,479,307.2,217.8,639.4,577.1,450.2,579.3,312.8,205.5,174,159.2
"hrpB",702.9,742.1,540.8,644.2,741.9,815.8,754.7,584.4,358.1,343.9,216.7,262.3
"mrcB",728.2,726.6,543.2,403.6,632.8,784,599.9,763.2,176.2,235.4,113,169.5
"fhuA",799.6,548.9,485.8,1088.6,587.5,485.4,519.7,1137.5,444.2,262,262,492
"fhuC",678.5,565.4,530.7,519.7,456.2,378.5,571.7,668.5,454.7,229.9,278.2,304.5
"fhuD",327.7,171.7,201.9,185.3,309.5,197.2,309.9,258.2,227.3,65.3,118.2,131.5
"fhuB",617.2,287.8,267.8,223.3,330.2,409.6,302,394,258.6,121.5,119.7,155.5
"hemL",773.9,807.1,556.2,382,737.6,772.7,819.2,705.2,250.2,311.4,174,173.5
"clcA",334.3,244.3,213.6,367.4,388.6,659.7,871,600.5,311.1,275.5,270.7,240
"erpA",1692.9,1271.8,1322.1,2947.5,844.5,888.3,2885.2,2837.8,350.9,1103.4,674.3,828.3
"yadS",315.2,207.5,58.6,22.4,153.6,61,47.9,37.4,86.4,103.4,61.7,8.9
"btuF",499.1,435.3,271.1,105.3,83.5,214,106.5,139.1,328.5,286,97.7,136.1
"mtn",714.7,859.1,748.1,479,807.4,830.4,527.8,498.1,443,508.6,251,338.3
"dgt",41.7,56.2,34,140.1,25,52.6,197.5,74.1,82.2,65,97.4,60.8
"degP",400.7,480.6,571.5,536.5,1396.3,740.8,1143.7,1103.3,343,178.5,502.3,281.6
"cdaR",226.9,274.3,267.9,279.4,148.4,1858.3,296.2,161,203.6,215.3,122.2,93.7
"yaeH",511.9,1196.4,1206.5,3867.5,244.2,813.8,1902.2,1231.7,332.4,329.9,902.2,570.7
"yaeI",164.2,289.6,346.7,213.6,323.5,164.4,268.8,173.8,251.7,166.6,140.3,56.1
"dapD",2853.5,3226.3,4249.2,1623.2,3019.1,3247.3,1870.9,1235.4,2372.6,1773.4,1158.7,503.4
"glnD",320.9,372.3,322.9,256,554.9,551.7,547.8,490.3,157.5,261.2,187.7,164.6
"map",2793.3,3307.8,2322.3,1286.6,1744.4,1816.1,838.1,1057,1087,720.7,527.9,474.8
"rpsB",15927.5,11461.5,10306,1500.6,17269.6,13786.7,3324.1,3012.7,5188.9,3037.2,1231.6,1228.6
"tsf",8671.9,6099.6,5345.1,683.4,6629.4,4183.4,1263.7,1212.3,1849.3,1803.4,774.8,532.8
"pyrH",3241.3,3195.1,1482.1,853.5,1511.9,1220.3,660.6,699.6,886,946.1,455.6,319.1
"frr",3554.1,3291.6,3732,3743.1,3359.9,6359.8,2876.9,2673.7,1402.5,1329.3,897.2,1096.3
"dxr",463.4,390,483.8,1033.6,554.8,409.5,608.5,545.7,251.1,265.4,349.1,360.2
"ispU",1213.8,1437.5,766.1,674.4,909.5,890.6,333.5,438.2,547.6,566.2,258.3,252.8
"cdsA",890.5,1021.9,967.8,828.4,1126.5,639.3,419.8,568,552.3,606.6,236.5,252.2
"rseP",1485.6,2676.2,1847.3,870.3,3020.3,2448.8,1221.1,1229.2,1134,1258.5,693.1,600.5
"bamA",1522.2,2113.9,1870.8,1920.1,957.8,1013.3,1089.9,1090.7,783.4,899.4,807.5,655.2
"skp",9617.9,18945,13574.4,6211.2,7079,11742,6127.5,4676.4,4708.4,2857.9,2899.8,2330.4
"lpxD",6415.1,6788.8,4670.7,1812.7,5681.8,4521.7,2450.6,2897.9,2342.5,1862.1,941.4,919.1
"fabZ",7500.4,9745.3,5246,3160.5,4166.4,3971,2738.6,2600.5,2421.6,1597.8,1165.3,1209.9
"lpxA",2092.8,2018.3,1504.4,678.8,3208.8,2370.8,1429.3,1366.2,575.3,565,409.6,369.3
"lpxB",962.3,988.4,826.3,294.8,675.3,852.2,748.2,489.4,426.1,756.5,241.1,162
"rnhB",1507.5,1310.6,1159.3,407.7,1252.3,1154,699.7,774.6,654,543.8,241.7,241.5
"dnaE",4339.9,4441.3,2129,1654.4,2279.9,2077.7,972.2,1285.3,1428,1680.9,710.3,657
"accA",2597.1,2625.3,2544.8,525.3,1395.8,1267.9,1177.7,773.8,1145.7,870,314.1,262
"ldcC",125.1,148.3,136.2,1521.9,233.1,294.7,919.5,1228.8,82.4,167.3,380.6,295.3
"yaeR",166.3,278.3,264.3,900.3,88.5,303.6,552,575.5,213.2,311.2,410.6,278
"tilS",773.8,862.6,815.2,743.3,581.1,560.1,942,1025.1,363.6,329.3,385.5,379.6
"rof",805.3,896.8,676.1,2531.6,858.4,1027.7,1743.2,1392.4,568.5,421.4,511.6,688.3
"yaeQ",1153.5,1295.4,826.5,812.6,714.9,680.8,780.3,940.5,760,524.1,386.4,377.7
"arfB",834.2,874.8,739.4,1103.9,671.2,802.8,1022.3,1094.8,478.3,594.8,394.4,402.9
"nlpE",366.8,244.2,288.4,728.8,235.3,463.7,605.4,757.6,184,257.5,302.7,348.4
"yaeF",114.8,69.9,87.6,76.1,142.3,112.3,77.1,155.1,36,25.1,48.7,35.1
"proS",2710,1983.8,1603,770.5,2271.4,1478.7,1263.2,1078.5,752.5,863.8,349.6,335.4
"trmO",568.8,678.3,383.9,343.8,362,484.1,556.2,661.5,468.2,453.3,183.2,219.3
"rcsF",1383.3,1714.4,1350.5,511.5,887.9,1347.3,627.2,689.6,1127.4,1189.4,473.3,399.2
"metQ",1084.4,1127.8,2710.2,886.1,786.6,1514.5,1623.4,1237.8,574.1,461.4,436,409.5
"metI",780.8,521.6,1058.9,305.7,441.5,742.7,688.8,589.3,282.5,299.6,236.7,176.5
"metN",552.3,615.2,982.4,434.4,402.6,476.9,280.6,447.2,172.4,207.3,192.3,138.5
"gmhB",1305.7,1573,1591.8,920.2,1616,2459.6,1454.5,1385.5,884.3,661.8,375.4,411.3
"rrsH",21973.6,24899.4,25111.3,29532.7,113591.9,97704.8,120214.3,112827.4,9722.2,7952.6,10616.7,9580.4
"rrlH",1806.7,7191.5,11823.2,9198,59323.3,32223.1,19897.9,10136.2,9034.5,6253.5,8793.6,8689.2
"rrfH",953.4,2234.4,1092.1,6528.4,106962.8,96208.2,86742.4,103573.9,15580.6,12196.6,15768.3,15152.2
"aspU",18223.3,15748.9,17674.8,20939,17561,9037.6,11190.9,6330.8,1170.8,817.4,2113.5,2387.7
"dkgB",317.3,322,195.9,333,214.7,297.4,189.6,314.3,78.3,110.9,116.2,75.4
"yafC",173.6,170.1,268.7,354.2,122.7,179.2,263.4,201.1,99.8,108.8,143.8,114.6
"yafD",236.3,245.4,357.4,928,263.5,507.2,820,770.4,211.5,360.7,459.5,435.4
"yafE",276.7,254.5,280.2,464.3,200.7,225,111,112.2,140.2,115.5,116.3,87.5
"mltD",938.5,909.5,977.5,222.7,1686,788.5,453.5,337.8,565.6,1291.7,366.2,124.5
"gloB",114.4,119.7,163.5,370.9,115.3,202.3,295.7,164.6,111.9,165.6,237.6,120.5
"yafS",235,212,202.2,317.9,221.6,180.1,196.3,99,104.7,134.7,130.6,82.5
"rnhA",1617.3,1210.8,1140.3,662.5,691.7,959.1,806.9,733.8,980.7,647.7,260.7,203.4
"dnaQ",698.2,847.5,653.7,1147,470.1,953.9,1237.2,1382.6,287.8,481.6,494.9,426.5
"aspV",19116.1,18058.3,19841.6,19787.7,19156.4,9902.3,10772.3,6567.6,1217.2,942.4,1762,2602
"yafT",126.6,40.9,21.1,13.4,26.8,19.9,16.1,27.2,31.8,21.9,17.2,2.3
"yafU",9.7,46.7,20.4,17.6,71.1,46.2,105.8,58,2.6,15.7,18.2,3
"yafV",385,422.8,442.5,812.1,273.6,589.3,730.6,603.9,260.6,281,289.9,281.8
"ivy",662.2,1052.9,1043.5,934.6,631.5,2253.1,2420.2,964.9,536.4,947.3,963.3,318.6
"fadE",453.3,349.6,423.7,4299.9,213.6,467,1664,2036.8,163.9,210.8,739.7,973.4
"gmhA",1176.2,1563.1,1213.3,1781.1,639.8,1816.5,1724.7,957,609.5,511.3,528.5,475.4
"yafJ",482.3,550.4,382.3,327.2,450.2,269.4,343.8,233.7,267.3,251.9,219.1,170.9
"dpaA",1475.1,1044.8,1042.2,444.3,1116.6,1104,574.6,942,649.8,1023.4,456.1,520.4
"yafQ",312.6,587.3,295.3,770.7,222.3,289.8,480.4,362.1,269.4,466.7,358.9,403.2
"dinJ",580.9,937.2,919.6,5718.3,475.8,1012.3,1728.4,1877.1,468,1153.4,1397.1,1927.9
"yafL",123.7,151.3,194.8,506.3,256.8,339.8,546.2,591.5,54.9,60.5,124.2,139.4
"rayT",52,185.5,187,282,109.6,211.5,265.8,296.1,70,67,82.8,66.9
"lfhA",116.5,40.1,100.4,285,207,187.4,72,115.6,28.2,170.1,62.2,50.4
"lafU",169,209.1,139.8,250.8,108.7,94,154.5,175.4,88.9,80.2,74.2,78.7
"dinB",159.3,130.6,109.1,307.5,136.6,269.6,323.5,276.4,74.3,97.9,112.7,95.4
"yafN",130.6,86.1,67.2,441.2,97.3,148.6,208,173.2,90.6,109.9,184.5,109.8
"yafO",170.2,137.7,112.2,177.8,157.7,121.5,190.1,108.5,86.1,115.1,137.9,90.5
"yafP",356.8,244.3,144.4,125.9,238.8,334.2,315.5,449.1,154.3,167.5,108.6,98.1
"ykfJ",NA,NA,NA,NA,NA,NA,NA,NA,14.9,43.3,64,65.4
"prfH",42.1,114.2,23.2,51.5,180.8,68.4,29.8,38.5,30.5,8.8,37.4,17.9
"pepD",1018.2,1366.9,1089.3,739.8,1204.6,1383.2,1845.6,1049.5,877.8,1098.9,935.7,479
"gpt",4161.7,2880.3,1680.4,562,1161.8,772.7,473,642.7,548.7,649.8,227.4,237.5
"frsA",256.8,309.9,148,315.9,147,146.3,285.9,295.6,219.8,257.8,165.9,193.5
"crl",2367.2,3434,5566.9,4600,2740.1,7350.3,8456.5,6513.1,2996.1,2842.6,3387.9,3173.8
"phoE",156.3,168.3,127.5,116.8,144.9,178,223.4,188.4,54.5,65.7,72.8,52.8
"proB",643.6,629.8,754.7,328.4,712.3,918,503.3,613.5,388.3,399.9,295.9,262.7
"proA",442.7,529.4,671.9,633.8,421.2,335.1,53.6,360,124.3,87.3,187.5,155.7
"thrW",15241,12426.8,13337.1,14728.1,7742.4,3681.9,4090.1,2622.6,1348.4,675.5,1395.1,1778.6
"ykfI",NA,NA,NA,NA,NA,NA,NA,NA,30.9,15,50.6,40.3
"yafW",209,172.1,193.5,191.1,273.6,116.1,26.3,313.3,39.7,12,53.4,10.8
"ykfG",148.1,58.8,121.8,63.4,132.7,41,46.1,325.4,57.1,8.8,55.2,66.1
"yafX",25.6,22.1,16.5,15.2,76.7,34.6,33.7,80.7,10.2,8.5,9.3,6.9
"ykfF",322.6,331.9,266.9,320.9,516.5,505.6,479.2,567.5,122,147.5,126.4,86.7
"ykfB",239.1,735.8,1348.3,1895.3,429.3,1363.9,1152.3,1450.2,238.3,303.1,507.5,714.4
"yafY",161.7,181.3,208.6,266,242.2,196.2,317.6,293.5,79.4,133.4,71.5,39.2
"yafZ",62.8,150.8,133,46.9,54.4,54.6,102.8,116.4,30.8,15,40.7,22
"ykfA",55.4,153.5,96.4,247.1,173.4,362.8,433.6,464.8,87.9,90.4,100.7,133.6
"perR",238.8,327.5,199.5,163.5,181.6,195.6,185.1,181.2,92.9,184,82.6,59.8
"ykfC",245.3,334.7,222.8,405.5,250.7,341.5,766.1,570.9,59.1,208.4,164.9,105.7
"mmuP",238.2,244.9,296.4,744.1,281.5,217.4,356.4,430.1,120.9,104.9,166.5,181.9
"mmuM",127.3,121.6,184.4,332.9,294.3,452.8,125.4,71.9,151.2,64.6,129.5,28.9
"afuC",97.8,72,101.1,99.3,41.8,60.7,126.1,67.6,50.6,55.5,55.1,31.8
"afuB",NA,NA,NA,NA,NA,NA,NA,NA,41.6,30.8,43.5,37.8
"insA2",NA,NA,NA,NA,NA,NA,NA,NA,1123.4,615.6,571.9,680.7
"yagB",103.6,115.6,180.8,207.7,140,256.3,190,179.6,123.8,216.4,166,124.8
"yagA",275.5,452.9,239.8,255,434.9,516.8,629.7,528.9,167.4,61.2,146.5,128.5
"yagE",115.6,225.8,268.8,230.8,119.2,173.2,208.2,377.3,196,245.2,198.2,147.2
"yagF",168.3,301.7,292.6,282.4,559.3,572.1,496.6,603.5,199.9,142.7,106.4,110.1
"yagG",90.2,116.8,214.4,334.5,239.3,195.4,456,404.4,74.1,62.6,109.2,96.8
"yagH",76.4,27.3,48.4,74,116.6,83,60,75.7,17.3,41.4,18.9,14.5
"xynR",334.5,310,511,283.5,256,438.6,296,195.6,214.9,186.2,64.2,104.1
"argF",48.3,28,21.2,21.4,154.4,87.6,190.3,178.4,21.2,41.1,26.6,31.2
