"","0","216000","540000","972000","0 | 1","216000 | 1","540000 | 1","972000 | 1","0 | 2","216000 | 2","540000 | 2","972000 | 2"
"thrL",5329.2,2400.2,5845,13120.6,2850.9,1334.9,2845.4,2512,668.9,639.6,1181.9,841.1
"thrA",214.3,330.5,613.9,792.9,425.4,642.6,688.1,1081.5,218.3,259.3,279.6,316.4
"thrB",202.7,299.9,553.9,528.6,513.5,518.7,492.7,737.1,164.4,119.2,181.9,189.5
"thrC",546.4,689,901.5,590,618.1,740.7,737.7,582.1,366,261.9,321.6,316.3
"yaaX",NA,NA,NA,NA,NA,NA,NA,NA,57,45.5,20.4,10
"yaaA",277.3,534.3,590.8,338.4,494.2,533.9,1353,590.4,110.9,164.4,100.8,90.8
"yaaJ",161.5,250.3,166.4,395.9,345.2,436.2,553,535.4,131.4,165.3,205.1,126.4
"talB",4767.4,11358.4,9041,2142.3,7921,7130,2761.2,1696.2,3798.9,2976.2,1877.7,987.7
"mog",1388.4,1336,1154.8,1191.1,1353.3,1916.2,1201.9,1218.1,792.8,713.1,427.8,339.6
"satP",1221,430,409,529.2,694.5,451.7,467.5,667.6,152.5,205.7,145.5,184.8
"yaaW",NA,NA,NA,NA,NA,NA,NA,NA,104.3,112.2,85.6,92.9
"mbiA",68,54.7,57.7,60.6,221.9,180.1,279.3,186,11.3,21.6,31.5,16.4
"yaaI",155.1,213.6,118,173.7,330.4,259,93.2,300.4,47.8,46.8,78,53.4
"dnaK",5739.1,4681.2,3774.9,2989.3,11528.9,2489.5,2065.9,3499.8,1343,1879.6,708.9,1147.4
"dnaJ",2199.9,1746.3,1410.3,1047.8,3678.9,1356,1076.8,1695.8,689.4,1018.6,455,802.9
"insL1",NA,NA,NA,NA,NA,NA,NA,NA,948.9,991.1,610.3,505.5
"mokC",183.4,155.7,218.6,398.3,480.3,342.6,396.6,323.6,69.4,58.8,135.5,116.1
"nhaA",6847.1,4790.7,7154.1,7253.1,4476.1,7014.8,5871,6968.3,1966.8,1765,1946.8,3255.1
"nhaR",2099.4,1550.3,1630.2,596.3,2005.3,1627.6,1147.5,911.5,896.5,655.8,600.1,582.8
"insA1",NA,NA,NA,NA,NA,NA,NA,NA,1244.8,682.8,589,672.3
"rpsT",18390.7,12132.2,9168.6,831.4,17995.8,9947.1,1884.2,1017.4,3901.6,3024,878.3,650
"yaaY",NA,NA,NA,NA,NA,NA,NA,NA,66.5,12.3,49.5,83.3
"ribF",1438,1532.6,1364.5,600.3,1484.4,1420.6,1212,1674.8,1029.6,724.9,383.3,429.7
"ileS",1452.8,1532.2,1324.6,487.7,2734.4,3023,1167.2,1019.2,1538.2,967.7,449.8,440.3
"lspA",608.4,668.2,530.5,401.5,1123.9,891.7,638.9,483,532,698.3,320.6,246.4
"fkpB",923,1131.3,974,261.8,1258,1145.6,713.1,678.4,696.7,577.5,250.8,280.9
"ispH",827.4,1096.1,1003.8,268.1,1302.7,942.3,496.4,645.1,562.9,530.5,173,140.5
"rihC",186.2,497.6,980.6,466.5,775.8,1284.5,749.4,513.4,382.8,303.7,294.9,111.2
"dapB",455.3,1051.7,908.8,461.5,756.7,1189.7,831.3,820.5,626.5,443.9,314.6,162.8
"carA",165.4,1035.6,270.6,164.4,420.7,387.2,290,211.3,101.2,61.1,85.2,59.9
"carB",611,1781,647.4,237,928.9,696.4,576.6,481.8,248.9,155.8,183,108.5
"caiF",141.9,192.7,132.9,198.8,210.4,288.9,359,288,50.5,86.6,192.4,46.6
"caiE",166,205,229.7,295.7,211,315.1,273.1,274.2,80.9,69.3,86.3,68.2
"caiD",462,525.7,559.1,279.3,353,63.8,301.1,121,169.5,85.7,196,122.6
